tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v515D_glacierkeep_g0	v515D	glacierkeep	0	7700	A	US	v515	Core destroyed	165	0	170	0
v515D_glacierkeep_g1	v515D	glacierkeep	1	7701	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	910	1130
v515D_glacierkeep_g2	v515D	glacierkeep	2	7702	A	US	v515	Core destroyed	289	0	160	0
v515D_glacierkeep_g3	v515D	glacierkeep	3	7703	B	US	v515	Core destroyed	205	0	70	0
v515D_glacierkeep_g4	v515D	glacierkeep	4	7704	A	US	v515	Core destroyed	209	0	210	0
v515D_glacierkeep_g5	v515D	glacierkeep	5	7705	B	US	v515	Core destroyed	324	0	70	0
v515D_nordkap_g0	v515D	nordkap	0	7700	A	OPP	_v488beltbreak2	Core destroyed	357	0	110	150
v515D_nordkap_g1	v515D	nordkap	1	7701	B	OPP	_v488beltbreak2	Core destroyed	220	0	130	2530
v515D_nordkap_g2	v515D	nordkap	2	7702	A	US	v515	Core destroyed	443	0	1070	1610
v515D_nordkap_g3	v515D	nordkap	3	7703	B	OPP	_v488beltbreak2	Core destroyed	201	0	110	700
v515D_nordkap_g4	v515D	nordkap	4	7704	A	US	v515	Core destroyed	464	0	2720	790
v515D_nordkap_g5	v515D	nordkap	5	7705	B	US	v515	Core destroyed	274	0	2040	500
v515D_atoll_g0	v515D	atoll	0	7700	A	US	v515	Core destroyed	258	0	2120	610
v515D_atoll_g1	v515D	atoll	1	7701	B	OPP	_v488beltbreak2	Core destroyed	130	0	250	610
v515D_atoll_g2	v515D	atoll	2	7702	A	US	v515	Core destroyed	301	0	1470	840
v515D_atoll_g3	v515D	atoll	3	7703	B	OPP	_v488beltbreak2	Core destroyed	211	0	630	1620
v515D_atoll_g4	v515D	atoll	4	7704	A	US	v515	Core destroyed	608	0	3010	3000
v515D_atoll_g5	v515D	atoll	5	7705	B	OPP	_v488beltbreak2	Core destroyed	547	0	1500	2700
v515D_midgard_g0	v515D	midgard	0	7700	A	US	v515	Core destroyed	161	0	610	830
v515D_midgard_g1	v515D	midgard	1	7701	B	US	v515	Core destroyed	255	0	1460	2590
v515D_midgard_g2	v515D	midgard	2	7702	A	US	v515	Core destroyed	354	0	1300	1380
v515D_midgard_g3	v515D	midgard	3	7703	B	OPP	_v488beltbreak2	Core destroyed	131	0	920	1480
v515D_midgard_g4	v515D	midgard	4	7704	A	US	v515	Core destroyed	280	0	1530	1420
v515D_midgard_g5	v515D	midgard	5	7705	B	OPP	_v488beltbreak2	Core destroyed	136	0	530	1600
v515D_drakkarfjord_g0	v515D	drakkarfjord	0	7700	A	US	v515	Titanium collected (tiebreak)	1000	0	11840	8500
v515D_drakkarfjord_g1	v515D	drakkarfjord	1	7701	B	US	v515	Core destroyed	189	0	840	240
v515D_drakkarfjord_g2	v515D	drakkarfjord	2	7702	A	OPP	_v488beltbreak2	Core destroyed	571	0	3110	7490
v515D_drakkarfjord_g3	v515D	drakkarfjord	3	7703	B	US	v515	Core destroyed	311	0	2000	0
v515D_drakkarfjord_g4	v515D	drakkarfjord	4	7704	A	OPP	_v488beltbreak2	Core destroyed	868	0	1360	720
v515D_drakkarfjord_g5	v515D	drakkarfjord	5	7705	B	US	v515	Core destroyed	123	0	430	0
