tag	arm	map	g	seed	ord	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v515H_glacierkeep_g0	v515H	glacierkeep	0	8300	A	US	v515	Core destroyed	251	0	140	0
v515H_glacierkeep_g1	v515H	glacierkeep	1	8301	B	OPP	_v488beltbreak2	Core destroyed	621	0	170	0
v515H_glacierkeep_g2	v515H	glacierkeep	2	8302	A	US	v515	Core destroyed	211	0	300	0
v515H_glacierkeep_g3	v515H	glacierkeep	3	8303	B	US	v515	Core destroyed	189	0	20	0
v515H_glacierkeep_g4	v515H	glacierkeep	4	8304	A	US	v515	Core destroyed	144	0	300	0
v515H_glacierkeep_g5	v515H	glacierkeep	5	8305	B	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v515H_nordkap_g0	v515H	nordkap	0	8300	A	US	v515	Core destroyed	272	0	1010	150
v515H_nordkap_g1	v515H	nordkap	1	8301	B	US	v515	Core destroyed	222	0	550	100
v515H_nordkap_g2	v515H	nordkap	2	8302	A	US	v515	Core destroyed	172	0	410	100
v515H_nordkap_g3	v515H	nordkap	3	8303	B	US	v515	Core destroyed	209	0	320	0
v515H_nordkap_g4	v515H	nordkap	4	8304	A	OPP	_v488beltbreak2	Core destroyed	196	0	140	2740
v515H_nordkap_g5	v515H	nordkap	5	8305	B	OPP	_v488beltbreak2	Core destroyed	489	0	210	5620
v515H_atoll_g0	v515H	atoll	0	8300	A	US	v515	Core destroyed	406	0	3810	1990
v515H_atoll_g1	v515H	atoll	1	8301	B	OPP	_v488beltbreak2	Core destroyed	374	0	2070	2710
v515H_atoll_g2	v515H	atoll	2	8302	A	US	v515	Core destroyed	812	0	4620	4100
v515H_atoll_g3	v515H	atoll	3	8303	B	US	v515	Core destroyed	762	0	3810	1950
v515H_atoll_g4	v515H	atoll	4	8304	A	US	v515	Core destroyed	214	0	1040	500
v515H_atoll_g5	v515H	atoll	5	8305	B	US	v515	Core destroyed	442	0	2210	800
v515H_midgard_g0	v515H	midgard	0	8300	A	OPP	_v488beltbreak2	Core destroyed	231	0	610	1720
v515H_midgard_g1	v515H	midgard	1	8301	B	OPP	_v488beltbreak2	Core destroyed	136	0	530	1600
v515H_midgard_g2	v515H	midgard	2	8302	A	OPP	_v488beltbreak2	Core destroyed	438	0	1500	2150
v515H_midgard_g3	v515H	midgard	3	8303	B	OPP	_v488beltbreak2	Core destroyed	193	0	580	1260
v515H_midgard_g4	v515H	midgard	4	8304	A	OPP	_v488beltbreak2	Core destroyed	168	0	480	1760
v515H_midgard_g5	v515H	midgard	5	8305	B	OPP	_v488beltbreak2	Core destroyed	379	0	690	4290
v515H_drakkarfjord_g0	v515H	drakkarfjord	0	8300	A	US	v515	Core destroyed	182	0	800	0
v515H_drakkarfjord_g1	v515H	drakkarfjord	1	8301	B	US	v515	Core destroyed	570	0	1270	170
v515H_drakkarfjord_g2	v515H	drakkarfjord	2	8302	A	US	v515	Core destroyed	452	0	2410	200
v515H_drakkarfjord_g3	v515H	drakkarfjord	3	8303	B	OPP	_v488beltbreak2	Core destroyed	560	0	350	5880
v515H_drakkarfjord_g4	v515H	drakkarfjord	4	8304	A	US	v515	Titanium collected (tiebreak)	1000	0	13450	12730
v515H_drakkarfjord_g5	v515H	drakkarfjord	5	8305	B	US	v515	Titanium collected (tiebreak)	1000	0	300	200
