tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s19_A	archipelago	19	A	US	parent515	Core destroyed	422	0	4050	1110
archipelago_s19_B	archipelago	19	B	US	parent515	Titanium collected (tiebreak)	1000	0	5030	5000
archipelago_s20_A	archipelago	20	A	US	parent515	Core destroyed	163	0	1380	600
archipelago_s20_B	archipelago	20	B	US	parent515	Core destroyed	597	0	3160	3400
archipelago_s21_A	archipelago	21	A	OPP	_v468kladturbo	Core destroyed	219	0	1150	1630
archipelago_s21_B	archipelago	21	B	OPP	_v468kladturbo	Core destroyed	653	0	5750	1980
archipelago_s22_A	archipelago	22	A	OPP	_v468kladturbo	Core destroyed	123	0	680	1070
archipelago_s22_B	archipelago	22	B	US	parent515	Core destroyed	265	0	1860	1000
archipelago_s23_A	archipelago	23	A	OPP	_v468kladturbo	Core destroyed	97	0	650	810
archipelago_s23_B	archipelago	23	B	US	parent515	Core destroyed	134	0	1160	910
archipelago_s24_A	archipelago	24	A	US	parent515	Titanium collected (tiebreak)	1000	0	3390	2930
archipelago_s24_B	archipelago	24	B	US	parent515	Core destroyed	148	0	1270	1010
archipelago_s25_A	archipelago	25	A	US	parent515	Core destroyed	106	0	900	890
archipelago_s25_B	archipelago	25	B	US	parent515	Core destroyed	320	0	3130	1090
archipelago_s26_A	archipelago	26	A	US	parent515	Core destroyed	128	0	1160	870
archipelago_s26_B	archipelago	26	B	US	parent515	Core destroyed	328	0	3120	1690
archipelago_s27_A	archipelago	27	A	OPP	_v468kladturbo	Core destroyed	491	0	2520	2550
archipelago_s27_B	archipelago	27	B	OPP	_v468kladturbo	Core destroyed	269	0	1620	2930
archipelago_s28_A	archipelago	28	A	OPP	_v468kladturbo	Core destroyed	173	0	1060	840
archipelago_s28_B	archipelago	28	B	US	parent515	Core destroyed	192	0	1700	1060
archipelago_s29_A	archipelago	29	A	US	parent515	Core destroyed	293	0	2220	1570
archipelago_s29_B	archipelago	29	B	US	parent515	Core destroyed	143	0	1240	1010
archipelago_s30_A	archipelago	30	A	OPP	_v468kladturbo	Core destroyed	489	0	3760	3670
archipelago_s30_B	archipelago	30	B	US	parent515	Core destroyed	132	0	1400	780
archipelago_s31_A	archipelago	31	A	OPP	_v468kladturbo	Core destroyed	331	0	2390	2500
archipelago_s31_B	archipelago	31	B	US	parent515	Core destroyed	188	0	1690	1100
archipelago_s32_A	archipelago	32	A	US	parent515	Core destroyed	196	0	2390	1220
archipelago_s32_B	archipelago	32	B	US	parent515	Core destroyed	320	0	3130	1090
archipelago_s33_A	archipelago	33	A	US	parent515	Core destroyed	332	0	3260	1650
archipelago_s33_B	archipelago	33	B	US	parent515	Core destroyed	119	0	1040	760
archipelago_s34_A	archipelago	34	A	US	parent515	Core destroyed	181	0	1680	1290
archipelago_s34_B	archipelago	34	B	US	parent515	Core destroyed	123	0	1380	820
archipelago_s35_A	archipelago	35	A	US	parent515	Core destroyed	609	0	4490	4500
archipelago_s35_B	archipelago	35	B	US	parent515	Core destroyed	257	0	1440	1360
archipelago_s36_A	archipelago	36	A	US	parent515	Core destroyed	202	0	1860	720
archipelago_s36_B	archipelago	36	B	US	parent515	Core destroyed	116	0	600	560
