tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	462
atoll_s1_A	12	8	8	HOP	3	4	1	0	72.5	72.5	462
atoll_s1_A	22	13	4	RING	6	11	5	0	4.5	220.5	462
atoll_s1_A	41	13	4	RING	12	15	3	0	4.5	220.5	462
atoll_s1_A	50	12	3	RING	16	-1	446	1	6.5	222.5	462
atoll_s1_A	225	2	17	HOME	275	-1	187	1	366.5	6.5	462
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	436
atoll_s1_B	12	9	9	HOP	3	4	1	0	72.5	72.5	436
atoll_s1_B	21	4	13	RING	6	-1	430	1	4.5	220.5	436
atoll_s1_B	57	15	5	HOME	24	25	1	0	246.5	6.5	436
atoll_s1_B	72	12	9	HOP	31	32	1	0	120.5	48.5	436
atoll_s1_B	457	4	0	HOP	280	321	41	0	212.5	116.5	436
atoll_s1_B	476	11	0	HOP	290	-1	146	1	282.5	18.5	436
atoll_s1_B	526	9	4	HOP	316	-1	120	1	152.5	32.5	436
atoll_s1_B	680	10	9	HOP	399	400	1	0	86.5	62.5	436
atoll_s1_B	729	12	6	HOP	430	431	1	0	162.5	18.5	436
atoll_s2_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s2_A	12	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s2_A	24	13	5	HOP	7	-1	992	1	8.5	200.5	999
atoll_s2_B	7	13	5	HOME	1	2	1	0	200.5	8.5	588
atoll_s2_B	13	9	9	HOP	3	4	1	0	72.5	72.5	588
atoll_s2_B	21	5	13	HOP	5	19	14	0	8.5	200.5	588
atoll_s2_B	50	5	13	HOP	20	44	24	0	8.5	200.5	588
atoll_s2_B	173	16	5	HOME	109	110	1	0	272.5	8.5	588
atoll_s2_B	178	12	12	HOP	114	115	1	0	96.5	96.5	588
atoll_s2_B	212	12	2	HOME	136	137	1	0	246.5	6.5	588
atoll_s2_B	217	5	7	HOP	142	143	1	0	62.5	110.5	588
atoll_s2_B	237	12	2	HOME	159	160	1	0	246.5	6.5	588
atoll_s2_B	242	6	5	HOP	162	163	1	0	102.5	78.5	588
atoll_s2_B	356	13	0	HOME	263	264	1	0	320.5	8.5	588
atoll_s2_B	362	10	5	HOP	265	266	1	0	146.5	26.5	588
atoll_s2_B	364	7	10	HOP	267	268	1	0	40.5	112.5	588
atoll_s2_B	369	2	12	RING	271	-1	317	1	6.5	246.5	588
atoll_s2_B	480	16	5	HOME	363	364	1	0	272.5	8.5	588
atoll_s2_B	486	11	8	HOP	365	366	1	0	114.5	42.5	588
atoll_s2_B	488	7	12	HOP	367	368	1	0	26.5	146.5	588
atoll_s2_B	497	3	17	RING	372	-1	216	1	6.5	342.5	588
atoll_s2_B	558	12	2	HOME	423	424	1	0	246.5	6.5	588
