tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	407	first_fwd_sentinel	379	113	100	10	0	9	20	20	60	60
atoll_s1_A	300	r300	381	114	140	12	0	9	20	20	40	40
atoll_s1_A	462	end	379	113	100	10	0	9	20	20	60	60
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	300	r300	493	147	60	13	0	0	10	30	20	260
atoll_s1_B	436	end	511	153	40	11	0	0	10	30	40	280
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	79	first_fwd_sentinel	301	90	80	12	0	4	15	10	40	40
atoll_s2_A	300	r300	301	90	80	12	0	4	15	10	40	40
atoll_s2_A	999	end	321	96	80	12	0	4	15	10	40	60
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	81	first_fwd_sentinel	281	84	80	13	0	3	25	0	20	40
atoll_s2_B	300	r300	290	87	60	13	0	2	25	10	60	20
atoll_s2_B	588	end	240	72	0	13	0	2	25	20	60	20
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	554	first_fwd_sentinel	525	157	100	17	0	3	25	20	100	160
atoll_s3_A	300	r300	312	93	80	4	0	3	15	10	40	60
atoll_s3_A	653	end	505	151	80	17	0	3	25	20	100	160
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	98	first_fwd_sentinel	285	85	80	13	0	7	15	10	20	40
atoll_s3_B	158	r300	284	85	80	12	0	7	15	10	20	40
atoll_s3_B	158	end	284	85	80	12	0	7	15	10	20	40
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	750	first_fwd_sentinel	681	204	180	111	0	0	50	40	120	80
drakkarfjord_s1_A	300	r300	471	141	80	96	0	0	45	10	100	40
drakkarfjord_s1_A	765	end	741	222	140	111	0	0	50	40	180	120
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	70	first_fwd_sentinel	258	77	100	18	0	10	10	0	0	20
drakkarfjord_s1_B	141	r300	275	82	100	16	0	9	10	0	20	20
drakkarfjord_s1_B	141	end	275	82	100	16	0	9	10	0	20	20
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	300	r300	314	94	80	41	0	3	20	10	60	0
drakkarfjord_s2_A	485	end	345	103	60	42	0	3	20	0	80	40
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	180	first_fwd_sentinel	332	99	80	29	0	8	15	0	40	60
drakkarfjord_s2_B	235	r300	312	93	80	29	0	8	15	0	20	60
drakkarfjord_s2_B	235	end	312	93	80	29	0	8	15	0	20	60
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	300	r300	436	130	80	83	0	3	40	10	20	100
drakkarfjord_s3_A	999	end	456	136	60	83	0	3	40	50	20	100
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	300	r300	327	98	80	64	0	8	25	10	0	40
drakkarfjord_s3_B	999	end	316	94	60	64	0	7	25	20	0	40
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	124	first_fwd_sentinel	311	93	120	10	0	11	10	0	40	20
glacierkeep_s1_A	209	r300	319	95	120	19	0	10	10	0	40	20
glacierkeep_s1_A	209	end	319	95	120	19	0	10	10	0	40	20
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	57	first_fwd_sentinel	260	78	120	10	0	10	0	0	0	20
glacierkeep_s1_B	300	r300	218	65	80	9	0	9	0	0	0	20
glacierkeep_s1_B	999	end	230	69	80	9	0	11	10	0	0	20
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	76	first_fwd_sentinel	283	84	120	10	0	8	5	0	20	20
glacierkeep_s2_A	172	r300	282	84	120	9	0	8	5	0	20	20
glacierkeep_s2_A	172	end	282	84	120	9	0	8	5	0	20	20
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_B	108	first_fwd_sentinel	278	83	120	9	0	9	0	0	20	20
glacierkeep_s2_B	300	r300	233	69	80	6	0	7	0	0	20	20
glacierkeep_s2_B	999	end	243	72	80	6	0	7	10	0	20	20
glacierkeep_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_A	72	first_fwd_sentinel	285	85	120	10	0	10	5	0	20	20
glacierkeep_s3_A	300	r300	283	84	120	9	0	9	5	0	20	20
glacierkeep_s3_A	999	end	232	69	80	9	0	8	15	0	0	20
glacierkeep_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s3_B	48	first_fwd_sentinel	264	79	120	10	0	9	5	0	0	20
glacierkeep_s3_B	300	r300	215	64	80	8	0	7	0	0	0	20
glacierkeep_s3_B	999	end	324	97	60	83	0	6	45	10	20	0
glacierkeep_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_A	258	r300	232	69	40	11	0	1	10	10	40	20
midgard_s1_A	258	end	232	69	40	11	0	1	10	10	40	20
midgard_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s1_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s1_B	248	r300	218	65	20	23	0	5	20	10	20	20
midgard_s1_B	248	end	218	65	20	23	0	5	20	10	20	20
midgard_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_A	181	first_fwd_sentinel	352	105	60	12	0	5	15	20	60	80
midgard_s2_A	276	r300	353	105	60	12	0	6	15	20	60	80
midgard_s2_A	276	end	353	105	60	12	0	6	15	20	60	80
midgard_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s2_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s2_B	119	r300	249	74	100	9	0	0	10	10	0	20
midgard_s2_B	119	end	249	74	100	9	0	0	10	10	0	20
midgard_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_A	167	r300	246	73	60	10	0	1	15	0	40	20
midgard_s3_A	167	end	246	73	60	10	0	1	15	0	40	20
midgard_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
midgard_s3_B	42	first_fwd_sentinel	218	65	60	13	0	0	15	10	0	20
midgard_s3_B	248	r300	218	65	20	23	0	5	20	10	20	20
midgard_s3_B	248	end	218	65	20	23	0	5	20	10	20	20
midgard_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_A	294	r300	201	60	40	15	0	1	15	10	0	20
nordkap_s1_A	294	end	201	60	40	15	0	1	15	10	0	20
nordkap_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s1_B	363	first_fwd_sentinel	303	90	100	15	0	8	10	10	20	40
nordkap_s1_B	300	r300	266	79	100	3	0	8	5	10	20	20
nordkap_s1_B	499	end	380	114	120	23	0	7	20	10	20	80
nordkap_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s2_A	300	r300	169	50	40	1	0	3	5	0	0	20
nordkap_s2_A	320	end	169	50	40	1	0	3	5	0	0	20
nordkap_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s2_B	300	r300	368	110	80	34	0	4	40	10	20	80
nordkap_s2_B	552	end	433	129	40	39	0	4	50	20	20	160
nordkap_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s3_A	300	r300	232	69	80	11	0	6	15	0	0	20
nordkap_s3_A	342	end	252	75	80	11	0	6	15	0	0	40
nordkap_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
nordkap_s3_B	60	first_fwd_sentinel	297	89	120	6	0	11	10	10	20	20
nordkap_s3_B	140	r300	297	89	120	6	0	11	10	10	20	20
nordkap_s3_B	140	end	297	89	120	6	0	11	10	10	20	20
nordkap_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
