tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	83	917	154	0.0	1.0	0.7108433734939759	24
atoll_s1_B	0	380	-1	-1	-1	-1	24.0
atoll_s2_A	475	261	290	0.002105263157894737	0.9978947368421053	0.9663157894736842	20
atoll_s2_B	0	299	-1	-1	-1	-1	0
atoll_s3_A	105	716	114	0.0	1.0	0.49523809523809526	246.0
atoll_s3_B	0	351	-1	-1	-1	-1	24
drakkarfjord_s1_A	109	92	7	0.7431192660550459	0.25688073394495414	0.0	20.0
drakkarfjord_s1_B	75	98	91	0.0	1.0	0.26666666666666666	24.0
drakkarfjord_s2_A	55	77	115	0.05454545454545454	0.9454545454545454	0.43636363636363634	4
drakkarfjord_s2_B	0	342	-1	-1	-1	-1	3.0
drakkarfjord_s3_A	191	287	273	0.0	1.0	0.9738219895287958	20
drakkarfjord_s3_B	71	81	93	0.0	1.0	0.323943661971831	14
glacierkeep_s1_A	55	74	24	0.0	1.0	0.0	24.0
glacierkeep_s1_B	934	66	8.0	0.9978586723768736	0.0021413276231263384	0.0	24.0
glacierkeep_s2_A	147	78	4	0.9183673469387755	0.08163265306122448	0.0	20.0
glacierkeep_s2_B	77	68	3	0.5584415584415584	0.44155844155844154	0.0	24.0
glacierkeep_s3_A	88	117	5.0	0.9204545454545454	0.07954545454545454	0.0	24
glacierkeep_s3_B	229	459	5	0.9912663755458515	0.008733624454148471	0.0	155
midgard_s1_A	193	91	190	0.0	1.0	0.9585492227979274	16
midgard_s1_B	53	225	65	0.2830188679245283	0.7169811320754716	0.2830188679245283	153
midgard_s2_A	124	297	140.0	0.0	1.0	0.8225806451612904	24
midgard_s2_B	10	183	121.0	0.1	0.9	0.5	166
midgard_s3_A	66	207	14.0	0.4696969696969697	0.5303030303030303	0.0	23
midgard_s3_B	85	43	140	0.011764705882352941	0.9882352941176471	0.6705882352941176	16
nordkap_s1_A	0	348	-1	-1	-1	-1	20.0
nordkap_s1_B	55	172	57	0.0	1.0	0.0	24.0
nordkap_s2_A	0	147	-1	-1	-1	-1	8
nordkap_s2_B	52	382	158.0	0.0	1.0	0.8076923076923077	24.0
nordkap_s3_A	104	233	5.0	0.9711538461538461	0.028846153846153848	0.0	24
nordkap_s3_B	55	85	153	0.0	1.0	0.7090909090909091	24
