tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	168	first_fwd_sentinel	335	100	80	9	0	1	15	10	40	80
atoll_s1_A	195	r300	315	94	80	9	0	1	15	10	40	60
atoll_s1_A	195	end	315	94	80	9	0	1	15	10	40	60
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	300	r300	294	88	40	11	0	3	20	0	60	60
atoll_s1_B	375	end	282	84	20	9	0	3	10	0	60	80
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	196	first_fwd_sentinel	378	113	80	9	0	4	15	10	40	120
atoll_s2_A	234	r300	359	107	80	9	0	5	15	10	40	100
atoll_s2_A	234	end	359	107	80	9	0	5	15	10	40	100
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	358	first_fwd_sentinel	418	125	80	10	0	3	15	10	40	160
atoll_s2_B	300	r300	379	113	60	11	0	3	15	10	40	140
atoll_s2_B	484	end	398	119	60	10	0	3	15	10	40	160
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	169	first_fwd_sentinel	313	93	80	11	0	7	15	0	20	80
atoll_s3_A	264	r300	293	87	60	11	0	7	15	0	20	80
atoll_s3_A	264	end	293	87	60	11	0	7	15	0	20	80
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	266	r300	246	73	40	13	0	3	20	10	0	60
atoll_s3_B	266	end	246	73	40	13	0	3	20	10	0	60
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	77	first_fwd_sentinel	264	79	60	23	0	6	15	0	20	40
drakkarfjord_s1_A	300	r300	241	72	60	21	0	5	15	0	0	40
drakkarfjord_s1_A	414	end	229	68	60	24	0	5	20	0	0	20
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	91	first_fwd_sentinel	298	89	100	18	0	10	10	0	20	40
drakkarfjord_s1_B	300	r300	294	88	100	16	0	8	10	0	20	40
drakkarfjord_s1_B	999	end	302	90	100	16	0	11	15	0	20	40
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	84	first_fwd_sentinel	328	98	100	23	0	10	15	0	40	40
drakkarfjord_s2_A	300	r300	312	93	60	43	0	9	20	0	40	40
drakkarfjord_s2_A	745	end	427	128	60	83	0	9	35	0	60	80
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	300	r300	309	92	60	46	0	3	20	0	60	20
drakkarfjord_s2_B	547	end	276	82	40	38	0	3	15	0	60	20
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	91	first_fwd_sentinel	316	94	100	22	0	9	15	10	20	40
drakkarfjord_s3_A	200	r300	294	88	80	21	0	8	15	10	20	40
drakkarfjord_s3_A	200	end	294	88	80	21	0	8	15	10	20	40
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	60	first_fwd_sentinel	268	80	100	25	0	8	15	0	0	20
drakkarfjord_s3_B	300	r300	388	116	80	88	0	10	40	10	40	20
drakkarfjord_s3_B	310	end	388	116	80	88	0	10	40	10	40	20
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_A	85	first_fwd_sentinel	264	79	100	9	0	10	5	0	20	20
glacierkeep_s1_A	278	r300	264	79	100	9	0	10	5	0	20	20
glacierkeep_s1_A	278	end	264	79	100	9	0	10	5	0	20	20
glacierkeep_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s1_B	64	first_fwd_sentinel	264	79	120	9	0	10	5	0	0	20
glacierkeep_s1_B	300	r300	219	65	80	7	0	7	5	0	0	20
glacierkeep_s1_B	999	end	229	68	80	7	0	7	15	0	0	20
glacierkeep_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
glacierkeep_s2_A	81	first_fwd_sentinel	286	85	120	10	0	11	5	0	20	20
glacierkeep_s2_A	200	r300	265	79	100	9	0	11	5	0	20	20
glacierkeep_s2_A	200	end	265	79	100	9	0	11	5	0	20	20
glacierkeep_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
