tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	179
atoll_s1_A	12	8	8	HOP	3	4	1	0	72.5	72.5	179
atoll_s1_A	21	13	4	RING	6	9	3	0	4.5	220.5	179
atoll_s1_A	39	12	2	RING	12	-1	167	1	6.5	246.5	179
atoll_s1_A	149	17	3	RING	66	-1	113	1	6.5	342.5	179
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	279
atoll_s1_B	13	9	9	HOP	3	4	1	0	72.5	72.5	279
atoll_s1_B	22	4	13	RING	6	19	13	0	4.5	220.5	279
atoll_s2_A	7	4	12	HOME	1	2	1	0	200.5	8.5	669
atoll_s2_A	12	8	8	HOP	3	4	1	0	72.5	72.5	669
atoll_s2_A	29	13	5	HOP	8	10	2	0	8.5	200.5	669
atoll_s2_A	39	13	5	HOP	12	14	2	0	8.5	200.5	669
atoll_s2_A	46	12	3	RING	17	-1	652	1	6.5	222.5	669
atoll_s2_A	148	1	12	HOME	92	93	1	0	272.5	8.5	669
atoll_s2_A	150	6	9	HOP	94	95	1	0	114.5	42.5	669
atoll_s2_A	204	6	16	HOP	160	-1	509	1	254.5	14.5	669
atoll_s2_A	348	0	14	HOME	274	275	1	0	342.5	6.5	669
atoll_s2_A	358	5	12	HOP	276	277	1	0	180.5	12.5	669
atoll_s2_A	365	7	7	HOP	278	279	1	0	76.5	76.5	669
atoll_s2_A	371	6	5	HOP	280	281	1	0	78.5	102.5	669
atoll_s2_A	953	1	12	HOME	557	558	1	0	272.5	8.5	669
atoll_s2_A	958	6	9	HOP	559	560	1	0	114.5	42.5	669
atoll_s2_A	978	7	8	HOP	568	569	1	0	86.5	62.5	669
atoll_s2_A	998	11	2	HOP	578	579	1	0	12.5	228.5	669
atoll_s2_B	7	13	5	HOME	1	2	1	0	200.5	8.5	486
atoll_s2_B	13	9	9	HOP	3	4	1	0	72.5	72.5	486
atoll_s2_B	21	5	13	HOP	5	19	14	0	8.5	200.5	486
atoll_s2_B	50	5	13	HOP	20	44	24	0	8.5	200.5	486
atoll_s2_B	173	13	5	HOME	109	110	1	0	200.5	8.5	486
atoll_s2_B	179	10	10	HOP	115	116	1	0	76.5	76.5	486
atoll_s2_B	212	16	4	HOME	137	138	1	0	292.5	4.5	486
atoll_s2_B	217	12	11	HOP	142	143	1	0	102.5	78.5	486
atoll_s2_B	239	12	2	HOME	160	349	189	0	246.5	6.5	486
atoll_s2_B	249	17	0	HOP	168	348	180	0	420.5	12.5	486
atoll_s2_B	263	17	4	HOME	182	-1	304	1	320.5	8.5	486
