tag	id	x	y	site	built	died	life	stood	dsq_opp	dsq_own	end
atoll_s1_A	7	4	12	HOME	1	2	1	0	200.5	8.5	244
atoll_s1_A	12	8	8	HOP	3	4	1	0	72.5	72.5	244
atoll_s1_A	23	12	2	RING	7	-1	237	1	6.5	246.5	244
atoll_s1_B	7	13	5	HOME	1	2	1	0	200.5	8.5	156
atoll_s1_B	12	9	9	HOP	3	4	1	0	72.5	72.5	156
atoll_s1_B	46	0	16	HOP	18	-1	138	1	8.5	392.5	156
atoll_s2_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s2_A	12	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s2_A	21	14	5	RING	6	9	3	0	6.5	222.5	999
atoll_s2_A	40	12	3	RING	13	-1	986	1	6.5	222.5	999
atoll_s2_A	883	0	15	HOME	814	815	1	0	366.5	6.5	999
atoll_s2_A	891	9	12	HOP	820	821	1	0	120.5	48.5	999
atoll_s2_A	914	0	15	HOME	842	843	1	0	366.5	6.5	999
atoll_s2_A	923	9	12	HOP	848	849	1	0	120.5	48.5	999
atoll_s2_A	1000	5	17	HOP	938	939	1	0	300.5	12.5	999
atoll_s2_A	1042	5	15	HOME	993	994	1	0	246.5	6.5	999
atoll_s2_A	1045	11	12	HOP	996	997	1	0	102.5	78.5	999
atoll_s2_B	7	13	5	HOME	1	2	1	0	200.5	8.5	185
atoll_s2_B	12	9	9	HOP	3	4	1	0	72.5	72.5	185
atoll_s2_B	24	4	13	RING	6	-1	179	1	4.5	220.5	185
atoll_s2_B	197	12	2	HOME	136	137	1	0	246.5	6.5	185
atoll_s2_B	198	7	5	HOP	138	139	1	0	110.5	62.5	185
atoll_s2_B	234	12	2	HOME	168	169	1	0	246.5	6.5	185
atoll_s2_B	235	7	5	HOP	170	171	1	0	110.5	62.5	185
atoll_s2_B	240	4	12	HOP	174	177	3	0	8.5	200.5	185
atoll_s3_A	7	4	12	HOME	1	2	1	0	200.5	8.5	999
atoll_s3_A	12	8	8	HOP	3	4	1	0	72.5	72.5	999
atoll_s3_A	17	12	4	HOP	5	9	4	0	8.5	200.5	999
atoll_s3_A	46	13	0	HOP	19	-1	980	1	8.5	320.5	999
atoll_s3_A	110	10	12	HOP	68	69	1	0	110.5	62.5	999
atoll_s3_A	249	5	15	HOME	143	144	1	0	246.5	6.5	999
atoll_s3_A	261	12	11	HOP	148	149	1	0	78.5	102.5	999
atoll_s3_A	346	3	17	HOME	200	212	12	0	342.5	6.5	999
atoll_s3_A	367	6	12	HOP	212	213	1	0	162.5	18.5	999
atoll_s3_A	380	15	7	HOP	220	221	1	0	20.5	212.5	999
atoll_s3_A	407	2	17	HOME	236	347	111	0	366.5	6.5	999
atoll_s3_A	566	6	13	HOP	336	-1	663	1	182.5	14.5	999
atoll_s3_A	592	4	12	HOME	347	348	1	0	200.5	8.5	999
atoll_s3_A	611	4	5	HOP	356	357	1	0	116.5	92.5	999
atoll_s3_A	639	8	5	HOP	372	373	1	0	48.5	120.5	999
atoll_s3_A	1168	4	12	HOME	657	658	1	0	200.5	8.5	999
atoll_s3_A	1174	7	7	HOP	659	660	1	0	76.5	76.5	999
atoll_s3_A	1181	6	5	HOP	661	662	1	0	78.5	102.5	999
atoll_s3_A	1185	10	1	HOP	663	664	1	0	22.5	238.5	999
atoll_s3_A	1389	2	12	HOME	919	920	1	0	246.5	6.5	999
atoll_s3_A	1392	7	9	HOP	921	922	1	0	98.5	50.5	999
atoll_s3_A	1394	6	5	HOP	923	924	1	0	78.5	102.5	999
atoll_s3_A	1397	10	1	HOP	925	926	1	0	22.5	238.5	999
atoll_s3_B	7	13	5	HOME	1	2	1	0	200.5	8.5	537
atoll_s3_B	12	9	9	HOP	3	4	1	0	72.5	72.5	537
atoll_s3_B	21	4	13	RING	6	469	463	0	4.5	220.5	537
atoll_s3_B	57	15	5	HOME	24	25	1	0	246.5	6.5	537
atoll_s3_B	72	12	9	HOP	31	32	1	0	120.5	48.5	537
atoll_s3_B	457	4	0	HOP	280	321	41	0	212.5	116.5	537
atoll_s3_B	476	11	0	HOP	290	-1	247	1	282.5	18.5	537
atoll_s3_B	526	9	4	HOP	316	-1	221	1	152.5	32.5	537
atoll_s3_B	768	8	13	HOP	446	447	1	0	32.5	152.5	537
atoll_s3_B	838	10	13	HOP	498	499	1	0	58.5	130.5	537
atoll_s3_B	859	10	13	HOP	517	518	1	0	58.5	130.5	537
drakkarfjord_s1_A	7	5	23	HOME	1	2	1	0	804.5	8.5	739
drakkarfjord_s1_A	11	10	20	HOP	3	4	1	0	512.5	76.5	739
drakkarfjord_s1_A	13	14	16	HOP	5	6	1	0	288.5	204.5	739
drakkarfjord_s1_A	14	18	12	HOP	7	8	1	0	128.5	396.5	739
drakkarfjord_s1_A	15	22	8	HOP	9	10	1	0	32.5	652.5	739
drakkarfjord_s1_A	85	28	2	HOP	37	-1	702	1	8.5	1156.5	739
drakkarfjord_s1_A	316	4	22	HOME	186	187	1	0	812.5	8.5	739
drakkarfjord_s1_A	325	10	18	HOP	190	191	1	0	454.5	98.5	739
drakkarfjord_s1_A	359	21	9	HOP	204	205	1	0	50.5	582.5	739
drakkarfjord_s1_A	469	12	25	HOP	240	281	41	0	630.5	90.5	739
drakkarfjord_s1_A	503	5	28	HOP	251	364	113	0	1014.5	18.5	739
drakkarfjord_s1_A	519	0	28	HOP	257	363	106	0	1254.5	18.5	739
drakkarfjord_s1_A	543	5	22	HOP	267	268	1	0	768.5	12.5	739
drakkarfjord_s1_A	562	13	18	HOP	273	274	1	0	364.5	152.5	739
drakkarfjord_s1_A	574	19	12	HOP	279	280	1	0	112.5	428.5	739
drakkarfjord_s1_A	643	14	25	HOP	306	347	41	0	576.5	132.5	739
drakkarfjord_s1_A	657	11	28	HOP	313	354	41	0	792.5	84.5	739
drakkarfjord_s1_A	675	1	26	HOME	322	323	1	0	1112.5	4.5	739
drakkarfjord_s1_A	687	9	21	HOP	329	330	1	0	578.5	54.5	739
drakkarfjord_s1_A	698	16	15	HOP	336	337	1	0	220.5	272.5	739
drakkarfjord_s1_A	714	22	9	HOP	342	343	1	0	40.5	620.5	739
drakkarfjord_s1_A	762	12	14	HOP	364	410	46	0	300.5	200.5	739
drakkarfjord_s1_A	768	8	22	HOP	365	366	1	0	648.5	36.5	739
drakkarfjord_s1_A	781	14	17	HOP	370	371	1	0	312.5	188.5	739
drakkarfjord_s1_A	795	20	11	HOP	376	377	1	0	84.5	488.5	739
drakkarfjord_s1_A	842	18	28	HOP	396	437	41	0	624.5	252.5	739
drakkarfjord_s1_A	857	2	27	HOME	401	402	1	0	1106.5	6.5	739
drakkarfjord_s1_A	869	8	22	HOP	406	407	1	0	648.5	36.5	739
drakkarfjord_s1_A	879	14	18	HOP	410	411	1	0	338.5	174.5	739
drakkarfjord_s1_A	890	19	11	HOP	416	417	1	0	98.5	454.5	739
drakkarfjord_s1_A	933	1	8	HOP	436	477	41	0	662.5	274.5	739
drakkarfjord_s1_A	942	4	22	HOME	439	440	1	0	812.5	8.5	739
drakkarfjord_s1_A	952	11	18	HOP	444	445	1	0	422.5	114.5	739
drakkarfjord_s1_A	968	18	13	HOP	450	451	1	0	144.5	372.5	739
drakkarfjord_s1_A	1004	20	18	HOP	468	-1	271	1	224.5	348.5	739
drakkarfjord_s1_A	1014	4	22	HOME	472	473	1	0	812.5	8.5	739
drakkarfjord_s1_A	1029	11	18	HOP	477	478	1	0	422.5	114.5	739
drakkarfjord_s1_A	1041	18	12	HOP	484	485	1	0	128.5	396.5	739
drakkarfjord_s1_A	1083	7	28	HOP	502	543	41	0	932.5	32.5	739
drakkarfjord_s1_A	1093	4	22	HOME	506	507	1	0	812.5	8.5	739
drakkarfjord_s1_A	1102	11	18	HOP	511	512	1	0	422.5	114.5	739
drakkarfjord_s1_A	1123	18	13	HOP	517	518	1	0	144.5	372.5	739
drakkarfjord_s1_A	1180	28	7	HOP	535	575	40	0	8.5	956.5	739
drakkarfjord_s1_A	1213	5	5	HOP	545	586	41	0	462.5	386.5	739
drakkarfjord_s1_A	1239	10	5	HOP	553	594	41	0	272.5	436.5	739
drakkarfjord_s1_A	1243	4	22	HOME	554	555	1	0	812.5	8.5	739
drakkarfjord_s1_A	1261	12	18	HOP	560	561	1	0	392.5	132.5	739
drakkarfjord_s1_A	1288	19	11	HOP	568	569	1	0	98.5	454.5	739
drakkarfjord_s1_A	1367	2	27	HOME	593	594	1	0	1106.5	6.5	739
drakkarfjord_s1_A	1383	8	22	HOP	598	599	1	0	648.5	36.5	739
drakkarfjord_s1_B	7	24	6	HOME	1	2	1	0	804.5	8.5	122
drakkarfjord_s1_B	11	19	9	HOP	3	4	1	0	512.5	76.5	122
drakkarfjord_s1_B	13	15	13	HOP	5	6	1	0	288.5	204.5	122
drakkarfjord_s1_B	14	11	17	HOP	7	8	1	0	128.5	396.5	122
drakkarfjord_s1_B	15	7	21	HOP	9	10	1	0	32.5	652.5	122
drakkarfjord_s2_A	7	5	23	HOME	1	2	1	0	804.5	8.5	131
