tag	siege_r	idle_r	ammo_med	lt10	ge10	ge120	idle_med
atoll_s1_A	72	173	5.0	0.875	0.125	0.0	20
atoll_s1_B	104	53	8.0	0.7596153846153846	0.2403846153846154	0.0	24
atoll_s2_A	756	244	135.0	0.0	1.0	0.9788359788359788	139.0
atoll_s2_B	11	175	62	0.0	1.0	0.0	24
atoll_s3_A	6	994	79.0	0.0	1.0	0.16666666666666666	60.0
atoll_s3_B	0	538	-1	-1	-1	-1	40.0
drakkarfjord_s1_A	0	740	-1	-1	-1	-1	24.0
drakkarfjord_s1_B	55	68	153	0.0	1.0	1.0	0.0
drakkarfjord_s2_A	55	77	115	0.05454545454545454	0.9454545454545454	0.43636363636363634	4
drakkarfjord_s2_B	87	61	131	0.0	1.0	0.5977011494252874	4
drakkarfjord_s3_A	313	215	290	0.0	1.0	0.952076677316294	24
drakkarfjord_s3_B	84	165	137.0	0.0	1.0	0.5714285714285714	65
glacierkeep_s1_A	92	341	7.0	0.8369565217391305	0.16304347826086957	0.0	20
glacierkeep_s1_B	115	74	5	0.9043478260869565	0.09565217391304348	0.0	2.5
glacierkeep_s2_A	104	81	5.0	0.9711538461538461	0.028846153846153848	0.0	24
glacierkeep_s2_B	91	82	7	0.8241758241758241	0.17582417582417584	0.0	20.0
glacierkeep_s3_A	225	408	7	0.8888888888888888	0.1111111111111111	0.0	40.0
glacierkeep_s3_B	923	77	3	0.9794149512459371	0.020585048754062838	0.0	19
midgard_s1_A	0	357	-1	-1	-1	-1	24
midgard_s1_B	12	839	146.0	0.08333333333333333	0.9166666666666666	0.5833333333333334	40
midgard_s2_A	55	203	148	0.0	1.0	0.8363636363636363	20
midgard_s2_B	68	43	159.0	0.014705882352941176	0.9852941176470589	0.9264705882352942	16
midgard_s3_A	0	228	-1	-1	-1	-1	8.0
midgard_s3_B	115	58	81	0.0	1.0	0.26956521739130435	16.0
nordkap_s1_A	0	169	-1	-1	-1	-1	3
nordkap_s1_B	55	229	23	0.0	1.0	0.0	20
nordkap_s2_A	0	362	-1	-1	-1	-1	24.0
nordkap_s2_B	55	113	51	0.0	1.0	0.0	24
nordkap_s3_A	0	325	-1	-1	-1	-1	9
nordkap_s3_B	55	401	152	0.0	1.0	0.7454545454545455	20
