tag	rnd	why	scale_pct	sent_price	builder_bot	conveyor	splitter	barrier	harvester	launcher	gunner	sentinel
atoll_s1_A	140	first_fwd_sentinel	327	98	80	11	0	1	15	0	60	60
atoll_s1_A	300	r300	357	107	100	11	0	1	15	10	60	60
atoll_s1_A	927	end	457	137	180	11	0	1	15	10	80	60
atoll_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s1_B	183	r300	282	84	80	11	0	6	15	10	20	40
atoll_s1_B	183	end	282	84	80	11	0	6	15	10	20	40
atoll_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_A	94	first_fwd_sentinel	281	84	80	11	0	5	15	10	20	40
atoll_s2_A	300	r300	282	84	80	11	0	6	15	10	20	40
atoll_s2_A	834	end	282	84	80	11	0	6	15	10	20	40
atoll_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s2_B	94	first_fwd_sentinel	273	81	80	13	0	5	15	20	0	40
atoll_s2_B	149	r300	253	75	60	13	0	5	15	20	0	40
atoll_s2_B	149	end	253	75	60	13	0	5	15	20	0	40
atoll_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_A	192	first_fwd_sentinel	417	125	80	14	0	3	20	20	60	120
atoll_s3_A	300	r300	496	148	80	14	0	2	20	60	100	120
atoll_s3_A	359	end	456	136	60	14	0	2	20	40	100	120
atoll_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s3_B	300	r300	284	85	20	11	0	3	10	0	80	60
atoll_s3_B	373	end	304	91	40	11	0	3	10	0	80	60
atoll_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s4_A	96	first_fwd_sentinel	289	86	100	4	0	5	10	10	20	40
atoll_s4_A	300	r300	285	85	60	10	0	0	15	0	20	80
atoll_s4_A	661	end	434	130	180	9	0	0	15	10	40	80
atoll_s4_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s4_B	206	r300	214	64	60	2	0	2	10	0	40	0
atoll_s4_B	206	end	214	64	60	2	0	2	10	0	40	0
atoll_s4_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s5_A	496	first_fwd_sentinel	504	151	100	17	0	7	20	20	120	120
atoll_s5_A	300	r300	383	114	120	11	0	7	15	10	40	80
atoll_s5_A	541	end	485	145	60	17	0	8	20	20	120	140
atoll_s5_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s5_B	130	first_fwd_sentinel	303	90	80	12	0	6	15	10	20	60
atoll_s5_B	255	r300	303	90	80	12	0	6	15	10	20	60
atoll_s5_B	255	end	303	90	80	12	0	6	15	10	20	60
atoll_s5_B	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s6_A	31	first_fwd_sentinel	234	70	80	12	0	2	10	10	0	20
atoll_s6_A	254	r300	241	72	60	13	0	3	15	10	0	40
atoll_s6_A	254	end	241	72	60	13	0	3	15	10	0	40
atoll_s6_A	0	r0	120	36	20	0	0	0	0	0	0	0
atoll_s6_B	171	r300	275	82	80	10	0	0	15	10	0	60
atoll_s6_B	171	end	275	82	80	10	0	0	15	10	0	60
atoll_s6_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_A	128	first_fwd_sentinel	364	109	100	20	0	9	15	0	20	100
drakkarfjord_s1_A	213	r300	363	108	100	20	0	8	15	0	20	100
drakkarfjord_s1_A	213	end	363	108	100	20	0	8	15	0	20	100
drakkarfjord_s1_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s1_B	308	first_fwd_sentinel	342	102	100	15	0	7	10	10	20	80
drakkarfjord_s1_B	300	r300	322	96	100	15	0	7	10	10	20	60
drakkarfjord_s1_B	999	end	332	99	80	15	0	7	20	10	20	80
drakkarfjord_s1_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_A	71	first_fwd_sentinel	277	83	100	10	0	7	10	10	0	40
drakkarfjord_s2_A	172	r300	278	83	100	10	0	8	10	10	0	40
drakkarfjord_s2_A	172	end	278	83	100	10	0	8	10	10	0	40
drakkarfjord_s2_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s2_B	82	first_fwd_sentinel	306	91	100	40	0	6	20	0	20	20
drakkarfjord_s2_B	140	r300	265	79	60	37	0	8	20	0	20	20
drakkarfjord_s2_B	140	end	265	79	60	37	0	8	20	0	20	20
drakkarfjord_s2_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_A	300	r300	450	135	60	86	0	4	40	60	20	80
drakkarfjord_s3_A	999	end	410	122	20	86	0	4	40	60	20	80
drakkarfjord_s3_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s3_B	300	r300	279	83	40	62	0	2	25	10	20	20
drakkarfjord_s3_B	358	end	262	78	40	65	0	2	25	10	0	20
drakkarfjord_s3_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s4_A	274	first_fwd_sentinel	435	130	80	99	0	6	40	10	20	80
drakkarfjord_s4_A	300	r300	424	127	80	99	0	5	40	20	20	60
drakkarfjord_s4_A	999	end	525	157	80	99	0	6	40	100	40	60
drakkarfjord_s4_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s4_B	252	first_fwd_sentinel	419	125	100	43	0	11	25	0	60	80
drakkarfjord_s4_B	300	r300	419	125	100	43	0	11	25	0	60	80
drakkarfjord_s4_B	500	end	379	113	60	43	0	11	25	0	60	80
drakkarfjord_s4_B	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s5_A	300	r300	426	127	60	99	0	2	45	20	20	80
drakkarfjord_s5_A	562	end	411	123	60	94	0	2	35	20	20	80
drakkarfjord_s5_A	0	r0	120	36	20	0	0	0	0	0	0	0
drakkarfjord_s5_B	60	first_fwd_sentinel	268	80	100	25	0	8	15	0	0	20
drakkarfjord_s5_B	300	r300	388	116	80	88	0	10	40	10	40	20
drakkarfjord_s5_B	310	end	388	116	80	88	0	10	40	10	40	20
