tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s37_A	atoll	37	A	OPP	_v488beltbreak2	Core destroyed	196	0	950	2030
atoll_s37_B	atoll	37	B	OPP	_v488beltbreak2	Core destroyed	532	0	1030	2640
atoll_s38_A	atoll	38	A	US	flagoff	Core destroyed	460	0	1230	380
atoll_s38_B	atoll	38	B	US	flagoff	Core destroyed	157	0	500	430
atoll_s39_A	atoll	39	A	US	flagoff	Core destroyed	669	0	3770	3810
atoll_s39_B	atoll	39	B	US	flagoff	Core destroyed	196	0	960	560
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	_v488beltbreak2	Core destroyed	904	0	4720	7110
drakkarfjord_s37_B	drakkarfjord	37	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	10450	18480
drakkarfjord_s38_A	drakkarfjord	38	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	7950	9930
drakkarfjord_s38_B	drakkarfjord	38	B	US	flagoff	Core destroyed	201	0	820	0
drakkarfjord_s39_A	drakkarfjord	39	A	OPP	_v488beltbreak2	Core destroyed	822	0	460	1140
drakkarfjord_s39_B	drakkarfjord	39	B	US	flagoff	Core destroyed	127	0	370	0
glacierkeep_s37_A	glacierkeep	37	A	US	flagoff	Core destroyed	241	0	130	0
glacierkeep_s37_B	glacierkeep	37	B	US	flagoff	Core destroyed	280	0	0	0
glacierkeep_s38_A	glacierkeep	38	A	US	flagoff	Core destroyed	377	0	160	0
glacierkeep_s38_B	glacierkeep	38	B	OPP	_v488beltbreak2	Core destroyed	943	0	290	2980
glacierkeep_s39_A	glacierkeep	39	A	US	flagoff	Core destroyed	269	0	230	0
glacierkeep_s39_B	glacierkeep	39	B	US	flagoff	Titanium collected (tiebreak)	1000	0	30	0
midgard_s37_A	midgard	37	A	OPP	_v488beltbreak2	Core destroyed	169	0	550	1090
midgard_s37_B	midgard	37	B	OPP	_v488beltbreak2	Core destroyed	152	0	640	1400
midgard_s38_A	midgard	38	A	US	flagoff	Core destroyed	276	0	2260	580
midgard_s38_B	midgard	38	B	OPP	_v488beltbreak2	Core destroyed	119	0	610	1280
midgard_s39_A	midgard	39	A	US	flagoff	Core destroyed	190	0	1220	260
midgard_s39_B	midgard	39	B	OPP	_v488beltbreak2	Core destroyed	173	0	750	1040
nordkap_s37_A	nordkap	37	A	US	flagoff	Core destroyed	356	0	4150	4510
nordkap_s37_B	nordkap	37	B	OPP	_v488beltbreak2	Core destroyed	204	0	520	2730
nordkap_s38_A	nordkap	38	A	OPP	_v488beltbreak2	Core destroyed	169	0	100	1200
nordkap_s38_B	nordkap	38	B	US	flagoff	Core destroyed	296	0	3290	1670
nordkap_s39_A	nordkap	39	A	US	flagoff	Core destroyed	474	0	1640	370
nordkap_s39_B	nordkap	39	B	OPP	_v488beltbreak2	Core destroyed	422	0	1920	3080
