tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s1_A	archipelago	1	A	OPP	_v468kladturbo	Core destroyed	437	0	3190	3260
archipelago_s1_B	archipelago	1	B	US	_v518fastsent	Core destroyed	141	0	1520	790
archipelago_s2_A	archipelago	2	A	US	_v518fastsent	Core destroyed	259	0	1940	1300
archipelago_s2_B	archipelago	2	B	OPP	_v468kladturbo	Core destroyed	141	0	650	750
archipelago_s3_A	archipelago	3	A	US	_v518fastsent	Core destroyed	184	0	1690	760
archipelago_s3_B	archipelago	3	B	US	_v518fastsent	Core destroyed	144	0	1230	990
archipelago_s4_A	archipelago	4	A	OPP	_v468kladturbo	Core destroyed	237	0	1700	1690
archipelago_s4_B	archipelago	4	B	US	_v518fastsent	Core destroyed	163	0	1440	1010
archipelago_s5_A	archipelago	5	A	US	_v518fastsent	Core destroyed	295	0	2120	1450
archipelago_s5_B	archipelago	5	B	US	_v518fastsent	Titanium collected (tiebreak)	1000	0	9880	9400
archipelago_s6_A	archipelago	6	A	OPP	_v468kladturbo	Core destroyed	134	0	920	1190
archipelago_s6_B	archipelago	6	B	US	_v518fastsent	Core destroyed	264	0	2040	1240
archipelago_s7_A	archipelago	7	A	US	_v518fastsent	Core destroyed	381	0	2770	2760
archipelago_s7_B	archipelago	7	B	US	_v518fastsent	Core destroyed	141	0	1200	650
archipelago_s8_A	archipelago	8	A	OPP	_v468kladturbo	Core destroyed	127	0	650	1110
archipelago_s8_B	archipelago	8	B	US	_v518fastsent	Core destroyed	211	0	1950	1110
archipelago_s9_A	archipelago	9	A	US	_v518fastsent	Core destroyed	473	0	5270	2650
archipelago_s9_B	archipelago	9	B	US	_v518fastsent	Core destroyed	114	0	700	530
archipelago_s10_A	archipelago	10	A	OPP	_v468kladturbo	Core destroyed	237	0	1700	1690
archipelago_s10_B	archipelago	10	B	US	_v518fastsent	Core destroyed	180	0	1640	750
archipelago_s11_A	archipelago	11	A	OPP	_v468kladturbo	Core destroyed	164	0	1490	840
archipelago_s11_B	archipelago	11	B	OPP	_v468kladturbo	Core destroyed	376	0	2010	2750
archipelago_s12_A	archipelago	12	A	US	_v518fastsent	Core destroyed	473	0	5500	2650
archipelago_s12_B	archipelago	12	B	OPP	_v468kladturbo	Core destroyed	319	0	1070	960
archipelago_s13_A	archipelago	13	A	US	_v518fastsent	Core destroyed	108	0	1140	530
archipelago_s13_B	archipelago	13	B	US	_v518fastsent	Core destroyed	141	0	1240	650
archipelago_s14_A	archipelago	14	A	OPP	_v468kladturbo	Core destroyed	89	0	500	740
archipelago_s14_B	archipelago	14	B	US	_v518fastsent	Core destroyed	123	0	1380	820
archipelago_s15_A	archipelago	15	A	US	_v518fastsent	Core destroyed	291	0	6210	1520
archipelago_s15_B	archipelago	15	B	US	_v518fastsent	Core destroyed	597	0	3160	3400
archipelago_s16_A	archipelago	16	A	US	_v518fastsent	Core destroyed	106	0	930	700
archipelago_s16_B	archipelago	16	B	OPP	_v468kladturbo	Core destroyed	127	0	1110	950
archipelago_s17_A	archipelago	17	A	US	_v518fastsent	Core destroyed	535	0	4020	2810
archipelago_s17_B	archipelago	17	B	US	_v518fastsent	Core destroyed	129	0	1110	840
archipelago_s18_A	archipelago	18	A	OPP	_v468kladturbo	Core destroyed	224	0	2090	1160
archipelago_s18_B	archipelago	18	B	US	_v518fastsent	Core destroyed	154	0	1390	700
