tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s1_A	atoll	1	A	OPP	_v488beltbreak2	Core destroyed	470	0	1250	2300
atoll_s1_B	atoll	1	B	OPP	_v488beltbreak2	Core destroyed	323	0	350	1040
atoll_s2_A	atoll	2	A	US	mFloor0	Core destroyed	609	0	5800	2130
atoll_s2_B	atoll	2	B	US	mFloor0	Core destroyed	332	0	1520	2890
atoll_s3_A	atoll	3	A	US	mFloor0	Core destroyed	482	0	2380	2360
atoll_s3_B	atoll	3	B	US	mFloor0	Core destroyed	208	0	1000	490
drakkarfjord_s1_A	drakkarfjord	1	A	US	mFloor0	Core destroyed	604	0	4850	3660
drakkarfjord_s1_B	drakkarfjord	1	B	US	mFloor0	Core destroyed	685	0	1100	0
drakkarfjord_s2_A	drakkarfjord	2	A	OPP	_v488beltbreak2	Core destroyed	242	0	330	1330
drakkarfjord_s2_B	drakkarfjord	2	B	US	mFloor0	Core destroyed	143	0	610	0
drakkarfjord_s3_A	drakkarfjord	3	A	OPP	_v488beltbreak2	Core destroyed	692	0	300	1270
drakkarfjord_s3_B	drakkarfjord	3	B	US	mFloor0	Core destroyed	134	0	350	0
glacierkeep_s1_A	glacierkeep	1	A	US	mFloor0	Core destroyed	140	0	290	0
glacierkeep_s1_B	glacierkeep	1	B	US	mFloor0	Core destroyed	293	0	20	0
glacierkeep_s2_A	glacierkeep	2	A	US	mFloor0	Core destroyed	152	0	320	0
glacierkeep_s2_B	glacierkeep	2	B	US	mFloor0	Core destroyed	401	0	30	0
glacierkeep_s3_A	glacierkeep	3	A	US	mFloor0	Core destroyed	189	0	140	0
glacierkeep_s3_B	glacierkeep	3	B	US	mFloor0	Core destroyed	173	0	180	0
midgard_s1_A	midgard	1	A	OPP	_v488beltbreak2	Core destroyed	156	0	520	1130
midgard_s1_B	midgard	1	B	OPP	_v488beltbreak2	Core destroyed	126	0	550	1670
midgard_s2_A	midgard	2	A	OPP	_v488beltbreak2	Core destroyed	127	0	760	990
midgard_s2_B	midgard	2	B	OPP	_v488beltbreak2	Core destroyed	134	0	720	1760
midgard_s3_A	midgard	3	A	OPP	_v488beltbreak2	Core destroyed	292	0	630	4450
midgard_s3_B	midgard	3	B	OPP	_v488beltbreak2	Core destroyed	165	0	560	1370
nordkap_s1_A	nordkap	1	A	OPP	_v488beltbreak2	Core destroyed	169	0	180	1650
nordkap_s1_B	nordkap	1	B	OPP	_v488beltbreak2	Core destroyed	358	0	1500	2620
nordkap_s2_A	nordkap	2	A	US	mFloor0	Core destroyed	164	0	390	160
nordkap_s2_B	nordkap	2	B	US	mFloor0	Core destroyed	445	0	2530	530
nordkap_s3_A	nordkap	3	A	OPP	_v488beltbreak2	Core destroyed	232	0	560	1380
nordkap_s3_B	nordkap	3	B	US	mFloor0	Core destroyed	897	0	2220	290
