r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	305	0	0	354	0	0	0	0	1	3	0	0	0	0
4	500	500	295	0	0	300	0	0	0	0	0	3	0	0	0	0
5	500	500	262	0	0	260	0	0	0	0	1	3	0	0	0	0
6	500	500	272	0	10	187	0	0	0	0	0	3	0	0	0	0
7	500	500	249	0	10	197	0	0	0	0	1	3	0	0	0	0
8	500	500	249	0	10	207	0	10	0	0	0	3	0	0	0	0
9	500	500	181	0	10	207	0	10	0	0	1	3	0	0	0	0
10	500	500	170	16	20	207	0	10	0	0	0	3	0	0	0	0
11	500	500	146	16	20	217	0	10	0	0	1	3	0	0	1	0
12	500	500	141	16	20	136	0	20	0	0	1	3	0	0	1	0
13	500	500	136	16	20	106	16	20	0	0	1	3	0	0	1	0
14	500	500	109	16	30	99	16	20	0	0	1	3	0	0	1	0
15	500	500	109	16	30	102	16	20	0	0	1	3	0	0	1	0
16	500	500	109	16	30	112	16	30	0	0	1	3	0	0	1	0
17	500	500	99	16	30	115	16	40	0	0	1	3	0	0	1	0
18	500	500	109	16	40	115	16	40	0	0	1	3	0	0	1	0
19	500	500	139	16	60	118	16	40	0	0	1	3	0	0	1	0
20	500	500	139	16	60	80	16	50	0	0	1	3	0	0	1	0
21	500	500	149	16	70	76	16	60	0	0	1	3	0	0	1	0
22	500	500	159	16	80	86	16	70	0	0	1	3	0	0	1	0
23	500	500	179	16	90	49	16	80	0	0	1	3	0	0	1	0
24	500	500	179	16	90	35	16	80	0	0	1	3	0	0	1	0
25	500	500	189	16	100	55	16	100	0	0	1	3	0	0	1	0
26	500	500	189	16	100	41	16	100	0	0	1	3	0	0	1	0
27	500	500	181	16	120	54	16	110	0	0	1	3	0	0	1	0
28	500	500	176	16	120	64	16	120	0	0	1	3	0	0	1	0
