r	our_core_hp	opp_core_hp	our_ti	our_ammo	our_coll	opp_ti	opp_ammo	opp_coll	sent	gun	lau	bot	near_bot	near_sent	near_lau	opp_near_bot
0	500	500	470	0	0	470	0	0	0	0	0	1	0	0	0	0
1	500	500	406	0	0	434	0	0	0	0	1	2	0	0	0	0
2	500	500	361	0	0	392	0	0	0	0	0	3	0	0	0	0
3	500	500	339	0	0	354	0	0	0	0	1	3	0	0	1	0
4	500	500	339	0	0	300	0	0	0	0	0	3	1	0	0	0
5	500	500	335	0	0	284	16	0	0	0	0	3	1	0	0	0
6	500	500	246	0	0	236	24	0	0	0	0	4	1	0	0	0
7	500	500	194	0	0	179	24	0	0	0	0	5	0	0	0	0
8	500	500	80	0	0	179	14	0	0	0	1	6	0	0	1	0
9	500	500	73	0	0	157	24	0	0	0	1	6	1	0	1	0
10	500	500	57	16	0	157	14	0	0	0	0	6	1	0	0	0
11	500	500	69	24	10	112	24	0	0	0	0	6	0	0	0	0
12	500	500	69	24	10	46	24	10	0	0	0	6	1	0	0	0
13	482	500	0	24	10	30	30	10	1	0	0	6	0	0	0	0
14	482	500	0	14	10	7	46	10	1	0	0	6	0	0	0	1
15	464	500	20	14	20	10	36	10	1	0	0	6	0	0	0	1
16	464	500	12	12	20	13	36	20	1	0	0	6	0	0	0	1
17	450	500	11	12	20	13	26	20	1	0	0	6	0	0	0	0
18	458	500	9	2	20	5	26	20	1	0	0	6	1	0	0	0
19	466	500	27	2	30	25	26	30	1	0	0	6	1	0	0	1
20	474	500	10	7	30	22	39	40	1	0	0	6	1	0	0	1
21	486	500	7	7	30	22	49	50	1	0	0	6	1	0	0	0
22	498	500	4	7	30	12	59	50	1	0	0	6	1	0	0	1
23	500	500	23	7	40	20	59	50	1	0	0	6	2	0	0	1
24	500	500	5	8	40	28	59	60	1	0	0	6	2	0	0	1
25	500	500	5	8	40	31	59	70	1	0	0	6	2	0	0	1
26	500	500	5	8	40	29	59	70	1	0	0	6	2	0	0	1
27	500	500	25	8	50	37	59	70	1	0	0	6	2	0	0	1
28	500	500	5	21	50	45	59	80	1	0	0	6	2	0	0	1
