tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s1_A	archipelago	1	A	OPP	_v468kladturbo	Core destroyed	329	0	2160	1630
archipelago_s1_B	archipelago	1	B	US	parent	Core destroyed	116	0	1210	640
archipelago_s2_A	archipelago	2	A	OPP	_v468kladturbo	Core destroyed	208	0	1550	1500
archipelago_s2_B	archipelago	2	B	US	parent	Core destroyed	143	0	960	1000
archipelago_s3_A	archipelago	3	A	OPP	_v468kladturbo	Core destroyed	537	0	3950	3930
archipelago_s3_B	archipelago	3	B	US	parent	Core destroyed	238	0	2160	1370
archipelago_s4_A	archipelago	4	A	OPP	_v468kladturbo	Core destroyed	97	0	650	810
archipelago_s4_B	archipelago	4	B	US	parent	Core destroyed	100	0	840	660
archipelago_s5_A	archipelago	5	A	US	parent	Core destroyed	153	0	1430	1030
archipelago_s5_B	archipelago	5	B	US	parent	Core destroyed	150	0	950	770
archipelago_s6_A	archipelago	6	A	US	parent	Core destroyed	182	0	1280	870
archipelago_s6_B	archipelago	6	B	US	parent	Core destroyed	121	0	1000	830
archipelago_s7_A	archipelago	7	A	OPP	_v468kladturbo	Core destroyed	351	0	1670	1780
archipelago_s7_B	archipelago	7	B	US	parent	Core destroyed	279	0	1970	2250
archipelago_s8_A	archipelago	8	A	OPP	_v468kladturbo	Core destroyed	241	0	1270	1690
archipelago_s8_B	archipelago	8	B	OPP	_v468kladturbo	Core destroyed	110	0	530	730
archipelago_s9_A	archipelago	9	A	OPP	_v468kladturbo	Core destroyed	331	0	2390	2500
archipelago_s9_B	archipelago	9	B	US	parent	Core destroyed	100	0	840	660
archipelago_s10_A	archipelago	10	A	OPP	_v468kladturbo	Core destroyed	261	0	1540	1310
archipelago_s10_B	archipelago	10	B	US	parent	Core destroyed	134	0	1200	920
archipelago_s11_A	archipelago	11	A	US	parent	Core destroyed	106	0	900	890
archipelago_s11_B	archipelago	11	B	US	parent	Core destroyed	118	0	1000	740
archipelago_s12_A	archipelago	12	A	US	parent	Core destroyed	200	0	1670	420
archipelago_s12_B	archipelago	12	B	OPP	_v468kladturbo	Core destroyed	244	0	2350	1280
archipelago_s13_A	archipelago	13	A	US	parent	Core destroyed	226	0	2100	1620
archipelago_s13_B	archipelago	13	B	OPP	_v468kladturbo	Core destroyed	375	0	2190	2690
archipelago_s14_A	archipelago	14	A	US	parent	Core destroyed	224	0	2090	1600
archipelago_s14_B	archipelago	14	B	OPP	_v468kladturbo	Core destroyed	110	0	930	970
archipelago_s15_A	archipelago	15	A	OPP	_v468kladturbo	Core destroyed	389	0	620	340
archipelago_s15_B	archipelago	15	B	OPP	_v468kladturbo	Core destroyed	169	0	1030	940
archipelago_s16_A	archipelago	16	A	US	parent	Core destroyed	202	0	1830	1260
archipelago_s16_B	archipelago	16	B	US	parent	Core destroyed	320	0	3130	1090
archipelago_s17_A	archipelago	17	A	US	parent	Core destroyed	341	0	1740	1070
archipelago_s17_B	archipelago	17	B	US	parent	Core destroyed	150	0	1640	820
archipelago_s18_A	archipelago	18	A	OPP	_v468kladturbo	Core destroyed	92	0	500	760
archipelago_s18_B	archipelago	18	B	OPP	_v468kladturbo	Core destroyed	225	0	1560	1590
