tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s19_A	archipelago	19	A	OPP	_v468kladturbo	Core destroyed	224	0	2090	1160
archipelago_s19_B	archipelago	19	B	OPP	_v468kladturbo	Core destroyed	222	0	1420	2070
archipelago_s20_A	archipelago	20	A	US	_v519cripple	Core destroyed	557	0	3460	800
archipelago_s20_B	archipelago	20	B	OPP	_v468kladturbo	Core destroyed	419	0	3150	6130
archipelago_s21_A	archipelago	21	A	US	_v519cripple	Core destroyed	230	0	3240	1060
archipelago_s21_B	archipelago	21	B	US	_v519cripple	Core destroyed	238	0	2160	1370
archipelago_s22_A	archipelago	22	A	US	_v519cripple	Core destroyed	535	0	4020	2810
archipelago_s22_B	archipelago	22	B	US	_v519cripple	Core destroyed	102	0	870	570
archipelago_s23_A	archipelago	23	A	US	_v519cripple	Core destroyed	245	0	1820	1260
archipelago_s23_B	archipelago	23	B	US	_v519cripple	Core destroyed	132	0	1130	710
archipelago_s24_A	archipelago	24	A	OPP	_v468kladturbo	Core destroyed	329	0	2160	1630
archipelago_s24_B	archipelago	24	B	OPP	_v468kladturbo	Core destroyed	126	0	670	1160
archipelago_s25_A	archipelago	25	A	OPP	_v468kladturbo	Core destroyed	560	0	4260	4120
archipelago_s25_B	archipelago	25	B	OPP	_v468kladturbo	Core destroyed	244	0	2350	1280
archipelago_s26_A	archipelago	26	A	US	_v519cripple	Titanium collected (tiebreak)	1000	0	7790	4920
archipelago_s26_B	archipelago	26	B	US	_v519cripple	Core destroyed	194	0	1650	980
archipelago_s27_A	archipelago	27	A	US	_v519cripple	Core destroyed	182	0	1280	870
archipelago_s27_B	archipelago	27	B	OPP	_v468kladturbo	Core destroyed	417	0	1240	1210
archipelago_s28_A	archipelago	28	A	US	_v519cripple	Core destroyed	156	0	1410	810
archipelago_s28_B	archipelago	28	B	US	_v519cripple	Core destroyed	147	0	860	540
archipelago_s29_A	archipelago	29	A	US	_v519cripple	Core destroyed	153	0	1430	1030
archipelago_s29_B	archipelago	29	B	OPP	_v468kladturbo	Core destroyed	283	0	1230	3290
archipelago_s30_A	archipelago	30	A	US	_v519cripple	Core destroyed	389	0	2840	1990
archipelago_s30_B	archipelago	30	B	US	_v519cripple	Core destroyed	222	0	2080	1110
archipelago_s31_A	archipelago	31	A	US	_v519cripple	Core destroyed	144	0	1280	960
archipelago_s31_B	archipelago	31	B	US	_v519cripple	Core destroyed	299	0	2130	1460
archipelago_s32_A	archipelago	32	A	US	_v519cripple	Titanium collected (tiebreak)	1000	0	5120	2760
archipelago_s32_B	archipelago	32	B	US	_v519cripple	Core destroyed	147	0	1260	710
archipelago_s33_A	archipelago	33	A	US	_v519cripple	Core destroyed	213	0	1970	1100
archipelago_s33_B	archipelago	33	B	US	_v519cripple	Core destroyed	134	0	1160	910
archipelago_s34_A	archipelago	34	A	US	_v519cripple	Core destroyed	422	0	4050	1110
archipelago_s34_B	archipelago	34	B	US	_v519cripple	Core destroyed	310	0	1700	1590
archipelago_s35_A	archipelago	35	A	US	_v519cripple	Core destroyed	162	0	1460	800
archipelago_s35_B	archipelago	35	B	US	_v519cripple	Core destroyed	143	0	1240	1010
archipelago_s36_A	archipelago	36	A	OPP	_v468kladturbo	Core destroyed	220	0	1550	1120
archipelago_s36_B	archipelago	36	B	US	_v519cripple	Core destroyed	463	0	3360	3360
