tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s19_A	archipelago	19	A	OPP	_v468kladturbo	Core destroyed	241	0	1230	1720
archipelago_s19_B	archipelago	19	B	US	_v520pincer	Core destroyed	157	0	1730	940
archipelago_s20_A	archipelago	20	A	US	_v520pincer	Core destroyed	351	0	2630	1750
archipelago_s20_B	archipelago	20	B	US	_v520pincer	Core destroyed	164	0	1700	1020
archipelago_s21_A	archipelago	21	A	OPP	_v468kladturbo	Core destroyed	189	0	1340	1320
archipelago_s21_B	archipelago	21	B	US	_v520pincer	Core destroyed	649	0	2560	2390
archipelago_s22_A	archipelago	22	A	OPP	_v468kladturbo	Core destroyed	183	0	2160	970
archipelago_s22_B	archipelago	22	B	US	_v520pincer	Core destroyed	173	0	1870	960
archipelago_s23_A	archipelago	23	A	OPP	_v468kladturbo	Core destroyed	250	0	1300	1820
archipelago_s23_B	archipelago	23	B	OPP	_v468kladturbo	Core destroyed	243	0	1270	1760
archipelago_s24_A	archipelago	24	A	OPP	_v468kladturbo	Core destroyed	141	0	980	990
archipelago_s24_B	archipelago	24	B	US	_v520pincer	Core destroyed	152	0	1300	1050
archipelago_s25_A	archipelago	25	A	US	_v520pincer	Core destroyed	283	0	2100	1390
archipelago_s25_B	archipelago	25	B	US	_v520pincer	Core destroyed	164	0	1770	950
archipelago_s26_A	archipelago	26	A	US	_v520pincer	Core destroyed	165	0	1910	1140
archipelago_s26_B	archipelago	26	B	US	_v520pincer	Core destroyed	153	0	1830	1240
archipelago_s27_A	archipelago	27	A	US	_v520pincer	Core destroyed	273	0	2080	1330
archipelago_s27_B	archipelago	27	B	US	_v520pincer	Core destroyed	164	0	1730	1040
archipelago_s28_A	archipelago	28	A	OPP	_v468kladturbo	Core destroyed	114	0	1070	890
archipelago_s28_B	archipelago	28	B	OPP	_v468kladturbo	Core destroyed	335	0	1590	2430
archipelago_s29_A	archipelago	29	A	OPP	_v468kladturbo	Core destroyed	153	0	1080	1060
archipelago_s29_B	archipelago	29	B	OPP	_v468kladturbo	Core destroyed	515	0	5910	5220
archipelago_s30_A	archipelago	30	A	OPP	_v468kladturbo	Core destroyed	174	0	1100	690
archipelago_s30_B	archipelago	30	B	US	_v520pincer	Core destroyed	166	0	1500	850
archipelago_s31_A	archipelago	31	A	US	_v520pincer	Core destroyed	338	0	2600	1760
archipelago_s31_B	archipelago	31	B	OPP	_v468kladturbo	Core destroyed	176	0	950	920
archipelago_s32_A	archipelago	32	A	OPP	_v468kladturbo	Core destroyed	237	0	1020	1790
archipelago_s32_B	archipelago	32	B	US	_v520pincer	Core destroyed	150	0	1020	1060
archipelago_s33_A	archipelago	33	A	US	_v520pincer	Core destroyed	247	0	3430	830
archipelago_s33_B	archipelago	33	B	US	_v520pincer	Core destroyed	395	0	1250	1250
archipelago_s34_A	archipelago	34	A	US	_v520pincer	Core destroyed	328	0	1750	1210
archipelago_s34_B	archipelago	34	B	US	_v520pincer	Core destroyed	118	0	990	760
archipelago_s35_A	archipelago	35	A	US	_v520pincer	Core destroyed	356	0	2730	1100
archipelago_s35_B	archipelago	35	B	US	_v520pincer	Core destroyed	152	0	1000	610
archipelago_s36_A	archipelago	36	A	US	_v520pincer	Core destroyed	91	0	590	570
archipelago_s36_B	archipelago	36	B	US	_v520pincer	Titanium collected (tiebreak)	1000	0	5340	4960
