tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s516_A	atoll	516	A	US	iGUN	Core destroyed	216	0	2040	290
atoll_s516_B	atoll	516	B	OPP	_v488beltbreak2	Core destroyed	843	0	380	2200
atoll_s517_A	atoll	517	A	OPP	_v488beltbreak2	Core destroyed	817	0	4090	4140
atoll_s517_B	atoll	517	B	US	iGUN	Core destroyed	416	0	2040	2040
atoll_s518_A	atoll	518	A	US	iGUN	Core destroyed	366	0	1790	460
atoll_s518_B	atoll	518	B	OPP	_v488beltbreak2	Core destroyed	341	0	370	890
drakkarfjord_s516_A	drakkarfjord	516	A	US	iGUN	Core destroyed	333	0	460	0
drakkarfjord_s516_B	drakkarfjord	516	B	US	iGUN	Core destroyed	126	0	360	0
drakkarfjord_s517_A	drakkarfjord	517	A	OPP	_v488beltbreak2	Core destroyed	767	0	310	5370
drakkarfjord_s517_B	drakkarfjord	517	B	OPP	_v488beltbreak2	Core destroyed	379	0	1080	4410
drakkarfjord_s518_A	drakkarfjord	518	A	OPP	_v488beltbreak2	Core destroyed	214	0	700	1950
drakkarfjord_s518_B	drakkarfjord	518	B	US	iGUN	Core destroyed	145	0	600	0
glacierkeep_s516_A	glacierkeep	516	A	US	iGUN	Core destroyed	253	0	160	0
glacierkeep_s516_B	glacierkeep	516	B	US	iGUN	Titanium collected (tiebreak)	1000	0	50	0
glacierkeep_s517_A	glacierkeep	517	A	US	iGUN	Core destroyed	159	0	340	0
glacierkeep_s517_B	glacierkeep	517	B	US	iGUN	Core destroyed	213	0	10	0
glacierkeep_s518_A	glacierkeep	518	A	US	iGUN	Core destroyed	152	0	320	0
glacierkeep_s518_B	glacierkeep	518	B	US	iGUN	Core destroyed	280	0	0	0
midgard_s516_A	midgard	516	A	US	iGUN	Core destroyed	249	0	680	830
midgard_s516_B	midgard	516	B	OPP	_v488beltbreak2	Core destroyed	257	0	630	1190
midgard_s517_A	midgard	517	A	OPP	_v488beltbreak2	Core destroyed	501	0	1110	540
midgard_s517_B	midgard	517	B	US	iGUN	Titanium collected (tiebreak)	1000	0	1130	500
midgard_s518_A	midgard	518	A	OPP	_v488beltbreak2	Core destroyed	232	0	620	1320
midgard_s518_B	midgard	518	B	OPP	_v488beltbreak2	Core destroyed	233	0	610	1940
nordkap_s516_A	nordkap	516	A	US	iGUN	Core destroyed	163	0	750	250
nordkap_s516_B	nordkap	516	B	OPP	_v488beltbreak2	Core destroyed	241	0	40	20
nordkap_s517_A	nordkap	517	A	US	iGUN	Titanium collected (tiebreak)	1000	0	730	90
nordkap_s517_B	nordkap	517	B	OPP	_v488beltbreak2	Core destroyed	658	0	140	1080
nordkap_s518_A	nordkap	518	A	US	iGUN	Titanium collected (tiebreak)	1000	0	730	90
nordkap_s518_B	nordkap	518	B	US	iGUN	Core destroyed	236	0	1110	360
yulerune_s516_A	yulerune	516	A	US	iGUN	Titanium collected (tiebreak)	1000	0	830	460
yulerune_s516_B	yulerune	516	B	OPP	_v488beltbreak2	Core destroyed	248	0	350	1060
yulerune_s517_A	yulerune	517	A	US	iGUN	Core destroyed	154	0	730	260
yulerune_s517_B	yulerune	517	B	US	iGUN	Core destroyed	317	0	1840	2650
yulerune_s518_A	yulerune	518	A	US	iGUN	Core destroyed	384	0	560	640
yulerune_s518_B	yulerune	518	B	OPP	_v488beltbreak2	Core destroyed	425	0	330	330
