tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s201_A	atoll	201	A	OPP	_v488beltbreak2	Core destroyed	129	0	280	740
atoll_s201_B	atoll	201	B	OPP	_v488beltbreak2	Core destroyed	208	0	400	550
atoll_s202_A	atoll	202	A	US	pKonP	Core destroyed	594	0	3370	6730
atoll_s202_B	atoll	202	B	OPP	_v488beltbreak2	Core destroyed	175	0	310	690
atoll_s203_A	atoll	203	A	US	pKonP	Core destroyed	149	0	520	200
atoll_s203_B	atoll	203	B	OPP	_v488beltbreak2	Core destroyed	222	0	700	1080
atoll_s204_A	atoll	204	A	OPP	_v488beltbreak2	Core destroyed	330	0	1610	3730
atoll_s204_B	atoll	204	B	US	pKonP	Core destroyed	636	0	4460	3120
drakkarfjord_s201_A	drakkarfjord	201	A	US	pKonP	Core destroyed	88	0	320	0
drakkarfjord_s201_B	drakkarfjord	201	B	OPP	_v488beltbreak2	Core destroyed	533	0	320	0
drakkarfjord_s202_A	drakkarfjord	202	A	OPP	_v488beltbreak2	Core destroyed	579	0	2560	8460
drakkarfjord_s202_B	drakkarfjord	202	B	US	pKonP	Core destroyed	116	0	340	0
drakkarfjord_s203_A	drakkarfjord	203	A	US	pKonP	Core destroyed	88	0	320	0
drakkarfjord_s203_B	drakkarfjord	203	B	US	pKonP	Core destroyed	280	0	3560	0
drakkarfjord_s204_A	drakkarfjord	204	A	OPP	_v488beltbreak2	Core destroyed	184	0	280	1270
drakkarfjord_s204_B	drakkarfjord	204	B	US	pKonP	Core destroyed	125	0	330	0
glacierkeep_s201_A	glacierkeep	201	A	US	pKonP	Core destroyed	127	0	360	0
glacierkeep_s201_B	glacierkeep	201	B	US	pKonP	Core destroyed	179	0	560	0
glacierkeep_s202_A	glacierkeep	202	A	US	pKonP	Core destroyed	259	0	2040	0
glacierkeep_s202_B	glacierkeep	202	B	OPP	_v488beltbreak2	Core destroyed	947	0	0	320
glacierkeep_s203_A	glacierkeep	203	A	US	pKonP	Core destroyed	161	0	200	0
glacierkeep_s203_B	glacierkeep	203	B	US	pKonP	Core destroyed	461	0	0	0
glacierkeep_s204_A	glacierkeep	204	A	US	pKonP	Core destroyed	112	0	230	0
glacierkeep_s204_B	glacierkeep	204	B	US	pKonP	Core destroyed	461	0	0	0
midgard_s201_A	midgard	201	A	OPP	_v488beltbreak2	Core destroyed	409	0	690	530
midgard_s201_B	midgard	201	B	OPP	_v488beltbreak2	Core destroyed	762	0	750	1730
midgard_s202_A	midgard	202	A	OPP	_v488beltbreak2	Core destroyed	173	0	1330	1530
midgard_s202_B	midgard	202	B	US	pKonP	Titanium collected (tiebreak)	1000	0	750	560
midgard_s203_A	midgard	203	A	US	pKonP	Core destroyed	165	0	800	720
midgard_s203_B	midgard	203	B	OPP	_v488beltbreak2	Core destroyed	212	0	560	2570
midgard_s204_A	midgard	204	A	US	pKonP	Titanium collected (tiebreak)	1000	0	1000	830
midgard_s204_B	midgard	204	B	OPP	_v488beltbreak2	Core destroyed	229	0	660	1370
nordkap_s201_A	nordkap	201	A	US	pKonP	Core destroyed	116	0	520	90
nordkap_s201_B	nordkap	201	B	OPP	_v488beltbreak2	Core destroyed	282	0	60	2260
nordkap_s202_A	nordkap	202	A	US	pKonP	Core destroyed	164	0	840	70
nordkap_s202_B	nordkap	202	B	OPP	_v488beltbreak2	Core destroyed	158	0	80	650
nordkap_s203_A	nordkap	203	A	US	pKonP	Core destroyed	536	0	1190	290
nordkap_s203_B	nordkap	203	B	US	pKonP	Core destroyed	115	0	260	60
nordkap_s204_A	nordkap	204	A	US	pKonP	Core destroyed	108	0	420	70
nordkap_s204_B	nordkap	204	B	US	pKonP	Core destroyed	380	0	1290	180
yulerune_s201_A	yulerune	201	A	US	pKonP	Core destroyed	621	0	270	260
yulerune_s201_B	yulerune	201	B	US	pKonP	Core destroyed	417	0	240	320
yulerune_s202_A	yulerune	202	A	OPP	_v488beltbreak2	Core destroyed	400	0	500	1760
yulerune_s202_B	yulerune	202	B	OPP	_v488beltbreak2	Core destroyed	587	0	580	1170
yulerune_s203_A	yulerune	203	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	3040	4940
yulerune_s203_B	yulerune	203	B	OPP	_v488beltbreak2	Core destroyed	452	0	410	1820
yulerune_s204_A	yulerune	204	A	OPP	_v488beltbreak2	Core destroyed	381	0	260	340
yulerune_s204_B	yulerune	204	B	US	pKonP	Core destroyed	529	0	1570	190
