tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s101_A	atoll	101	A	US	mS	Core destroyed	149	0	480	360
atoll_s101_B	atoll	101	B	OPP	_v488beltbreak2	Core destroyed	712	0	2820	5980
atoll_s102_A	atoll	102	A	OPP	_v488beltbreak2	Core destroyed	427	0	1410	4890
atoll_s102_B	atoll	102	B	US	mS	Core destroyed	126	0	600	350
atoll_s103_A	atoll	103	A	US	mS	Core destroyed	480	0	2280	290
atoll_s103_B	atoll	103	B	US	mS	Core destroyed	119	0	560	80
drakkarfjord_s101_A	drakkarfjord	101	A	US	mS	Core destroyed	130	0	340	0
drakkarfjord_s101_B	drakkarfjord	101	B	US	mS	Core destroyed	97	0	330	0
drakkarfjord_s102_A	drakkarfjord	102	A	US	mS	Core destroyed	99	0	340	0
drakkarfjord_s102_B	drakkarfjord	102	B	US	mS	Core destroyed	96	0	350	0
drakkarfjord_s103_A	drakkarfjord	103	A	US	mS	Core destroyed	95	0	310	0
drakkarfjord_s103_B	drakkarfjord	103	B	US	mS	Core destroyed	101	0	280	0
glacierkeep_s101_A	glacierkeep	101	A	US	mS	Core destroyed	162	0	350	0
glacierkeep_s101_B	glacierkeep	101	B	OPP	_v488beltbreak2	Core destroyed	259	0	240	2940
glacierkeep_s102_A	glacierkeep	102	A	US	mS	Core destroyed	135	0	290	0
glacierkeep_s102_B	glacierkeep	102	B	US	mS	Core destroyed	647	0	500	0
glacierkeep_s103_A	glacierkeep	103	A	US	mS	Titanium collected (tiebreak)	1000	0	140	0
glacierkeep_s103_B	glacierkeep	103	B	US	mS	Core destroyed	301	0	0	0
midgard_s101_A	midgard	101	A	US	mS	Core destroyed	247	0	2600	740
midgard_s101_B	midgard	101	B	US	mS	Core destroyed	212	0	1640	1280
midgard_s102_A	midgard	102	A	US	mS	Core destroyed	301	0	710	440
midgard_s102_B	midgard	102	B	US	mS	Core destroyed	349	0	2560	1390
midgard_s103_A	midgard	103	A	OPP	_v488beltbreak2	Core destroyed	277	0	1510	2110
midgard_s103_B	midgard	103	B	OPP	_v488beltbreak2	Core destroyed	541	0	650	640
nordkap_s101_A	nordkap	101	A	US	mS	Core destroyed	218	0	540	40
nordkap_s101_B	nordkap	101	B	OPP	_v488beltbreak2	Core destroyed	153	0	90	70
nordkap_s102_A	nordkap	102	A	US	mS	Core destroyed	502	0	2560	260
nordkap_s102_B	nordkap	102	B	OPP	_v488beltbreak2	Core destroyed	169	0	90	720
nordkap_s103_A	nordkap	103	A	US	mS	Core destroyed	817	0	2050	70
nordkap_s103_B	nordkap	103	B	US	mS	Core destroyed	147	0	340	10
yulerune_s101_A	yulerune	101	A	OPP	_v488beltbreak2	Core destroyed	465	0	390	380
yulerune_s101_B	yulerune	101	B	OPP	_v488beltbreak2	Core destroyed	273	0	250	1340
yulerune_s102_A	yulerune	102	A	OPP	_v488beltbreak2	Core destroyed	797	0	580	240
yulerune_s102_B	yulerune	102	B	OPP	_v488beltbreak2	Core destroyed	173	0	320	580
yulerune_s103_A	yulerune	103	A	OPP	_v488beltbreak2	Core destroyed	709	0	390	340
yulerune_s103_B	yulerune	103	B	US	mS	Core destroyed	573	0	1740	450
