tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
atoll_s40_A	atoll	40	A	OPP	Core destroyed	231	parent	8	2	7	10	-1	-1	44	7	0.1591	4.545	1	1	10,7	231	0	14,2
atoll_s40_B	atoll	40	B	US	Core destroyed	277	parent	8	6	7	46	-1	-1	273	112	0.4103	2.198	6	0	38,46,35,7,8,21	277	1	2,14
atoll_s41_A	atoll	41	A	OPP	Core destroyed	197	parent	8	1	21	21	-1	-1	158	49	0.3101	0.633	1	0	21	197	0	14,2
atoll_s41_B	atoll	41	B	OPP	Core destroyed	192	parent	8	3	8	16	-1	-1	186	150	0.8065	1.613	3	0	10,8,16	192	1	2,14
atoll_s42_A	atoll	42	A	US	Core destroyed	469	parent	8	8	7	311	-1	311	385	189	0.4909	2.078	7	1	311,10,175,7,178,111,116,112	469	0	14,2
atoll_s42_B	atoll	42	B	OPP	Core destroyed	202	parent	8	4	11	33	-1	-1	42	3	0.0714	9.524	4	0	33,28,11,13	202	1	2,14
drakkarfjord_s40_A	drakkarfjord	40	A	US	Core destroyed	231	parent	8	8	10	37	42	37	223	136	0.6099	3.587	7	1	10,11,37,18,33,22,30,26	231	0	26,4
drakkarfjord_s40_B	drakkarfjord	40	B	US	Core destroyed	456	parent	8	8	10	218	-1	218	249	0	0.0	3.213	7	1	218,196,44,193,86,14,11,10	456	1	2,24
drakkarfjord_s41_A	drakkarfjord	41	A	OPP	Titanium collected (tiebreak)	1000	parent	8	8	10	65	-1	65	93	0	0.0	8.602	6	2	10,11,25,65,27,37,30,34	1000	0	26,4
drakkarfjord_s41_B	drakkarfjord	41	B	OPP	Core destroyed	308	parent	8	3	10	14	-1	-1	47	0	0.0	6.383	2	1	14,11,10	308	1	2,24
drakkarfjord_s42_A	drakkarfjord	42	A	US	Core destroyed	491	parent	8	8	10	87	366	87	258	0	0.0	3.101	7	1	10,11,31,87,33,44,36,41	491	0	26,4
drakkarfjord_s42_B	drakkarfjord	42	B	OPP	Core destroyed	966	parent	8	8	10	75	75	75	180	0	0.0	4.444	7	1	48,51,40,75,34,14,11,10	966	1	2,24
glacierkeep_s40_A	glacierkeep	40	A	US	Core destroyed	112	parent	8	8	9	44	44	44	106	52	0.4906	7.547	8	0	36,40,21,44,17,10,14,9	112	0	14,26
glacierkeep_s40_B	glacierkeep	40	B	US	Core destroyed	293	parent	8	8	9	36	48	36	207	100	0.4831	3.865	8	0	36,32,14,29,9,25,10,22	293	1	14,2
glacierkeep_s41_A	glacierkeep	41	A	US	Core destroyed	125	parent	8	8	9	41	41	41	119	92	0.7731	6.723	8	0	36,38,21,41,17,10,14,9	125	0	14,26
glacierkeep_s41_B	glacierkeep	41	B	US	Core destroyed	437	parent	8	8	9	36	36	36	343	191	0.5569	2.332	8	0	36,32,14,29,9,25,10,22	437	1	14,2
glacierkeep_s42_A	glacierkeep	42	A	US	Core destroyed	349	parent	8	8	9	49	49	49	343	125	0.3644	2.332	8	0	42,46,21,49,17,10,14,9	349	0	14,26
