tag	map	seed	seat	ours	cond	turn	arm	n_seats	seats_sealed	first_seal	last_seal	closure_round	closure_cum_round	atring_rounds	atring2_rounds	two_body_share	seal_rate	sealed_by_bldg	sealed_by_body	seat_first_rounds	rounds	our_team	enemy_core
atoll_s97_A	atoll	97	A	US	Core destroyed	379	flagoff	8	5	9	43	-1	-1	368	132	0.3587	1.359	5	0	13,9,28,43,42	379	0	14,2
atoll_s97_B	atoll	97	B	OPP	Core destroyed	214	flagoff	8	6	7	46	-1	-1	168	44	0.2619	3.571	6	0	43,11,46,7,30,38	214	1	2,14
atoll_s98_A	atoll	98	A	OPP	Core destroyed	772	flagoff	8	7	7	68	-1	-1	142	34	0.2394	4.93	7	0	54,7,8,68,37,48,40	772	0	14,2
atoll_s98_B	atoll	98	B	OPP	Core destroyed	493	flagoff	8	7	7	63	-1	-1	87	38	0.4368	8.046	7	0	26,63,20,30,7,8,36	493	1	2,14
atoll_s99_A	atoll	99	A	OPP	Core destroyed	388	flagoff	8	2	8	9	-1	-1	20	0	0.0	10.0	2	0	8,9	388	0	14,2
atoll_s99_B	atoll	99	B	US	Core destroyed	135	flagoff	8	6	7	88	-1	-1	131	40	0.3053	4.58	6	0	15,41,9,88,7,80	135	1	2,14
drakkarfjord_s97_A	drakkarfjord	97	A	US	Core destroyed	764	flagoff	8	8	10	37	42	37	756	700	0.9259	1.058	7	1	10,11,37,18,33,22,30,26	764	0	26,4
drakkarfjord_s97_B	drakkarfjord	97	B	OPP	Titanium collected (tiebreak)	1000	flagoff	8	8	10	70	179	70	158	0	0.0	5.063	7	1	64,66,29,70,58,14,11,10	1000	1	2,24
drakkarfjord_s98_A	drakkarfjord	98	A	US	Core destroyed	208	flagoff	8	8	10	61	80	61	200	0	0.0	4.0	7	1	10,11,25,61,27,37,30,34	208	0	26,4
drakkarfjord_s98_B	drakkarfjord	98	B	US	Core destroyed	514	flagoff	8	8	10	231	-1	231	196	9	0.0459	4.082	4	4	223,224,32,231,31,14,11,10	514	1	2,24
drakkarfjord_s99_A	drakkarfjord	99	A	US	Core destroyed	132	flagoff	8	8	10	36	41	36	124	70	0.5645	6.452	7	1	10,11,36,18,32,22,29,25	132	0	26,4
drakkarfjord_s99_B	drakkarfjord	99	B	US	Core destroyed	123	flagoff	8	8	10	48	48	48	115	0	0.0	6.957	7	1	40,36,48,33,21,14,11,10	123	1	2,24
glacierkeep_s97_A	glacierkeep	97	A	OPP	Titanium collected (tiebreak)	1000	flagoff	8	8	9	63	-1	63	346	0	0.0	2.312	7	1	44,62,18,63,17,10,14,9	1000	0	14,26
glacierkeep_s97_B	glacierkeep	97	B	US	Core destroyed	912	flagoff	8	8	9	36	49	36	330	132	0.4	2.424	8	0	36,32,14,29,9,25,10,22	912	1	14,2
glacierkeep_s98_A	glacierkeep	98	A	US	Core destroyed	329	flagoff	8	8	9	50	50	50	323	67	0.2074	2.477	8	0	44,47,29,50,17,10,14,9	329	0	14,26
glacierkeep_s98_B	glacierkeep	98	B	US	Core destroyed	257	flagoff	8	8	9	44	50	44	251	61	0.243	3.187	8	0	33,35,20,38,9,41,10,44	257	1	14,2
glacierkeep_s99_A	glacierkeep	99	A	US	Core destroyed	128	flagoff	8	8	9	40	40	40	122	96	0.7869	6.557	8	0	35,37,21,40,17,10,14,9	128	0	14,26
glacierkeep_s99_B	glacierkeep	99	B	US	Core destroyed	253	flagoff	8	8	9	45	58	45	247	53	0.2146	3.239	8	0	33,35,20,38,9,42,10,45	253	1	14,2
midgard_s97_A	midgard	97	A	US	Core destroyed	174	flagoff	8	6	54	88	-1	-1	128	124	0.9688	4.688	6	0	54,58,88,62,60,65	174	0	26,26
midgard_s97_B	midgard	97	B	OPP	Core destroyed	272	flagoff	8	6	53	125	-1	-1	226	80	0.354	2.655	5	1	60,53,63,67,125,81	272	1	2,2
midgard_s98_A	midgard	98	A	OPP	Core destroyed	309	flagoff	8	2	51	56	-1	-1	265	22	0.083	0.755	2	0	51,56	309	0	26,26
midgard_s98_B	midgard	98	B	OPP	Core destroyed	167	flagoff	8	6	52	96	-1	-1	123	122	0.9919	4.878	5	1	60,52,63,80,54,96	167	1	2,2
midgard_s99_A	midgard	99	A	US	Titanium collected (tiebreak)	1000	flagoff	8	7	51	108	-1	-1	956	950	0.9937	0.732	6	1	51,87,55,108,65,72,68	1000	0	26,26
midgard_s99_B	midgard	99	B	OPP	Core destroyed	337	flagoff	8	7	52	123	-1	-1	293	288	0.9829	2.389	6	1	65,60,63,123,56,94,52	337	1	2,2
nordkap_s97_A	nordkap	97	A	OPP	Core destroyed	253	flagoff	8	6	8	65	-1	-1	60	0	0.0	10.0	5	1	46,51,43,9,8,65	253	0	9,18
nordkap_s97_B	nordkap	97	B	US	Core destroyed	148	flagoff	8	7	4	39	-1	-1	146	126	0.863	4.795	6	1	13,15,5,18,4,39,27	148	1	9,6
nordkap_s98_A	nordkap	98	A	OPP	Core destroyed	187	flagoff	8	7	5	38	-1	-1	156	59	0.3782	4.487	7	0	27,31,16,38,6,10,5	187	0	9,18
nordkap_s98_B	nordkap	98	B	US	Core destroyed	577	flagoff	8	7	4	26	-1	-1	575	538	0.9357	1.217	5	2	13,15,5,18,4,26,20	577	1	9,6
nordkap_s99_A	nordkap	99	A	OPP	Core destroyed	131	flagoff	8	5	4	18	-1	-1	129	117	0.907	3.876	4	1	18,14,5,4,7	131	0	9,18
nordkap_s99_B	nordkap	99	B	US	Core destroyed	156	flagoff	8	8	5	64	66	64	154	140	0.9091	5.195	7	1	22,24,10,24,5,59,6,64	156	1	9,6
yulerune_s97_A	yulerune	97	A	OPP	Core destroyed	215	flagoff	8	6	38	48	-1	-1	193	105	0.544	3.109	5	1	38,42,42,48,44,47	215	0	16,9
yulerune_s97_B	yulerune	97	B	OPP	Core destroyed	342	flagoff	8	7	32	71	-1	-1	317	311	0.9811	2.208	5	2	54,47,71,44,67,38,32	342	1	2,9
yulerune_s98_A	yulerune	98	A	OPP	Core destroyed	160	flagoff	8	5	34	57	-1	-1	133	128	0.9624	3.759	5	0	34,42,40,57,52	160	0	16,9
yulerune_s98_B	yulerune	98	B	US	Core destroyed	314	flagoff	8	6	32	94	-1	-1	151	64	0.4238	3.974	6	0	49,51,48,94,36,32	314	1	2,9
yulerune_s99_A	yulerune	99	A	US	Core destroyed	216	flagoff	8	6	36	56	-1	-1	191	184	0.9634	3.141	6	0	36,42,56,46,53,49	216	0	16,9
yulerune_s99_B	yulerune	99	B	OPP	Core destroyed	238	flagoff	8	6	51	100	-1	-1	162	74	0.4568	3.704	6	0	64,68,62,100,58,51	238	1	2,9
