tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	17	5	12,4	2	8.5	8	1	1	2	4	1	9	1	1	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	46	19	13,0	2	8.5	8	1	1	2	512	0	-1	10	3	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	221	135	16,6	10	14.5	8	0	0	2	1	1	136	1	0	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	257	159	13,7	17	22.5	8	0	0	2	1	1	160	1	0	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	349	226	10,7	25	40.5	8	0	0	2	1	1	227	1	0	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	378	248	12,4	2	8.5	8	1	1	2	1	1	249	0	0	0
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	694	445	12,5	5	12.5	8	0	0	2	86	0	-1	0	0	0
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	758	485	13,7	17	22.5	8	0	0	2	1	1	486	1	0	1
atoll_s37_A	atoll	37	A	US	Core destroyed	531	parent	531	47	789	504	16,4	2	4.5	8	2	2	2	27	0	-1	11	2	1
atoll_s37_B	atoll	37	B	OPP	Core destroyed	128	parent	128	9	23	6	5,14	4	6.5	8	2	2	2	122	0	-1	7	2	1
atoll_s38_A	atoll	38	A	US	Core destroyed	162	parent	162	53	28	10	13,4	2	4.5	8	2	2	2	2	1	12	0	0	0
atoll_s38_A	atoll	38	A	US	Core destroyed	162	parent	162	53	38	14	14,5	4	6.5	8	2	2	2	148	0	-1	51	0	1
atoll_s38_B	atoll	38	B	OPP	Core destroyed	186	parent	186	15	24	6	4,13	2	4.5	8	2	2	2	180	0	-1	11	3	1
atoll_s39_A	atoll	39	A	OPP	Core destroyed	322	parent	322	38	27	9	14,5	4	6.5	8	2	2	2	102	1	111	32	0	1
atoll_s39_A	atoll	39	A	OPP	Core destroyed	322	parent	322	38	160	113	13,7	17	22.5	8	0	0	2	1	1	114	1	0	1
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	952	91	51	23	5,14	4	6.5	8	2	2	2	234	1	257	9	0	1
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	952	91	457	386	6,15	9	12.5	8	0	0	2	1	1	387	1	0	1
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	952	91	539	482	5,15	4	6.5	8	2	2	2	7	1	489	1	0	1
atoll_s39_B	atoll	39	B	US	Core destroyed	952	parent	952	91	802	794	4,8	26	44.5	8	0	0	2	1	1	795	1	0	1
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	Core destroyed	276	parent	276	28	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s37_A	drakkarfjord	37	A	OPP	Core destroyed	276	parent	276	28	120	50	27,7	4	6.5	8	2	2	2	226	0	-1	23	0	1
drakkarfjord_s37_B	drakkarfjord	37	B	US	Core destroyed	141	parent	141	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s38_A	drakkarfjord	38	A	OPP	Core destroyed	608	parent	608	25	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s38_A	drakkarfjord	38	A	OPP	Core destroyed	608	parent	608	25	988	325	23,8	13	24.5	8	0	0	2	1	1	326	1	0	1
drakkarfjord_s38_B	drakkarfjord	38	B	US	Core destroyed	582	parent	582	8	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s38_B	drakkarfjord	38	B	US	Core destroyed	582	parent	582	8	111	47	4,22	2	8.5	8	1	1	2	535	0	-1	3	0	1
drakkarfjord_s39_A	drakkarfjord	39	A	OPP	Core destroyed	243	parent	243	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s39_B	drakkarfjord	39	B	US	Core destroyed	129	parent	129	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
glacierkeep_s37_A	glacierkeep	37	A	US	Core destroyed	413	parent	413	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s37_B	glacierkeep	37	B	US	Core destroyed	189	parent	189	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s38_A	glacierkeep	38	A	US	Core destroyed	473	parent	473	4	14	7	15,23	4	12.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s38_B	glacierkeep	38	B	OPP	Core destroyed	656	parent	656	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s39_A	glacierkeep	39	A	US	Titanium collected (tiebreak)	1000	parent	1000	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s39_B	glacierkeep	39	B	US	Core destroyed	157	parent	157	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
nordkap_s37_A	nordkap	37	A	OPP	Core destroyed	293	parent	293	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s37_A	nordkap	37	A	OPP	Core destroyed	293	parent	293	2	30	10	12,19	4	6.5	8	2	2	2	2	1	12	0	0	0
nordkap_s37_B	nordkap	37	B	US	Core destroyed	348	parent	348	37	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s37_B	nordkap	37	B	US	Core destroyed	348	parent	348	37	168	95	12,6	4	6.5	8	2	2	2	253	0	-1	35	0	1
nordkap_s38_A	nordkap	38	A	OPP	Titanium collected (tiebreak)	1000	parent	1000	42	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s38_B	nordkap	38	B	US	Core destroyed	252	parent	252	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s39_A	nordkap	39	A	US	Core destroyed	264	parent	264	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s39_A	nordkap	39	A	US	Core destroyed	264	parent	264	2	30	10	12,19	4	6.5	8	2	2	2	2	1	12	0	0	0
nordkap_s39_B	nordkap	39	B	OPP	Core destroyed	149	parent	149	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s39_B	nordkap	39	B	OPP	Core destroyed	149	parent	149	2	22	8	11,5	2	4.5	8	2	2	2	2	1	10	0	0	0
