tag	map	seed	seat	ours	cond	turn	arm	game_rounds	game_jumps	eid	birth	pos	dsq_core	dsq_centre	n_seats	coverage	coverage_ferry	best_cov_site	lifetime	died	death_round	n_launch	n_launch_seat	ever_launched
atoll_s115_A	atoll	115	A	OPP	Core destroyed	332	flagoff	332	7	19	5	12,4	2	8.5	8	1	1	2	14	1	19	4	0	1
atoll_s115_B	atoll	115	B	US	Core destroyed	212	flagoff	212	3	41	18	4,13	2	4.5	8	2	2	2	2	1	20	1	0	1
atoll_s115_B	atoll	115	B	US	Core destroyed	212	flagoff	212	3	121	92	5,14	4	6.5	8	2	2	2	120	0	-1	0	0	0
atoll_s115_B	atoll	115	B	US	Core destroyed	212	flagoff	212	3	132	104	1,12	2	8.5	8	1	1	2	108	0	-1	0	0	0
atoll_s116_A	atoll	116	A	US	Core destroyed	248	flagoff	248	78	23	7	12,2	1	6.5	8	2	2	2	241	0	-1	76	3	1
atoll_s116_B	atoll	116	B	US	Core destroyed	159	flagoff	159	3	51	20	0,16	2	8.5	8	1	1	2	139	0	-1	1	0	1
atoll_s117_A	atoll	117	A	US	Core destroyed	306	flagoff	306	53	29	8	13,4	2	4.5	8	2	2	2	298	0	-1	49	6	1
atoll_s117_B	atoll	117	B	OPP	Core destroyed	186	flagoff	186	18	24	6	4,13	2	4.5	8	2	2	2	180	0	-1	12	3	1
drakkarfjord_s115_A	drakkarfjord	115	A	US	Core destroyed	544	flagoff	544	5	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s115_B	drakkarfjord	115	B	US	Core destroyed	129	flagoff	129	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s116_A	drakkarfjord	116	A	OPP	Core destroyed	214	flagoff	214	43	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s116_A	drakkarfjord	116	A	OPP	Core destroyed	214	flagoff	214	43	96	39	27,7	4	6.5	8	2	2	2	175	0	-1	38	9	1
drakkarfjord_s116_B	drakkarfjord	116	B	US	Core destroyed	143	flagoff	143	5	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s117_A	drakkarfjord	117	A	OPP	Core destroyed	472	flagoff	472	88	15	9	22,8	18	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s117_A	drakkarfjord	117	A	OPP	Core destroyed	472	flagoff	472	88	96	39	27,7	4	6.5	8	2	2	2	433	0	-1	83	1	1
drakkarfjord_s117_B	drakkarfjord	117	B	OPP	Harvesters (tiebreak)	1000	flagoff	1000	102	15	9	7,21	20	32.5	8	0	0	2	1	1	10	1	0	1
drakkarfjord_s117_B	drakkarfjord	117	B	OPP	Harvesters (tiebreak)	1000	flagoff	1000	102	143	60	2,22	1	6.5	8	2	2	2	940	0	-1	95	0	1
glacierkeep_s115_A	glacierkeep	115	A	US	Core destroyed	221	flagoff	221	4	14	8	17,23	8	18.5	8	0	0	2	1	1	9	1	0	1
glacierkeep_s115_B	glacierkeep	115	B	US	Core destroyed	173	flagoff	173	8	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s115_B	glacierkeep	115	B	US	Core destroyed	173	flagoff	173	8	103	65	15,0	1	6.5	8	2	2	2	108	0	-1	4	0	1
glacierkeep_s116_A	glacierkeep	116	A	US	Core destroyed	173	flagoff	173	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s116_B	glacierkeep	116	B	US	Core destroyed	469	flagoff	469	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s117_A	glacierkeep	117	A	US	Core destroyed	181	flagoff	181	4	14	7	16,23	5	14.5	8	0	0	2	1	1	8	1	0	1
glacierkeep_s117_B	glacierkeep	117	B	US	Core destroyed	565	flagoff	565	4	14	7	16,6	10	14.5	8	0	0	2	1	1	8	1	0	1
nordkap_s115_A	nordkap	115	A	OPP	Core destroyed	224	flagoff	224	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s115_B	nordkap	115	B	OPP	Core destroyed	522	flagoff	522	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s116_A	nordkap	116	A	OPP	Core destroyed	228	flagoff	228	2	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s116_B	nordkap	116	B	US	Core destroyed	113	flagoff	113	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s117_A	nordkap	117	A	OPP	Core destroyed	288	flagoff	288	44	11	3	10,15	4	12.5	8	0	0	2	1	1	4	1	0	1
nordkap_s117_A	nordkap	117	A	OPP	Core destroyed	288	flagoff	288	44	19	6	12,19	4	6.5	8	2	2	2	282	0	-1	42	10	1
nordkap_s117_B	nordkap	117	B	US	Core destroyed	125	flagoff	125	2	11	3	10,10	9	12.5	8	0	0	2	1	1	4	1	0	1
yulerune_s116_B	yulerune	116	B	US	Core destroyed	464	flagoff	464	26	485	372	5,13	13	18.5	8	0	0	2	21	1	393	4	0	1
