tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	OPP	Core destroyed	148	flagoff	720	216	-4	144	0	356	0.0	0.3	4	17	0	0	0	0		1	1	130	3	7	14	
atoll_s1_B	atoll	1	B	OPP	Core destroyed	149	flagoff	558	54	-4	0	0	500		0.0968	4	14	0	0	0	0		1	0		2	7	4	
atoll_s2_A	atoll	2	A	US	Core destroyed	286	flagoff	0	0	500	882	378	-4	0.4286		4	12	1	8	9	2	212	3	3	162	5	7	11	
atoll_s2_B	atoll	2	B	OPP	Core destroyed	368	flagoff	918	412	-6	162	162	500	1.0	0.4488	5	23	0	3	3	5	128	5	2	78	6	7	12	
atoll_s3_A	atoll	3	A	US	Core destroyed	674	flagoff	108	108	500	4176	3676	0	0.8803	1.0	4	14	0	0	0	0		5	1	210	3	7	42	
atoll_s3_B	atoll	3	B	US	Core destroyed	613	flagoff	0	0	500	504	0	-4	0.0		3	13	0	1	1	0		1	1	520	4	7	56	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	153	flagoff	0	0	500	504	0	-4	0.0		2	16	0	1	1	0		0	1	88	2	13	18	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Titanium collected (tiebreak)	1000	flagoff	0	0	500	3564	3564	500	1.0		4	13	0	0	0	0		0	2	40	2	13	75	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	101	flagoff	0	0	500	504	0	-4	0.0		3	16	0	0	0	0		0	1	45	1	13	12	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	98	flagoff	0	0	500	504	0	-4	0.0		3	19	0	0	0	0		0	1	42	1	13	12	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	105	flagoff	0	0	500	630	124	-6	0.1968		3	14	0	0	0	0		0	1	35	1	13	11	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	114	flagoff	0	0	500	666	160	-6	0.2402		3	15	0	0	0	0		0	1	40	1	13	12	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	121	flagoff	0	0	500	504	0	-4	0.0		3	15	0	0	0	0		0	1	48	2	9	10	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	873	flagoff	0	0	500	3402	2902	0	0.853		6	38	0	0	0	0		0	1	116	3	9	13	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	108	flagoff	0	0	500	504	0	-4	0.0		4	26	0	0	0	0		0	1	52	2	9	11	
glacierkeep_s2_B	glacierkeep	2	B	US	Harvesters (tiebreak)	1000	flagoff	0	0	500	1008	1008	500	1.0		6	26	0	0	0	0		0	1	92	4	9	87	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	143	flagoff	0	0	500	504	0	-4	0.0		4	19	0	0	0	0		0	1	77	2	9	8	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	217	flagoff	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	68	2	9	26	
midgard_s1_A	midgard	1	A	US	Core destroyed	245	flagoff	0	0	500	504	0	-4	0.0		8	31	3	10	13	4	38	5	3	192	0		11	
midgard_s1_B	midgard	1	B	US	Core destroyed	534	flagoff	360	0	140	504	0	-4	0.0	0.0	10	34	5	14	19	4	35	5	2	200	0		13	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	285	flagoff	504	0	-4	882	864	482	0.9796	0.0	10	36	4	6	10	2	36	3	1	48	0		7	
