tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	OPP	Core destroyed	303	pinceronly	1062	560	-2	0	0	500		0.5273	5	17	0	0	0	0		1	0		2	7	3	
atoll_s1_B	atoll	1	B	US	Core destroyed	258	pinceronly	1746	1728	482	504	0	-4	0.0	0.9897	3	18	0	9	9	1	65	1	1	202	2	7	11	
atoll_s2_A	atoll	2	A	US	Core destroyed	424	pinceronly	180	180	500	504	0	-4	0.0	1.0	4	16	1	9	10	3	204	6	1	368	4	7	6	
atoll_s2_B	atoll	2	B	US	Core destroyed	127	pinceronly	594	500	406	504	0	-4	0.0	0.8418	3	12	0	1	1	0		0	1	66	4	7	14	
atoll_s3_A	atoll	3	A	OPP	Titanium collected (tiebreak)	1000	pinceronly	3600	3584	484	1836	1836	500	1.0	0.9956	3	13	0	1	1	0		0	2	60	2	7	186	
atoll_s3_B	atoll	3	B	OPP	Titanium collected (tiebreak)	1000	pinceronly	90	90	500	0	0	500		1.0	6	18	0	1	1	0		5	0		6	7	16	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	88	pinceronly	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	32	1	13	13	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	96	pinceronly	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	40	1	13	13	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	100	pinceronly	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	41	1	13	12	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Titanium collected (tiebreak)	1000	pinceronly	0	0	500	3564	3564	500	1.0		4	13	0	0	0	0		0	2	40	2	13	75	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	283	pinceronly	0	0	500	504	0	-4	0.0		3	26	0	2	2	0		2	1	117	2	13	47	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	98	pinceronly	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	42	1	13	15	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	120	pinceronly	0	0	500	504	0	-4	0.0		3	16	0	0	0	0		0	1	64	2	9	12	
glacierkeep_s1_B	glacierkeep	1	B	US	Core destroyed	457	pinceronly	0	0	500	504	0	-4	0.0		9	75	0	1	1	0		0	1	349	2	9	17	
glacierkeep_s2_A	glacierkeep	2	A	OPP	Core destroyed	884	pinceronly	648	144	-4	36	36	500	1.0	0.2222	16	120	0	1	1	0		1	1	124	7	9	35	
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	441	pinceronly	0	0	500	630	126	-4	0.2		3	27	0	0	0	0		0	1	121	2	9	48	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	205	pinceronly	0	0	500	504	0	-4	0.0		4	20	0	0	0	0		2	1	88	2	9	11	
glacierkeep_s3_B	glacierkeep	3	B	US	Core destroyed	277	pinceronly	0	0	500	504	0	-4	0.0		5	39	0	0	0	0		0	1	168	2	9	12	
midgard_s1_A	midgard	1	A	OPP	Core destroyed	209	pinceronly	504	0	-4	702	656	454	0.9345	0.0	10	48	5	7	12	2	36	4	1	48	0		5	
midgard_s1_B	midgard	1	B	OPP	Core destroyed	286	pinceronly	504	0	-4	0	0	500		0.0	10	47	4	11	15	2	41	4	0		0		9	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	267	pinceronly	540	36	-4	1422	1412	490	0.993	0.0667	6	26	1	3	4	1	34	3	1	47	0		5	
midgard_s2_B	midgard	2	B	US	Core destroyed	170	pinceronly	846	828	482	504	0	-4	0.0	0.9787	6	23	2	11	13	3	40	4	2	119	0		8	
midgard_s3_A	midgard	3	A	US	Core destroyed	425	pinceronly	0	0	500	504	0	-4	0.0		9	42	3	8	11	1	38	3	2	196	0		9	
midgard_s3_B	midgard	3	B	OPP	Titanium collected (tiebreak)	1000	pinceronly	0	0	500	0	0	500			9	30	4	15	19	3	39	5	0		0		128	
