tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s76_A	atoll	76	A	US	pinceronly	Core destroyed	456	0	2250	40
atoll_s76_B	atoll	76	B	US	pinceronly	Titanium collected (tiebreak)	1000	0	2710	2610
atoll_s77_A	atoll	77	A	OPP	_v488beltbreak2	Core destroyed	319	0	1970	3610
atoll_s77_B	atoll	77	B	US	pinceronly	Core destroyed	437	0	2140	1070
atoll_s78_A	atoll	78	A	US	pinceronly	Core destroyed	153	0	640	170
atoll_s78_B	atoll	78	B	OPP	_v488beltbreak2	Core destroyed	454	0	470	2220
drakkarfjord_s76_A	drakkarfjord	76	A	US	pinceronly	Core destroyed	88	0	270	0
drakkarfjord_s76_B	drakkarfjord	76	B	US	pinceronly	Core destroyed	248	0	2700	0
drakkarfjord_s77_A	drakkarfjord	77	A	US	pinceronly	Core destroyed	88	0	280	0
drakkarfjord_s77_B	drakkarfjord	77	B	US	pinceronly	Core destroyed	153	0	330	0
drakkarfjord_s78_A	drakkarfjord	78	A	US	pinceronly	Core destroyed	100	0	420	0
drakkarfjord_s78_B	drakkarfjord	78	B	US	pinceronly	Core destroyed	117	0	360	0
glacierkeep_s76_A	glacierkeep	76	A	US	pinceronly	Core destroyed	129	0	180	0
glacierkeep_s76_B	glacierkeep	76	B	OPP	_v488beltbreak2	Core destroyed	813	0	270	0
glacierkeep_s77_A	glacierkeep	77	A	US	pinceronly	Core destroyed	217	0	290	280
glacierkeep_s77_B	glacierkeep	77	B	US	pinceronly	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s78_A	glacierkeep	78	A	US	pinceronly	Core destroyed	131	0	280	0
glacierkeep_s78_B	glacierkeep	78	B	US	pinceronly	Core destroyed	245	0	0	0
midgard_s76_A	midgard	76	A	OPP	_v488beltbreak2	Core destroyed	148	0	700	1300
midgard_s76_B	midgard	76	B	US	pinceronly	Core destroyed	161	0	1180	610
midgard_s77_A	midgard	77	A	US	pinceronly	Core destroyed	357	0	650	600
midgard_s77_B	midgard	77	B	US	pinceronly	Core destroyed	288	0	2210	1600
midgard_s78_A	midgard	78	A	OPP	_v488beltbreak2	Core destroyed	195	0	630	870
midgard_s78_B	midgard	78	B	OPP	_v488beltbreak2	Core destroyed	337	0	540	1560
nordkap_s76_A	nordkap	76	A	US	pinceronly	Core destroyed	277	0	190	190
nordkap_s76_B	nordkap	76	B	OPP	_v488beltbreak2	Core destroyed	283	0	140	3660
nordkap_s77_A	nordkap	77	A	US	pinceronly	Core destroyed	129	0	300	90
nordkap_s77_B	nordkap	77	B	US	pinceronly	Core destroyed	141	0	110	130
nordkap_s78_A	nordkap	78	A	US	pinceronly	Core destroyed	132	0	310	90
nordkap_s78_B	nordkap	78	B	US	pinceronly	Core destroyed	331	0	3820	1660
yulerune_s76_A	yulerune	76	A	US	pinceronly	Core destroyed	194	0	1860	240
yulerune_s76_B	yulerune	76	B	OPP	_v488beltbreak2	Core destroyed	210	0	340	1120
yulerune_s77_A	yulerune	77	A	OPP	_v488beltbreak2	Core destroyed	680	0	290	450
yulerune_s77_B	yulerune	77	B	OPP	_v488beltbreak2	Core destroyed	318	0	360	3660
yulerune_s78_A	yulerune	78	A	US	pinceronly	Core destroyed	209	0	1820	370
yulerune_s78_B	yulerune	78	B	OPP	_v488beltbreak2	Core destroyed	545	0	730	400
