tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s531_A	atoll	531	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	5370	13920
atoll_s531_B	atoll	531	B	US	iLADDER	Core destroyed	504	0	3620	2460
atoll_s532_A	atoll	532	A	OPP	_v488beltbreak2	Core destroyed	202	0	970	1740
atoll_s532_B	atoll	532	B	US	iLADDER	Core destroyed	124	0	580	200
atoll_s533_A	atoll	533	A	OPP	_v488beltbreak2	Core destroyed	220	0	1260	1050
atoll_s533_B	atoll	533	B	OPP	_v488beltbreak2	Core destroyed	190	0	900	1320
drakkarfjord_s531_A	drakkarfjord	531	A	US	iLADDER	Core destroyed	116	0	360	90
drakkarfjord_s531_B	drakkarfjord	531	B	US	iLADDER	Titanium collected (tiebreak)	1000	0	520	0
drakkarfjord_s532_A	drakkarfjord	532	A	US	iLADDER	Core destroyed	397	0	310	0
drakkarfjord_s532_B	drakkarfjord	532	B	US	iLADDER	Core destroyed	114	0	340	0
drakkarfjord_s533_A	drakkarfjord	533	A	OPP	_v488beltbreak2	Core destroyed	509	0	460	4140
drakkarfjord_s533_B	drakkarfjord	533	B	US	iLADDER	Titanium collected (tiebreak)	1000	0	420	0
glacierkeep_s531_A	glacierkeep	531	A	US	iLADDER	Core destroyed	164	0	360	0
glacierkeep_s531_B	glacierkeep	531	B	US	iLADDER	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s532_A	glacierkeep	532	A	US	iLADDER	Core destroyed	143	0	590	0
glacierkeep_s532_B	glacierkeep	532	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	290	1290
glacierkeep_s533_A	glacierkeep	533	A	US	iLADDER	Core destroyed	165	0	150	0
glacierkeep_s533_B	glacierkeep	533	B	US	iLADDER	Core destroyed	457	0	60	240
midgard_s531_A	midgard	531	A	US	iLADDER	Titanium collected (tiebreak)	1000	0	800	580
midgard_s531_B	midgard	531	B	OPP	_v488beltbreak2	Core destroyed	212	0	560	2570
midgard_s532_A	midgard	532	A	US	iLADDER	Core destroyed	287	0	1090	520
midgard_s532_B	midgard	532	B	OPP	_v488beltbreak2	Core destroyed	293	0	780	640
midgard_s533_A	midgard	533	A	US	iLADDER	Core destroyed	185	0	1620	720
midgard_s533_B	midgard	533	B	OPP	_v488beltbreak2	Core destroyed	177	0	590	1030
nordkap_s531_A	nordkap	531	A	US	iLADDER	Core destroyed	236	0	870	60
nordkap_s531_B	nordkap	531	B	OPP	_v488beltbreak2	Core destroyed	225	0	50	2690
nordkap_s532_A	nordkap	532	A	US	iLADDER	Core destroyed	190	0	470	50
nordkap_s532_B	nordkap	532	B	US	iLADDER	Core destroyed	290	0	160	50
nordkap_s533_A	nordkap	533	A	US	iLADDER	Core destroyed	107	0	420	60
nordkap_s533_B	nordkap	533	B	US	iLADDER	Core destroyed	153	0	170	160
yulerune_s531_A	yulerune	531	A	US	iLADDER	Titanium collected (tiebreak)	1000	0	670	420
yulerune_s531_B	yulerune	531	B	OPP	_v488beltbreak2	Core destroyed	210	0	340	1120
yulerune_s532_A	yulerune	532	A	OPP	_v488beltbreak2	Core destroyed	325	0	290	370
yulerune_s532_B	yulerune	532	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	440	800
yulerune_s533_A	yulerune	533	A	OPP	_v488beltbreak2	Core destroyed	349	0	290	250
yulerune_s533_B	yulerune	533	B	OPP	_v488beltbreak2	Core destroyed	545	0	730	400
