tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s537_A	atoll	537	A	US	pinceronly	Core destroyed	216	0	700	240
atoll_s537_B	atoll	537	B	US	pinceronly	Core destroyed	525	0	430	850
atoll_s538_A	atoll	538	A	OPP	_v488beltbreak2	Core destroyed	310	0	1560	3530
atoll_s538_B	atoll	538	B	OPP	_v488beltbreak2	Core destroyed	340	0	220	1160
atoll_s539_A	atoll	539	A	OPP	_v488beltbreak2	Core destroyed	439	0	2100	4540
atoll_s539_B	atoll	539	B	US	pinceronly	Core destroyed	127	0	600	390
drakkarfjord_s537_A	drakkarfjord	537	A	US	pinceronly	Core destroyed	106	0	410	0
drakkarfjord_s537_B	drakkarfjord	537	B	US	pinceronly	Core destroyed	120	0	380	0
drakkarfjord_s538_A	drakkarfjord	538	A	US	pinceronly	Core destroyed	88	0	270	0
drakkarfjord_s538_B	drakkarfjord	538	B	US	pinceronly	Core destroyed	98	0	320	0
drakkarfjord_s539_A	drakkarfjord	539	A	US	pinceronly	Core destroyed	397	0	310	0
drakkarfjord_s539_B	drakkarfjord	539	B	US	pinceronly	Core destroyed	140	0	640	0
glacierkeep_s537_A	glacierkeep	537	A	OPP	_v488beltbreak2	Core destroyed	609	0	280	0
glacierkeep_s537_B	glacierkeep	537	B	US	pinceronly	Core destroyed	217	0	0	0
glacierkeep_s538_A	glacierkeep	538	A	US	pinceronly	Core destroyed	182	0	600	140
glacierkeep_s538_B	glacierkeep	538	B	US	pinceronly	Core destroyed	445	0	0	0
glacierkeep_s539_A	glacierkeep	539	A	US	pinceronly	Core destroyed	217	0	290	270
glacierkeep_s539_B	glacierkeep	539	B	US	pinceronly	Core destroyed	836	0	0	0
midgard_s537_A	midgard	537	A	US	pinceronly	Core destroyed	241	0	2140	520
midgard_s537_B	midgard	537	B	OPP	_v488beltbreak2	Core destroyed	202	0	500	1400
midgard_s538_A	midgard	538	A	US	pinceronly	Core destroyed	529	0	1610	1300
midgard_s538_B	midgard	538	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	840	2980
midgard_s539_A	midgard	539	A	US	pinceronly	Core destroyed	264	0	1150	610
midgard_s539_B	midgard	539	B	US	pinceronly	Core destroyed	360	0	3160	760
nordkap_s537_A	nordkap	537	A	OPP	_v488beltbreak2	Core destroyed	655	0	130	1330
nordkap_s537_B	nordkap	537	B	US	pinceronly	Core destroyed	247	0	2070	260
nordkap_s538_A	nordkap	538	A	US	pinceronly	Core destroyed	181	0	450	60
nordkap_s538_B	nordkap	538	B	US	pinceronly	Core destroyed	185	0	130	220
nordkap_s539_A	nordkap	539	A	OPP	_v488beltbreak2	Core destroyed	838	0	500	2300
nordkap_s539_B	nordkap	539	B	US	pinceronly	Core destroyed	865	0	1240	230
yulerune_s537_A	yulerune	537	A	US	pinceronly	Core destroyed	168	0	1080	220
yulerune_s537_B	yulerune	537	B	OPP	_v488beltbreak2	Core destroyed	166	0	460	1260
yulerune_s538_A	yulerune	538	A	US	pinceronly	Core destroyed	584	0	1830	530
yulerune_s538_B	yulerune	538	B	OPP	_v488beltbreak2	Core destroyed	198	0	350	1550
yulerune_s539_A	yulerune	539	A	OPP	_v488beltbreak2	Core destroyed	289	0	320	200
yulerune_s539_B	yulerune	539	B	OPP	_v488beltbreak2	Core destroyed	168	0	400	1880
