tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s513_A	atoll	513	A	US	iGATE	Titanium collected (tiebreak)	1000	0	2670	160
atoll_s513_B	atoll	513	B	US	iGATE	Core destroyed	124	0	580	200
atoll_s514_A	atoll	514	A	OPP	_v488beltbreak2	Core destroyed	182	0	280	820
atoll_s514_B	atoll	514	B	US	iGATE	Core destroyed	156	0	750	500
atoll_s515_A	atoll	515	A	US	iGATE	Core destroyed	364	0	1790	1350
atoll_s515_B	atoll	515	B	OPP	_v488beltbreak2	Core destroyed	220	0	210	700
drakkarfjord_s513_A	drakkarfjord	513	A	US	iGATE	Core destroyed	89	0	340	0
drakkarfjord_s513_B	drakkarfjord	513	B	US	iGATE	Core destroyed	116	0	340	0
drakkarfjord_s514_A	drakkarfjord	514	A	US	iGATE	Core destroyed	121	0	500	0
drakkarfjord_s514_B	drakkarfjord	514	B	US	iGATE	Titanium collected (tiebreak)	1000	0	330	0
drakkarfjord_s515_A	drakkarfjord	515	A	OPP	_v488beltbreak2	Core destroyed	338	0	350	1760
drakkarfjord_s515_B	drakkarfjord	515	B	US	iGATE	Titanium collected (tiebreak)	1000	0	340	0
glacierkeep_s513_A	glacierkeep	513	A	US	iGATE	Core destroyed	126	0	330	0
glacierkeep_s513_B	glacierkeep	513	B	US	iGATE	Core destroyed	143	0	570	0
glacierkeep_s514_A	glacierkeep	514	A	US	iGATE	Core destroyed	125	0	190	0
glacierkeep_s514_B	glacierkeep	514	B	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s515_A	glacierkeep	515	A	US	iGATE	Core destroyed	177	0	670	0
glacierkeep_s515_B	glacierkeep	515	B	OPP	_v488beltbreak2	Core destroyed	838	0	0	860
midgard_s513_A	midgard	513	A	US	iGATE	Core destroyed	422	0	2120	690
midgard_s513_B	midgard	513	B	US	iGATE	Core destroyed	190	0	1480	750
midgard_s514_A	midgard	514	A	OPP	_v488beltbreak2	Core destroyed	429	0	620	780
midgard_s514_B	midgard	514	B	US	iGATE	Core destroyed	207	0	1580	920
midgard_s515_A	midgard	515	A	OPP	_v488beltbreak2	Core destroyed	178	0	1190	1640
midgard_s515_B	midgard	515	B	OPP	_v488beltbreak2	Core destroyed	168	0	590	780
nordkap_s513_A	nordkap	513	A	US	iGATE	Core destroyed	160	0	1090	70
nordkap_s513_B	nordkap	513	B	OPP	_v488beltbreak2	Core destroyed	271	0	190	1670
nordkap_s514_A	nordkap	514	A	US	iGATE	Titanium collected (tiebreak)	1000	0	300	0
nordkap_s514_B	nordkap	514	B	US	iGATE	Core destroyed	165	0	90	80
nordkap_s515_A	nordkap	515	A	OPP	_v488beltbreak2	Core destroyed	661	0	1770	4040
nordkap_s515_B	nordkap	515	B	US	iGATE	Core destroyed	185	0	130	220
yulerune_s513_A	yulerune	513	A	OPP	_v488beltbreak2	Core destroyed	269	0	320	310
yulerune_s513_B	yulerune	513	B	US	iGATE	Core destroyed	289	0	930	1020
yulerune_s514_A	yulerune	514	A	US	iGATE	Core destroyed	241	0	630	430
yulerune_s514_B	yulerune	514	B	OPP	_v488beltbreak2	Core destroyed	505	0	510	930
yulerune_s515_A	yulerune	515	A	US	iGATE	Core destroyed	278	0	1770	340
yulerune_s515_B	yulerune	515	B	OPP	_v488beltbreak2	Core destroyed	309	0	420	630
