tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s61_A	atoll	61	A	US	mOff	Core destroyed	501	0	2560	470
atoll_s61_B	atoll	61	B	US	mOff	Core destroyed	233	0	1640	200
atoll_s62_A	atoll	62	A	OPP	_v488beltbreak2	Core destroyed	777	0	3600	3850
atoll_s62_B	atoll	62	B	US	mOff	Core destroyed	251	0	1060	820
atoll_s63_A	atoll	63	A	OPP	_v488beltbreak2	Core destroyed	229	0	280	1470
atoll_s63_B	atoll	63	B	OPP	_v488beltbreak2	Core destroyed	721	0	1170	1780
drakkarfjord_s61_A	drakkarfjord	61	A	US	mOff	Core destroyed	103	0	300	0
drakkarfjord_s61_B	drakkarfjord	61	B	US	mOff	Titanium collected (tiebreak)	1000	0	330	0
drakkarfjord_s62_A	drakkarfjord	62	A	US	mOff	Core destroyed	92	0	330	0
drakkarfjord_s62_B	drakkarfjord	62	B	US	mOff	Titanium collected (tiebreak)	1000	0	330	0
drakkarfjord_s63_A	drakkarfjord	63	A	US	mOff	Core destroyed	153	0	370	0
drakkarfjord_s63_B	drakkarfjord	63	B	US	mOff	Core destroyed	98	0	300	0
glacierkeep_s61_A	glacierkeep	61	A	OPP	_v488beltbreak2	Core destroyed	609	0	280	0
glacierkeep_s61_B	glacierkeep	61	B	US	mOff	Core destroyed	217	0	0	0
glacierkeep_s62_A	glacierkeep	62	A	US	mOff	Core destroyed	111	0	420	0
glacierkeep_s62_B	glacierkeep	62	B	OPP	_v488beltbreak2	Core destroyed	714	0	0	890
glacierkeep_s63_A	glacierkeep	63	A	US	mOff	Core destroyed	111	0	420	0
glacierkeep_s63_B	glacierkeep	63	B	US	mOff	Titanium stored (tiebreak)	1000	0	0	0
midgard_s61_A	midgard	61	A	US	mOff	Core destroyed	937	0	890	530
midgard_s61_B	midgard	61	B	OPP	_v488beltbreak2	Core destroyed	520	0	810	1510
midgard_s62_A	midgard	62	A	US	mOff	Core destroyed	217	0	1010	770
midgard_s62_B	midgard	62	B	US	mOff	Core destroyed	304	0	1640	730
midgard_s63_A	midgard	63	A	OPP	_v488beltbreak2	Core destroyed	657	0	1290	590
midgard_s63_B	midgard	63	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	660	820
nordkap_s61_A	nordkap	61	A	US	mOff	Core destroyed	293	0	160	70
nordkap_s61_B	nordkap	61	B	US	mOff	Core destroyed	395	0	1670	90
nordkap_s62_A	nordkap	62	A	US	mOff	Core destroyed	566	0	870	270
nordkap_s62_B	nordkap	62	B	US	mOff	Core destroyed	133	0	310	90
nordkap_s63_A	nordkap	63	A	US	mOff	Core destroyed	252	0	1990	130
nordkap_s63_B	nordkap	63	B	US	mOff	Core destroyed	430	0	120	10
yulerune_s61_A	yulerune	61	A	OPP	_v488beltbreak2	Core destroyed	461	0	530	1900
yulerune_s61_B	yulerune	61	B	US	mOff	Core destroyed	277	0	440	490
yulerune_s62_A	yulerune	62	A	US	mOff	Core destroyed	295	0	2160	190
yulerune_s62_B	yulerune	62	B	OPP	_v488beltbreak2	Core destroyed	224	0	290	800
yulerune_s63_A	yulerune	63	A	OPP	_v488beltbreak2	Core destroyed	749	0	180	260
yulerune_s63_B	yulerune	63	B	OPP	_v488beltbreak2	Core destroyed	369	0	380	360
