tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s201_A	archipelago	201	A	US	_v521sync	Core destroyed	234	0	2840	730
archipelago_s201_B	archipelago	201	B	US	_v521sync	Core destroyed	397	0	2160	930
archipelago_s202_A	archipelago	202	A	OPP	_v468kladturbo	Core destroyed	658	0	4080	3290
archipelago_s202_B	archipelago	202	B	US	_v521sync	Core destroyed	141	0	1020	650
archipelago_s203_A	archipelago	203	A	OPP	_v468kladturbo	Core destroyed	224	0	2090	1160
archipelago_s203_B	archipelago	203	B	US	_v521sync	Core destroyed	195	0	1340	1180
archipelago_s204_A	archipelago	204	A	US	_v521sync	Core destroyed	299	0	2230	1490
archipelago_s204_B	archipelago	204	B	OPP	_v468kladturbo	Core destroyed	127	0	1110	950
archipelago_s205_A	archipelago	205	A	US	_v521sync	Core destroyed	403	0	2210	1460
archipelago_s205_B	archipelago	205	B	OPP	_v468kladturbo	Core destroyed	222	0	1420	2070
archipelago_s206_A	archipelago	206	A	OPP	_v468kladturbo	Core destroyed	565	0	2090	1930
archipelago_s206_B	archipelago	206	B	US	_v521sync	Core destroyed	143	0	1240	1010
archipelago_s207_A	archipelago	207	A	US	_v521sync	Core destroyed	111	0	1160	740
archipelago_s207_B	archipelago	207	B	OPP	_v468kladturbo	Core destroyed	595	0	4350	4430
archipelago_s208_A	archipelago	208	A	OPP	_v468kladturbo	Core destroyed	213	0	1560	1540
archipelago_s208_B	archipelago	208	B	OPP	_v468kladturbo	Core destroyed	551	0	2980	2820
archipelago_s209_A	archipelago	209	A	US	_v521sync	Core destroyed	259	0	1940	1300
archipelago_s209_B	archipelago	209	B	US	_v521sync	Core destroyed	339	0	2420	1740
archipelago_s210_A	archipelago	210	A	US	_v521sync	Core destroyed	192	0	1520	940
archipelago_s210_B	archipelago	210	B	US	_v521sync	Core destroyed	136	0	1150	620
archipelago_s211_A	archipelago	211	A	US	_v521sync	Core destroyed	337	0	4630	2060
archipelago_s211_B	archipelago	211	B	US	_v521sync	Core destroyed	126	0	1110	680
archipelago_s212_A	archipelago	212	A	OPP	_v468kladturbo	Core destroyed	181	0	1280	1260
archipelago_s212_B	archipelago	212	B	US	_v521sync	Core destroyed	247	0	1740	800
