tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
nordkap_s201_A	nordkap	201	A	US	instg	Core destroyed	185	0	400	90
nordkap_s201_B	nordkap	201	B	OPP	_v488beltbreak2	Core destroyed	286	0	140	3720
nordkap_s202_A	nordkap	202	A	OPP	_v488beltbreak2	Core destroyed	309	0	120	110
nordkap_s202_B	nordkap	202	B	US	instg	Titanium collected (tiebreak)	1000	0	80	50
nordkap_s203_A	nordkap	203	A	US	instg	Core destroyed	413	0	3270	3730
nordkap_s203_B	nordkap	203	B	US	instg	Core destroyed	432	0	3220	2580
nordkap_s204_A	nordkap	204	A	US	instg	Titanium collected (tiebreak)	1000	0	150	90
nordkap_s204_B	nordkap	204	B	US	instg	Core destroyed	373	0	110	120
nordkap_s205_A	nordkap	205	A	OPP	_v488beltbreak2	Core destroyed	793	0	250	3620
nordkap_s205_B	nordkap	205	B	US	instg	Core destroyed	393	0	110	720
nordkap_s206_A	nordkap	206	A	US	instg	Core destroyed	176	0	590	110
nordkap_s206_B	nordkap	206	B	OPP	_v488beltbreak2	Core destroyed	323	0	290	3130
nordkap_s207_A	nordkap	207	A	US	instg	Core destroyed	132	0	310	60
nordkap_s207_B	nordkap	207	B	US	instg	Core destroyed	289	0	1730	20
nordkap_s208_A	nordkap	208	A	US	instg	Core destroyed	504	0	780	70
nordkap_s208_B	nordkap	208	B	US	instg	Core destroyed	150	0	940	40
nordkap_s209_A	nordkap	209	A	US	instg	Core destroyed	347	0	2300	50
nordkap_s209_B	nordkap	209	B	OPP	_v488beltbreak2	Core destroyed	185	0	120	10
nordkap_s210_A	nordkap	210	A	OPP	_v488beltbreak2	Core destroyed	809	0	1540	2600
nordkap_s210_B	nordkap	210	B	US	instg	Core destroyed	141	0	110	130
nordkap_s211_A	nordkap	211	A	US	instg	Core destroyed	132	0	310	60
nordkap_s211_B	nordkap	211	B	US	instg	Core destroyed	290	0	360	90
nordkap_s212_A	nordkap	212	A	US	instg	Core destroyed	109	0	260	40
nordkap_s212_B	nordkap	212	B	US	instg	Core destroyed	129	0	570	110
