tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s537_A	atoll	537	A	OPP	_v488beltbreak2	Core destroyed	707	0	430	1920
atoll_s537_B	atoll	537	B	OPP	_v488beltbreak2	Core destroyed	149	0	220	760
atoll_s538_A	atoll	538	A	US	iCOREFUND	Core destroyed	124	0	560	220
atoll_s538_B	atoll	538	B	US	iCOREFUND	Core destroyed	151	0	720	400
atoll_s539_A	atoll	539	A	US	iCOREFUND	Core destroyed	289	0	1410	1130
atoll_s539_B	atoll	539	B	US	iCOREFUND	Core destroyed	111	0	520	330
drakkarfjord_s537_A	drakkarfjord	537	A	US	iCOREFUND	Core destroyed	116	0	360	90
drakkarfjord_s537_B	drakkarfjord	537	B	US	iCOREFUND	Core destroyed	383	0	800	0
drakkarfjord_s538_A	drakkarfjord	538	A	US	iCOREFUND	Core destroyed	105	0	380	0
drakkarfjord_s538_B	drakkarfjord	538	B	US	iCOREFUND	Core destroyed	96	0	320	0
drakkarfjord_s539_A	drakkarfjord	539	A	US	iCOREFUND	Core destroyed	99	0	290	0
drakkarfjord_s539_B	drakkarfjord	539	B	US	iCOREFUND	Core destroyed	114	0	340	0
glacierkeep_s537_A	glacierkeep	537	A	US	iCOREFUND	Titanium collected (tiebreak)	1000	0	180	0
glacierkeep_s537_B	glacierkeep	537	B	US	iCOREFUND	Core destroyed	249	0	340	0
glacierkeep_s538_A	glacierkeep	538	A	OPP	_v488beltbreak2	Core destroyed	436	0	360	2050
glacierkeep_s538_B	glacierkeep	538	B	US	iCOREFUND	Core destroyed	397	0	0	0
glacierkeep_s539_A	glacierkeep	539	A	US	iCOREFUND	Core destroyed	217	0	290	270
glacierkeep_s539_B	glacierkeep	539	B	US	iCOREFUND	Core destroyed	159	0	330	0
midgard_s537_A	midgard	537	A	OPP	_v488beltbreak2	Core destroyed	390	0	680	1500
midgard_s537_B	midgard	537	B	US	iCOREFUND	Core destroyed	832	0	1890	500
midgard_s538_A	midgard	538	A	US	iCOREFUND	Core destroyed	237	0	990	750
midgard_s538_B	midgard	538	B	OPP	_v488beltbreak2	Core destroyed	359	0	600	620
midgard_s539_A	midgard	539	A	OPP	_v488beltbreak2	Core destroyed	167	0	610	1320
midgard_s539_B	midgard	539	B	US	iCOREFUND	Core destroyed	537	0	720	410
nordkap_s537_A	nordkap	537	A	US	iCOREFUND	Core destroyed	204	0	490	110
nordkap_s537_B	nordkap	537	B	US	iCOREFUND	Core destroyed	221	0	120	20
nordkap_s538_A	nordkap	538	A	US	iCOREFUND	Titanium collected (tiebreak)	1000	0	6100	0
nordkap_s538_B	nordkap	538	B	US	iCOREFUND	Core destroyed	372	0	2330	100
nordkap_s539_A	nordkap	539	A	US	iCOREFUND	Core destroyed	376	0	2950	60
nordkap_s539_B	nordkap	539	B	US	iCOREFUND	Core destroyed	161	0	90	470
yulerune_s537_A	yulerune	537	A	OPP	_v488beltbreak2	Core destroyed	264	0	390	960
yulerune_s537_B	yulerune	537	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	280	2660
yulerune_s538_A	yulerune	538	A	OPP	_v488beltbreak2	Core destroyed	169	0	320	830
yulerune_s538_B	yulerune	538	B	OPP	_v488beltbreak2	Core destroyed	164	0	360	870
yulerune_s539_A	yulerune	539	A	OPP	_v488beltbreak2	Core destroyed	233	0	270	1980
yulerune_s539_B	yulerune	539	B	OPP	_v488beltbreak2	Core destroyed	182	0	260	1140
