tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s513_A	atoll	513	A	US	iNOPHASE	Core destroyed	153	0	640	170
atoll_s513_B	atoll	513	B	OPP	_v488beltbreak2	Core destroyed	337	0	1650	2300
atoll_s514_A	atoll	514	A	OPP	_v488beltbreak2	Core destroyed	373	0	230	230
atoll_s514_B	atoll	514	B	US	iNOPHASE	Core destroyed	257	0	340	190
atoll_s515_A	atoll	515	A	OPP	_v488beltbreak2	Core destroyed	771	0	3820	3820
atoll_s515_B	atoll	515	B	US	iNOPHASE	Core destroyed	384	0	1890	1500
drakkarfjord_s513_A	drakkarfjord	513	A	US	iNOPHASE	Core destroyed	92	0	340	0
drakkarfjord_s513_B	drakkarfjord	513	B	US	iNOPHASE	Core destroyed	114	0	340	0
drakkarfjord_s514_A	drakkarfjord	514	A	US	iNOPHASE	Core destroyed	141	0	600	80
drakkarfjord_s514_B	drakkarfjord	514	B	US	iNOPHASE	Core destroyed	101	0	280	0
drakkarfjord_s515_A	drakkarfjord	515	A	US	iNOPHASE	Core destroyed	92	0	340	0
drakkarfjord_s515_B	drakkarfjord	515	B	US	iNOPHASE	Core destroyed	122	0	350	0
glacierkeep_s513_A	glacierkeep	513	A	US	iNOPHASE	Core destroyed	137	0	140	0
glacierkeep_s513_B	glacierkeep	513	B	US	iNOPHASE	Core destroyed	293	0	0	110
glacierkeep_s514_A	glacierkeep	514	A	US	iNOPHASE	Core destroyed	111	0	420	0
glacierkeep_s514_B	glacierkeep	514	B	US	iNOPHASE	Core destroyed	237	0	0	0
glacierkeep_s515_A	glacierkeep	515	A	OPP	_v488beltbreak2	Core destroyed	206	0	450	1010
glacierkeep_s515_B	glacierkeep	515	B	US	iNOPHASE	Titanium collected (tiebreak)	1000	0	200	0
midgard_s513_A	midgard	513	A	US	iNOPHASE	Core destroyed	212	0	1240	410
midgard_s513_B	midgard	513	B	OPP	_v488beltbreak2	Core destroyed	218	0	1690	1660
midgard_s514_A	midgard	514	A	OPP	_v488beltbreak2	Core destroyed	309	0	640	2360
midgard_s514_B	midgard	514	B	OPP	_v488beltbreak2	Core destroyed	378	0	760	580
midgard_s515_A	midgard	515	A	US	iNOPHASE	Core destroyed	286	0	2830	1100
midgard_s515_B	midgard	515	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	700	5130
nordkap_s513_A	nordkap	513	A	US	iNOPHASE	Core destroyed	499	0	1610	110
nordkap_s513_B	nordkap	513	B	US	iNOPHASE	Core destroyed	117	0	260	10
nordkap_s514_A	nordkap	514	A	OPP	_v488beltbreak2	Core destroyed	705	0	970	100
nordkap_s514_B	nordkap	514	B	US	iNOPHASE	Core destroyed	265	0	110	140
nordkap_s515_A	nordkap	515	A	US	iNOPHASE	Core destroyed	315	0	1820	180
nordkap_s515_B	nordkap	515	B	OPP	_v488beltbreak2	Core destroyed	453	0	50	1120
yulerune_s513_A	yulerune	513	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	310	470
yulerune_s513_B	yulerune	513	B	OPP	_v488beltbreak2	Core destroyed	292	0	400	2650
yulerune_s514_A	yulerune	514	A	US	iNOPHASE	Core destroyed	334	0	1460	460
yulerune_s514_B	yulerune	514	B	OPP	_v488beltbreak2	Core destroyed	405	0	740	500
yulerune_s515_A	yulerune	515	A	US	iNOPHASE	Core destroyed	514	0	1660	460
yulerune_s515_B	yulerune	515	B	US	iNOPHASE	Core destroyed	150	0	900	300
