tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s810_A	atoll	810	A	US	parent	Titanium collected (tiebreak)	1000	0	4920	4520
atoll_s810_B	atoll	810	B	OPP	_v488beltbreak2	Core destroyed	585	0	250	1540
atoll_s811_A	atoll	811	A	US	parent	Core destroyed	322	0	1580	40
atoll_s811_B	atoll	811	B	OPP	_v488beltbreak2	Core destroyed	413	0	1160	1260
atoll_s812_A	atoll	812	A	OPP	_v488beltbreak2	Core destroyed	215	0	310	1020
atoll_s812_B	atoll	812	B	US	parent	Core destroyed	184	0	650	520
drakkarfjord_s810_A	drakkarfjord	810	A	US	parent	Core destroyed	92	0	340	0
drakkarfjord_s810_B	drakkarfjord	810	B	US	parent	Core destroyed	461	0	420	0
drakkarfjord_s811_A	drakkarfjord	811	A	US	parent	Core destroyed	146	0	620	80
drakkarfjord_s811_B	drakkarfjord	811	B	US	parent	Core destroyed	361	0	1580	0
drakkarfjord_s812_A	drakkarfjord	812	A	US	parent	Core destroyed	183	0	810	320
drakkarfjord_s812_B	drakkarfjord	812	B	US	parent	Core destroyed	114	0	340	0
glacierkeep_s810_A	glacierkeep	810	A	US	parent	Core destroyed	108	0	330	0
glacierkeep_s810_B	glacierkeep	810	B	US	parent	Core destroyed	217	0	0	0
glacierkeep_s811_A	glacierkeep	811	A	US	parent	Core destroyed	355	0	2440	150
glacierkeep_s811_B	glacierkeep	811	B	US	parent	Core destroyed	293	0	0	110
glacierkeep_s812_A	glacierkeep	812	A	US	parent	Core destroyed	173	0	490	0
glacierkeep_s812_B	glacierkeep	812	B	US	parent	Core destroyed	245	0	0	0
midgard_s810_A	midgard	810	A	US	parent	Core destroyed	273	0	1730	590
midgard_s810_B	midgard	810	B	OPP	_v488beltbreak2	Core destroyed	235	0	660	1930
midgard_s811_A	midgard	811	A	US	parent	Core destroyed	176	0	1340	760
midgard_s811_B	midgard	811	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	790	3030
midgard_s812_A	midgard	812	A	OPP	_v488beltbreak2	Core destroyed	241	0	550	950
midgard_s812_B	midgard	812	B	US	parent	Core destroyed	788	0	2600	690
nordkap_s810_A	nordkap	810	A	US	parent	Core destroyed	132	0	310	60
nordkap_s810_B	nordkap	810	B	US	parent	Core destroyed	140	0	860	40
nordkap_s811_A	nordkap	811	A	US	parent	Core destroyed	187	0	870	50
nordkap_s811_B	nordkap	811	B	US	parent	Core destroyed	354	0	4340	1880
nordkap_s812_A	nordkap	812	A	US	parent	Core destroyed	582	0	3480	90
nordkap_s812_B	nordkap	812	B	US	parent	Core destroyed	153	0	170	160
yulerune_s810_A	yulerune	810	A	US	parent	Core destroyed	708	0	5370	4810
yulerune_s810_B	yulerune	810	B	US	parent	Core destroyed	193	0	700	590
yulerune_s811_A	yulerune	811	A	OPP	_v488beltbreak2	Core destroyed	561	0	280	450
yulerune_s811_B	yulerune	811	B	OPP	_v488beltbreak2	Core destroyed	363	0	480	4030
yulerune_s812_A	yulerune	812	A	OPP	_v488beltbreak2	Core destroyed	177	0	270	1060
yulerune_s812_B	yulerune	812	B	OPP	_v488beltbreak2	Core destroyed	237	0	490	2140
