tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s822_A	atoll	822	A	US	v522	Core destroyed	217	0	1360	670
atoll_s822_B	atoll	822	B	US	v522	Titanium collected (tiebreak)	1000	0	2710	2610
atoll_s823_A	atoll	823	A	US	v522	Core destroyed	248	0	1760	180
atoll_s823_B	atoll	823	B	OPP	_v488beltbreak2	Core destroyed	207	0	320	570
atoll_s824_A	atoll	824	A	US	v522	Core destroyed	323	0	970	260
atoll_s824_B	atoll	824	B	US	v522	Core destroyed	159	0	510	190
drakkarfjord_s822_A	drakkarfjord	822	A	US	v522	Core destroyed	88	0	330	0
drakkarfjord_s822_B	drakkarfjord	822	B	US	v522	Core destroyed	122	0	350	0
drakkarfjord_s823_A	drakkarfjord	823	A	US	v522	Core destroyed	121	0	500	0
drakkarfjord_s823_B	drakkarfjord	823	B	US	v522	Core destroyed	101	0	280	0
drakkarfjord_s824_A	drakkarfjord	824	A	US	v522	Core destroyed	88	0	280	0
drakkarfjord_s824_B	drakkarfjord	824	B	US	v522	Core destroyed	122	0	350	0
glacierkeep_s822_A	glacierkeep	822	A	US	v522	Core destroyed	123	0	260	0
glacierkeep_s822_B	glacierkeep	822	B	US	v522	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s823_A	glacierkeep	823	A	US	v522	Core destroyed	119	0	380	0
glacierkeep_s823_B	glacierkeep	823	B	US	v522	Core destroyed	217	0	0	0
glacierkeep_s824_A	glacierkeep	824	A	US	v522	Core destroyed	162	0	350	130
glacierkeep_s824_B	glacierkeep	824	B	US	v522	Core destroyed	312	0	550	0
midgard_s822_A	midgard	822	A	US	v522	Core destroyed	561	0	560	770
midgard_s822_B	midgard	822	B	OPP	_v488beltbreak2	Core destroyed	333	0	1100	720
midgard_s823_A	midgard	823	A	OPP	_v488beltbreak2	Core destroyed	161	0	620	860
midgard_s823_B	midgard	823	B	US	v522	Core destroyed	333	0	1590	700
midgard_s824_A	midgard	824	A	US	v522	Core destroyed	303	0	2010	710
midgard_s824_B	midgard	824	B	OPP	_v488beltbreak2	Core destroyed	562	0	1850	1770
nordkap_s822_A	nordkap	822	A	US	v522	Core destroyed	976	0	4790	80
nordkap_s822_B	nordkap	822	B	US	v522	Core destroyed	309	0	130	10
nordkap_s823_A	nordkap	823	A	US	v522	Core destroyed	376	0	2950	60
nordkap_s823_B	nordkap	823	B	OPP	_v488beltbreak2	Core destroyed	784	0	80	960
nordkap_s824_A	nordkap	824	A	OPP	_v488beltbreak2	Core destroyed	693	0	290	1730
nordkap_s824_B	nordkap	824	B	US	v522	Core destroyed	439	0	6550	2020
yulerune_s822_A	yulerune	822	A	OPP	_v488beltbreak2	Core destroyed	141	0	330	550
yulerune_s822_B	yulerune	822	B	OPP	_v488beltbreak2	Core destroyed	204	0	300	680
yulerune_s823_A	yulerune	823	A	OPP	_v488beltbreak2	Core destroyed	509	0	280	500
yulerune_s823_B	yulerune	823	B	OPP	_v488beltbreak2	Core destroyed	315	0	330	2360
yulerune_s824_A	yulerune	824	A	US	v522	Core destroyed	253	0	1730	770
yulerune_s824_B	yulerune	824	B	OPP	_v488beltbreak2	Core destroyed	232	0	480	2220
