tag	map	seed	seat	ours	turn	n_seats	rounds	sealed_r	live_r	funded_r	livefund_r	overlap_r	overlap_first	seal_only_r	shot_only_r	dmg_in	heal_in	net_in	dmg_out	heal_out	net_out	net_per_overlap	net_per_nonoverlap
atoll_s1_A	atoll	1	A	US	289	8	289	0	107	262	88	0	-1	0	88	0	0		716	212	504		1.7439
atoll_s1_B	atoll	1	B	US	257	8	257	198	158	109	34	34	98	164	0	288	0	288	216	0	216	8.4706	0.9686
atoll_s2_A	atoll	2	A	US	771	8	771	0	79	737	79	0	-1	0	79	0	0		696	192	504		0.6537
atoll_s2_B	atoll	2	B	OPP	515	8	515	0	455	58	7	0	-1	0	7	0	0		468	0	468		0.9087
atoll_s3_A	atoll	3	A	OPP	764	8	764	24	197	745	197	0	-1	24	197	0	0		1076	1076	0		0.0
atoll_s3_B	atoll	3	B	US	152	8	152	0	90	138	85	0	-1	0	85	0	0		658	152	506		3.3289
drakkarfjord_s1_A	drakkarfjord	1	A	US	92	8	92	63	56	78	56	56	36	7	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s1_B	drakkarfjord	1	B	OPP	793	8	793	0	0	779	0	0	-1	0	0	0	0		0	0	0		0.0
drakkarfjord_s2_A	drakkarfjord	2	A	US	99	8	99	53	56	85	56	43	48	10	13	378	0	378	126	0	126	8.7907	2.25
drakkarfjord_s2_B	drakkarfjord	2	B	US	96	8	96	66	56	82	56	55	40	11	1	504	0	504	0	0	0	9.1636	0.0
drakkarfjord_s3_A	drakkarfjord	3	A	US	91	8	91	62	56	77	56	56	35	6	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s3_B	drakkarfjord	3	B	US	98	8	98	52	56	84	56	51	42	1	5	468	0	468	36	0	36	9.1765	0.766
glacierkeep_s1_A	glacierkeep	1	A	US	177	8	177	134	114	61	20	20	68	114	0	0	0	0	504	0	504	0.0	3.2102
glacierkeep_s1_B	glacierkeep	1	B	US	123	8	123	64	64	70	64	37	59	27	27	324	0	324	212	36	176	8.7568	2.0465
glacierkeep_s2_A	glacierkeep	2	A	US	164	8	164	121	76	55	12	12	100	109	0	0	0	0	504	0	504	0.0	3.3158
glacierkeep_s2_B	glacierkeep	2	B	OPP	889	8	889	89	797	52	25	3	92	86	22	18	0	18	2076	1894	182	6.0	0.2054
glacierkeep_s3_A	glacierkeep	3	A	US	153	8	153	108	57	133	53	53	96	55	0	468	0	468	36	0	36	8.8302	0.36
glacierkeep_s3_B	glacierkeep	3	B	US	245	8	245	186	157	49	3	3	88	183	0	18	0	18	486	0	486	6.0	2.0083
midgard_s1_A	midgard	1	A	US	140	8	140	0	39	124	39	0	-1	0	39	0	0		504	0	504		3.6
midgard_s1_B	midgard	1	B	OPP	378	8	378	0	0	78	0	0	-1	0	0	0	0		0	0	0		0.0
midgard_s2_A	midgard	2	A	US	196	8	196	0	56	183	56	0	-1	0	56	0	0		504	0	504		2.5714
midgard_s2_B	midgard	2	B	OPP	1000	8	1000	0	560	298	20	0	-1	0	20	0	0		1428	1428	0		0.0
midgard_s3_A	midgard	3	A	US	103	8	103	0	56	93	55	0	-1	0	55	0	0		504	0	504		4.8932
midgard_s3_B	midgard	3	B	US	192	8	192	0	108	185	108	0	-1	0	108	0	0		504	0	504		2.625
nordkap_s1_A	nordkap	1	A	US	442	8	442	32	365	155	94	3	77	29	91	18	0	18	1866	1384	482	6.0	1.0979
nordkap_s1_B	nordkap	1	B	OPP	326	8	326	0	12	316	12	0	-1	0	12	0	0		68	68	0		0.0
nordkap_s2_A	nordkap	2	A	US	578	8	578	485	91	566	91	54	487	431	37	108	0	108	484	92	392	2.0	0.7481
nordkap_s2_B	nordkap	2	B	OPP	1000	8	1000	171	131	911	52	8	52	163	44	54	0	54	752	572	180	6.75	0.1815
nordkap_s3_A	nordkap	3	A	US	578	8	578	0	252	503	199	0	-1	0	199	0	0		1226	722	504		0.872
nordkap_s3_B	nordkap	3	B	US	309	8	309	253	204	56	47	28	56	225	19	0	0	0	504	0	504	0.0	1.7936
yulerune_s1_A	yulerune	1	A	OPP	825	8	825	0	0	371	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s1_B	yulerune	1	B	US	318	8	318	0	58	301	58	0	-1	0	58	0	0		504	0	504		1.5849
yulerune_s2_A	yulerune	2	A	US	237	8	237	0	56	221	56	0	-1	0	56	0	0		504	0	504		2.1266
yulerune_s2_B	yulerune	2	B	OPP	197	8	197	0	0	54	0	0	-1	0	0	0	0		0	0	0		0.0
yulerune_s3_A	yulerune	3	A	US	260	8	260	0	56	240	56	0	-1	0	56	0	0		504	0	504		1.9385
yulerune_s3_B	yulerune	3	B	OPP	393	8	393	0	92	90	69	0	-1	0	69	0	0		0	0	0		0.0
atoll_s4_A	atoll	4	A	US	116	8	116	0	56	109	56	0	-1	0	56	0	0		504	0	504		4.3448
atoll_s4_B	atoll	4	B	OPP	358	8	358	0	0	49	0	0	-1	0	0	0	0		0	0	0		0.0
atoll_s5_A	atoll	5	A	OPP	1000	8	1000	0	760	527	302	0	-1	0	302	0	0		2226	2226	0		0.0
atoll_s5_B	atoll	5	B	US	257	8	257	198	158	109	34	34	98	164	0	288	0	288	216	0	216	8.4706	0.9686
atoll_s6_A	atoll	6	A	US	153	8	153	92	77	68	15	14	88	78	1	162	0	162	342	0	342	11.5714	2.4604
atoll_s6_B	atoll	6	B	US	127	8	127	0	61	102	49	0	-1	0	49	0	0		504	0	504		3.9685
drakkarfjord_s4_A	drakkarfjord	4	A	US	90	8	90	57	56	75	55	55	34	2	0	486	0	486	18	0	18	8.8364	0.5143
drakkarfjord_s4_B	drakkarfjord	4	B	US	1000	8	1000	29	960	241	215	20	40	9	195	180	0	180	1420	1600	-180	9.0	-0.1837
drakkarfjord_s5_A	drakkarfjord	5	A	US	103	8	103	74	56	89	56	56	47	18	0	504	0	504	0	0	0	9.0	0.0
drakkarfjord_s5_B	drakkarfjord	5	B	US	124	8	124	27	84	110	84	16	40	11	68	144	0	144	484	128	356	9.0	3.2963
drakkarfjord_s6_A	drakkarfjord	6	A	OPP	452	8	452	0	0	265	0	0	-1	0	0	0	0		0	0	0		0.0
drakkarfjord_s6_B	drakkarfjord	6	B	US	493	8	493	54	453	193	167	20	40	34	147	180	0	180	1400	1080	320	9.0	0.6765
glacierkeep_s4_A	glacierkeep	4	A	US	119	8	119	76	56	104	56	56	63	20	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s4_B	glacierkeep	4	B	US	585	8	585	494	533	28	10	10	52	484	0	72	0	72	432	0	432	7.2	0.7513
glacierkeep_s5_A	glacierkeep	5	A	US	119	8	119	76	56	76	56	56	63	20	0	504	0	504	0	0	0	9.0	0.0
glacierkeep_s5_B	glacierkeep	5	B	US	1000	8	1000	299	860	95	6	6	140	293	0	54	0	54	0	54	-54	9.0	-0.0543
glacierkeep_s6_A	glacierkeep	6	A	US	123	8	123	78	56	106	56	56	67	22	0	504	0	504	0	0	0	9.0	0.0
