tag	map	seed	seat	ours	cond	turn	arm	ourcore_dmg	ourcore_heal	ourcore_hp_calc	oppcore_dmg	oppcore_heal	oppcore_hp_calc	heal_back	heal_back_ours	opp_harv_built	opp_belt_built	opp_harv_killed	opp_belt_killed	opp_eco_killed	fwd_gun_n	fwd_gun_first	gun_n	fwd_sent_n	fwd_sent_first	fwd_laun_n	fwd_laun_first	collar_bar_n	unknown_deltas
atoll_s1_A	atoll	1	A	OPP	Core destroyed	290	parent	1476	972	-4	0	0	500		0.6585	5	17	0	0	0	0		1	0		3	7	3	
atoll_s1_B	atoll	1	B	US	Core destroyed	127	parent	594	500	406	504	0	-4	0.0	0.8418	3	12	0	1	1	0		0	1	66	4	7	14	
atoll_s2_A	atoll	2	A	US	Titanium collected (tiebreak)	1000	parent	54	54	500	0	0	500		1.0	5	20	0	3	3	0		6	0		6	7	16	
atoll_s2_B	atoll	2	B	OPP	Titanium collected (tiebreak)	1000	parent	342	342	500	0	0	500		1.0	6	18	0	0	0	0		5	0		4	7	10	
atoll_s3_A	atoll	3	A	US	Core destroyed	216	parent	0	0	500	720	216	-4	0.3		4	15	0	3	3	0		2	1	136	2	7	6	
atoll_s3_B	atoll	3	B	US	Core destroyed	124	parent	774	772	498	504	0	-4	0.0	0.9974	2	4	0	3	3	0		0	1	68	3	7	10	
drakkarfjord_s1_A	drakkarfjord	1	A	US	Core destroyed	88	parent	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	32	1	13	13	
drakkarfjord_s1_B	drakkarfjord	1	B	US	Core destroyed	100	parent	0	0	500	504	0	-4	0.0		2	9	0	0	0	0		0	1	44	1	13	18	
drakkarfjord_s2_A	drakkarfjord	2	A	US	Core destroyed	99	parent	0	0	500	504	0	-4	0.0		2	16	0	0	0	0		0	1	43	1	13	14	
drakkarfjord_s2_B	drakkarfjord	2	B	US	Core destroyed	121	parent	0	0	500	720	216	-4	0.3		2	16	0	0	0	0		0	1	41	1	13	13	
drakkarfjord_s3_A	drakkarfjord	3	A	US	Core destroyed	93	parent	0	0	500	504	0	-4	0.0		3	13	0	0	0	0		0	1	37	1	13	13	
drakkarfjord_s3_B	drakkarfjord	3	B	US	Core destroyed	101	parent	0	0	500	504	0	-4	0.0		2	9	0	0	0	0		0	1	45	1	13	18	
glacierkeep_s1_A	glacierkeep	1	A	US	Core destroyed	119	parent	0	0	500	504	0	-4	0.0		4	29	0	0	0	0		0	1	63	2	9	11	
glacierkeep_s1_B	glacierkeep	1	B	OPP	Harvesters (tiebreak)	1000	parent	0	0	500	2448	2448	500	1.0		10	77	0	0	0	0		0	1	92	2	9	15	
glacierkeep_s2_A	glacierkeep	2	A	US	Core destroyed	127	parent	0	0	500	504	0	-4	0.0		3	17	0	0	0	0		1	1	71	2	9	12	
glacierkeep_s2_B	glacierkeep	2	B	US	Core destroyed	357	parent	0	0	500	504	0	-4	0.0		2	18	0	0	0	0		0	1	176	2	9	42	
glacierkeep_s3_A	glacierkeep	3	A	US	Core destroyed	124	parent	0	0	500	504	0	-4	0.0		3	14	0	0	0	0		0	1	68	2	9	12	
glacierkeep_s3_B	glacierkeep	3	B	OPP	Harvesters (tiebreak)	1000	parent	0	0	500	864	864	500	1.0		11	77	0	0	0	0		0	1	96	3	9	13	
midgard_s1_A	midgard	1	A	US	Core destroyed	422	parent	0	0	500	504	0	-4	0.0		9	53	2	22	24	2	34	8	1	366	0		10	
midgard_s1_B	midgard	1	B	OPP	Core destroyed	836	parent	504	0	-4	0	0	500		0.0	8	70	1	35	36	2	40	5	0		0		9	
midgard_s2_A	midgard	2	A	OPP	Core destroyed	247	parent	504	0	-4	0	0	500		0.0	12	49	5	6	11	1	47	3	0		0		7	
midgard_s2_B	midgard	2	B	OPP	Core destroyed	277	parent	504	0	-4	0	0	500		0.0	14	25	9	5	14	3	38	4	0		0		5	
midgard_s3_A	midgard	3	A	US	Core destroyed	170	parent	0	0	500	504	0	-4	0.0		8	33	1	12	13	1	48	3	2	129	0		9	
midgard_s3_B	midgard	3	B	US	Core destroyed	198	parent	864	846	482	504	0	-4	0.0	0.9792	8	40	4	14	18	2	40	3	1	142	0		9	
nordkap_s1_A	nordkap	1	A	OPP	Core destroyed	773	parent	2556	2056	0	324	324	500	1.0	0.8044	17	37	11	13	24	5	244	5	1	95	5	5	13	
nordkap_s1_B	nordkap	1	B	OPP	Core destroyed	349	parent	504	0	-4	432	0	68	0.0	0.0	5	17	1	2	3	2	7	2	1	80	3	5	11	
nordkap_s2_A	nordkap	2	A	US	Core destroyed	197	parent	612	542	430	504	0	-4	0.0	0.8856	3	12	0	1	1	0		1	1	92	2	5	11	
nordkap_s2_B	nordkap	2	B	US	Core destroyed	220	parent	1116	1116	500	504	0	-4	0.0	1.0	3	10	1	4	5	1	9	2	1	164	3	5	12	
