tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s70_A	atoll	70	A	US	_v523eyes	Core destroyed	119	0	400	100
atoll_s70_B	atoll	70	B	OPP	_v488beltbreak2	Core destroyed	279	0	260	750
atoll_s71_A	atoll	71	A	OPP	_v488beltbreak2	Core destroyed	216	0	1230	1030
atoll_s71_B	atoll	71	B	US	_v523eyes	Core destroyed	178	0	860	700
atoll_s72_A	atoll	72	A	US	_v523eyes	Core destroyed	460	0	2190	2250
atoll_s72_B	atoll	72	B	US	_v523eyes	Core destroyed	645	0	310	1650
drakkarfjord_s70_A	drakkarfjord	70	A	US	_v523eyes	Core destroyed	101	0	340	0
drakkarfjord_s70_B	drakkarfjord	70	B	US	_v523eyes	Titanium collected (tiebreak)	1000	0	330	0
drakkarfjord_s71_A	drakkarfjord	71	A	US	_v523eyes	Core destroyed	89	0	340	0
drakkarfjord_s71_B	drakkarfjord	71	B	US	_v523eyes	Core destroyed	123	0	390	0
drakkarfjord_s72_A	drakkarfjord	72	A	US	_v523eyes	Core destroyed	153	0	370	0
drakkarfjord_s72_B	drakkarfjord	72	B	US	_v523eyes	Core destroyed	153	0	330	0
glacierkeep_s70_A	glacierkeep	70	A	US	_v523eyes	Core destroyed	753	0	1820	0
glacierkeep_s70_B	glacierkeep	70	B	US	_v523eyes	Core destroyed	132	0	290	0
glacierkeep_s71_A	glacierkeep	71	A	US	_v523eyes	Core destroyed	123	0	260	0
glacierkeep_s71_B	glacierkeep	71	B	US	_v523eyes	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s72_A	glacierkeep	72	A	OPP	_v488beltbreak2	Core destroyed	748	0	2010	5110
glacierkeep_s72_B	glacierkeep	72	B	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
midgard_s70_A	midgard	70	A	OPP	_v488beltbreak2	Core destroyed	425	0	800	700
midgard_s70_B	midgard	70	B	US	_v523eyes	Core destroyed	161	0	1490	750
midgard_s71_A	midgard	71	A	US	_v523eyes	Core destroyed	257	0	2220	900
midgard_s71_B	midgard	71	B	US	_v523eyes	Core destroyed	140	0	1180	710
midgard_s72_A	midgard	72	A	OPP	_v488beltbreak2	Core destroyed	545	0	610	800
midgard_s72_B	midgard	72	B	US	_v523eyes	Core destroyed	664	0	1870	1940
nordkap_s70_A	nordkap	70	A	OPP	_v488beltbreak2	Core destroyed	301	0	260	160
nordkap_s70_B	nordkap	70	B	OPP	_v488beltbreak2	Core destroyed	231	0	550	2420
nordkap_s71_A	nordkap	71	A	US	_v523eyes	Core destroyed	116	0	400	120
nordkap_s71_B	nordkap	71	B	OPP	_v488beltbreak2	Core destroyed	433	0	130	10
nordkap_s72_A	nordkap	72	A	US	_v523eyes	Core destroyed	457	0	140	0
nordkap_s72_B	nordkap	72	B	US	_v523eyes	Core destroyed	491	0	120	130
yulerune_s70_A	yulerune	70	A	US	_v523eyes	Core destroyed	661	0	420	390
yulerune_s70_B	yulerune	70	B	OPP	_v488beltbreak2	Core destroyed	366	0	450	2080
yulerune_s71_A	yulerune	71	A	US	_v523eyes	Titanium collected (tiebreak)	1000	0	720	310
yulerune_s71_B	yulerune	71	B	OPP	_v488beltbreak2	Core destroyed	214	0	240	2150
yulerune_s72_A	yulerune	72	A	US	_v523eyes	Core destroyed	448	0	1380	530
yulerune_s72_B	yulerune	72	B	OPP	_v488beltbreak2	Core destroyed	247	0	420	2290
