tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s22_A	atoll	22	A	OPP	_v488beltbreak2	Core destroyed	831	0	4050	4100
atoll_s22_B	atoll	22	B	US	flagoff	Core destroyed	232	0	1120	700
atoll_s23_A	atoll	23	A	OPP	_v488beltbreak2	Core destroyed	459	0	1940	4720
atoll_s23_B	atoll	23	B	US	flagoff	Core destroyed	127	0	600	390
atoll_s24_A	atoll	24	A	US	flagoff	Core destroyed	364	0	1830	990
atoll_s24_B	atoll	24	B	US	flagoff	Core destroyed	385	0	250	200
drakkarfjord_s22_A	drakkarfjord	22	A	US	flagoff	Core destroyed	99	0	390	0
drakkarfjord_s22_B	drakkarfjord	22	B	US	flagoff	Core destroyed	101	0	280	0
drakkarfjord_s23_A	drakkarfjord	23	A	US	flagoff	Titanium collected (tiebreak)	1000	0	660	190
drakkarfjord_s23_B	drakkarfjord	23	B	US	flagoff	Core destroyed	120	0	380	0
drakkarfjord_s24_A	drakkarfjord	24	A	US	flagoff	Core destroyed	90	0	280	0
drakkarfjord_s24_B	drakkarfjord	24	B	US	flagoff	Core destroyed	120	0	380	0
glacierkeep_s22_A	glacierkeep	22	A	US	flagoff	Core destroyed	150	0	620	0
glacierkeep_s22_B	glacierkeep	22	B	US	flagoff	Core destroyed	340	0	2380	0
glacierkeep_s23_A	glacierkeep	23	A	US	flagoff	Core destroyed	108	0	330	0
glacierkeep_s23_B	glacierkeep	23	B	US	flagoff	Titanium collected (tiebreak)	1000	0	520	0
glacierkeep_s24_A	glacierkeep	24	A	US	flagoff	Core destroyed	123	0	330	0
glacierkeep_s24_B	glacierkeep	24	B	US	flagoff	Core destroyed	445	0	0	0
midgard_s22_A	midgard	22	A	OPP	_v488beltbreak2	Core destroyed	202	0	680	1350
midgard_s22_B	midgard	22	B	OPP	_v488beltbreak2	Core destroyed	156	0	680	1260
midgard_s23_A	midgard	23	A	OPP	_v488beltbreak2	Core destroyed	529	0	980	600
midgard_s23_B	midgard	23	B	OPP	_v488beltbreak2	Core destroyed	183	0	760	1750
midgard_s24_A	midgard	24	A	US	flagoff	Core destroyed	218	0	2070	640
midgard_s24_B	midgard	24	B	OPP	_v488beltbreak2	Core destroyed	132	0	720	1090
nordkap_s22_A	nordkap	22	A	US	flagoff	Core destroyed	124	0	350	20
nordkap_s22_B	nordkap	22	B	US	flagoff	Core destroyed	185	0	130	220
nordkap_s23_A	nordkap	23	A	US	flagoff	Core destroyed	117	0	350	20
nordkap_s23_B	nordkap	23	B	OPP	_v488beltbreak2	Core destroyed	309	0	90	60
nordkap_s24_A	nordkap	24	A	US	flagoff	Core destroyed	457	0	2020	0
nordkap_s24_B	nordkap	24	B	OPP	_v488beltbreak2	Core destroyed	161	0	80	1270
yulerune_s22_A	yulerune	22	A	OPP	_v488beltbreak2	Core destroyed	257	0	460	1650
yulerune_s22_B	yulerune	22	B	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	490	1930
yulerune_s23_A	yulerune	23	A	OPP	_v488beltbreak2	Core destroyed	300	0	400	1630
yulerune_s23_B	yulerune	23	B	US	flagoff	Core destroyed	253	0	510	390
yulerune_s24_A	yulerune	24	A	US	flagoff	Core destroyed	533	0	410	1000
yulerune_s24_B	yulerune	24	B	OPP	_v488beltbreak2	Core destroyed	224	0	530	1800
