tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s410_A	atoll	410	A	OPP	_x3r0v161gungnir	Titanium collected (tiebreak)	1000	0	2600	4600
atoll_s410_B	atoll	410	B	US	parent	Core destroyed	266	0	1280	390
atoll_s411_A	atoll	411	A	US	parent	Core destroyed	292	0	1430	220
atoll_s411_B	atoll	411	B	OPP	_x3r0v161gungnir	Core destroyed	224	0	1360	810
atoll_s412_A	atoll	412	A	US	parent	Core destroyed	220	0	1350	460
atoll_s412_B	atoll	412	B	US	parent	Core destroyed	211	0	1590	560
drakkarfjord_s410_A	drakkarfjord	410	A	US	parent	Core destroyed	96	0	270	0
drakkarfjord_s410_B	drakkarfjord	410	B	US	parent	Core destroyed	96	0	250	0
drakkarfjord_s411_A	drakkarfjord	411	A	US	parent	Core destroyed	120	0	630	0
drakkarfjord_s411_B	drakkarfjord	411	B	US	parent	Core destroyed	182	0	330	0
drakkarfjord_s412_A	drakkarfjord	412	A	US	parent	Core destroyed	96	0	220	0
drakkarfjord_s412_B	drakkarfjord	412	B	US	parent	Core destroyed	295	0	3600	0
glacierkeep_s410_A	glacierkeep	410	A	US	parent	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s410_B	glacierkeep	410	B	US	parent	Titanium collected (tiebreak)	1000	0	2730	0
glacierkeep_s411_A	glacierkeep	411	A	US	parent	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s411_B	glacierkeep	411	B	US	parent	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s412_A	glacierkeep	412	A	OPP	_x3r0v161gungnir	Core destroyed	849	0	0	0
glacierkeep_s412_B	glacierkeep	412	B	OPP	_x3r0v161gungnir	Harvesters (tiebreak)	1000	0	0	0
midgard_s410_A	midgard	410	A	OPP	_x3r0v161gungnir	Core destroyed	150	0	630	1140
midgard_s410_B	midgard	410	B	OPP	_x3r0v161gungnir	Core destroyed	94	0	680	830
midgard_s411_A	midgard	411	A	OPP	_x3r0v161gungnir	Core destroyed	192	0	1040	1480
midgard_s411_B	midgard	411	B	OPP	_x3r0v161gungnir	Core destroyed	172	0	640	1720
midgard_s412_A	midgard	412	A	OPP	_x3r0v161gungnir	Core destroyed	126	0	290	1040
midgard_s412_B	midgard	412	B	OPP	_x3r0v161gungnir	Core destroyed	125	0	500	950
nordkap_s410_A	nordkap	410	A	US	parent	Core destroyed	91	0	210	200
nordkap_s410_B	nordkap	410	B	OPP	_x3r0v161gungnir	Core destroyed	214	0	0	200
nordkap_s411_A	nordkap	411	A	US	parent	Core destroyed	144	0	1400	190
nordkap_s411_B	nordkap	411	B	OPP	_x3r0v161gungnir	Core destroyed	273	0	0	350
nordkap_s412_A	nordkap	412	A	OPP	_x3r0v161gungnir	Core destroyed	326	0	1480	1810
nordkap_s412_B	nordkap	412	B	OPP	_x3r0v161gungnir	Core destroyed	170	0	230	510
yulerune_s410_A	yulerune	410	A	US	parent	Core destroyed	214	0	2150	50
yulerune_s410_B	yulerune	410	B	OPP	_x3r0v161gungnir	Core destroyed	93	0	0	510
yulerune_s411_A	yulerune	411	A	US	parent	Core destroyed	205	0	3160	880
yulerune_s411_B	yulerune	411	B	US	parent	Core destroyed	264	0	3070	1230
yulerune_s412_A	yulerune	412	A	OPP	_x3r0v161gungnir	Core destroyed	449	0	200	920
yulerune_s412_B	yulerune	412	B	US	parent	Core destroyed	494	0	3290	900
