tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s410_A	atoll	410	A	OPP	_x3r0v161gungnir	Core destroyed	158	0	560	680
atoll_s410_B	atoll	410	B	US	_v523eyes	Core destroyed	597	0	1660	1590
atoll_s411_A	atoll	411	A	US	_v523eyes	Core destroyed	144	0	1200	180
atoll_s411_B	atoll	411	B	OPP	_x3r0v161gungnir	Core destroyed	375	0	1070	1400
atoll_s412_A	atoll	412	A	US	_v523eyes	Core destroyed	195	0	940	170
atoll_s412_B	atoll	412	B	US	_v523eyes	Core destroyed	292	0	1420	1420
drakkarfjord_s410_A	drakkarfjord	410	A	US	_v523eyes	Core destroyed	96	0	270	0
drakkarfjord_s410_B	drakkarfjord	410	B	US	_v523eyes	Core destroyed	321	0	310	670
drakkarfjord_s411_A	drakkarfjord	411	A	US	_v523eyes	Core destroyed	329	0	1530	0
drakkarfjord_s411_B	drakkarfjord	411	B	US	_v523eyes	Core destroyed	200	0	290	0
drakkarfjord_s412_A	drakkarfjord	412	A	US	_v523eyes	Core destroyed	172	0	320	0
drakkarfjord_s412_B	drakkarfjord	412	B	OPP	_x3r0v161gungnir	Core destroyed	635	0	580	990
glacierkeep_s410_A	glacierkeep	410	A	OPP	_x3r0v161gungnir	Core destroyed	241	0	0	510
glacierkeep_s410_B	glacierkeep	410	B	US	_v523eyes	Core destroyed	478	0	2350	0
glacierkeep_s411_A	glacierkeep	411	A	US	_v523eyes	Core destroyed	386	0	1600	700
glacierkeep_s411_B	glacierkeep	411	B	OPP	_x3r0v161gungnir	Core destroyed	793	0	0	0
glacierkeep_s412_A	glacierkeep	412	A	OPP	_x3r0v161gungnir	Titanium collected (tiebreak)	1000	0	0	2090
glacierkeep_s412_B	glacierkeep	412	B	OPP	_x3r0v161gungnir	Core destroyed	949	0	0	0
midgard_s410_A	midgard	410	A	OPP	_x3r0v161gungnir	Core destroyed	145	0	280	1240
midgard_s410_B	midgard	410	B	US	_v523eyes	Core destroyed	225	0	2650	1240
midgard_s411_A	midgard	411	A	US	_v523eyes	Core destroyed	146	0	1590	820
midgard_s411_B	midgard	411	B	US	_v523eyes	Core destroyed	344	0	4490	2730
midgard_s412_A	midgard	412	A	US	_v523eyes	Core destroyed	129	0	1120	540
midgard_s412_B	midgard	412	B	OPP	_x3r0v161gungnir	Core destroyed	361	0	1140	2870
nordkap_s410_A	nordkap	410	A	US	_v523eyes	Core destroyed	118	0	580	250
nordkap_s410_B	nordkap	410	B	US	_v523eyes	Core destroyed	207	0	1520	360
nordkap_s411_A	nordkap	411	A	US	_v523eyes	Core destroyed	273	0	1710	590
nordkap_s411_B	nordkap	411	B	US	_v523eyes	Core destroyed	362	0	1210	680
nordkap_s412_A	nordkap	412	A	OPP	_x3r0v161gungnir	Core destroyed	393	0	100	190
nordkap_s412_B	nordkap	412	B	US	_v523eyes	Core destroyed	258	0	560	350
yulerune_s410_A	yulerune	410	A	OPP	_x3r0v161gungnir	Core destroyed	110	0	0	790
yulerune_s410_B	yulerune	410	B	OPP	_x3r0v161gungnir	Core destroyed	196	0	0	980
yulerune_s411_A	yulerune	411	A	OPP	_x3r0v161gungnir	Core destroyed	326	0	160	4380
yulerune_s411_B	yulerune	411	B	OPP	_x3r0v161gungnir	Core destroyed	163	0	0	1390
yulerune_s412_A	yulerune	412	A	US	_v523eyes	Core destroyed	179	0	1740	600
yulerune_s412_B	yulerune	412	B	US	_v523eyes	Core destroyed	491	0	4150	2390
