tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s61_A	atoll	61	A	US	mUNION	Core destroyed	551	0	1540	120
atoll_s61_B	atoll	61	B	OPP	_v488beltbreak2	Core destroyed	242	0	930	1180
atoll_s62_A	atoll	62	A	US	mUNION	Titanium collected (tiebreak)	1000	0	2640	230
atoll_s62_B	atoll	62	B	OPP	_v488beltbreak2	Core destroyed	170	0	260	820
atoll_s63_A	atoll	63	A	OPP	_v488beltbreak2	Core destroyed	229	0	340	1100
atoll_s63_B	atoll	63	B	OPP	_v488beltbreak2	Core destroyed	159	0	290	1320
drakkarfjord_s61_A	drakkarfjord	61	A	US	mUNION	Core destroyed	805	0	7290	6230
drakkarfjord_s61_B	drakkarfjord	61	B	US	mUNION	Core destroyed	122	0	350	0
drakkarfjord_s62_A	drakkarfjord	62	A	US	mUNION	Core destroyed	207	0	930	120
drakkarfjord_s62_B	drakkarfjord	62	B	US	mUNION	Core destroyed	618	0	3700	0
drakkarfjord_s63_A	drakkarfjord	63	A	US	mUNION	Core destroyed	99	0	390	0
drakkarfjord_s63_B	drakkarfjord	63	B	US	mUNION	Core destroyed	368	0	1130	0
glacierkeep_s61_A	glacierkeep	61	A	US	mUNION	Core destroyed	126	0	330	0
glacierkeep_s61_B	glacierkeep	61	B	US	mUNION	Core destroyed	340	0	2380	0
glacierkeep_s62_A	glacierkeep	62	A	US	mUNION	Core destroyed	144	0	310	0
glacierkeep_s62_B	glacierkeep	62	B	US	mUNION	Core destroyed	217	0	0	0
glacierkeep_s63_A	glacierkeep	63	A	US	mUNION	Core destroyed	127	0	310	0
glacierkeep_s63_B	glacierkeep	63	B	US	mUNION	Core destroyed	353	0	370	0
midgard_s61_A	midgard	61	A	US	mUNION	Core destroyed	176	0	1340	760
midgard_s61_B	midgard	61	B	OPP	_v488beltbreak2	Core destroyed	389	0	710	640
midgard_s62_A	midgard	62	A	OPP	_v488beltbreak2	Core destroyed	181	0	790	1590
midgard_s62_B	midgard	62	B	US	mUNION	Core destroyed	485	0	700	710
midgard_s63_A	midgard	63	A	OPP	_v488beltbreak2	Core destroyed	294	0	1440	2670
midgard_s63_B	midgard	63	B	US	mUNION	Core destroyed	393	0	670	680
nordkap_s61_A	nordkap	61	A	OPP	_v488beltbreak2	Core destroyed	689	0	200	240
nordkap_s61_B	nordkap	61	B	OPP	_v488beltbreak2	Core destroyed	273	0	190	110
nordkap_s62_A	nordkap	62	A	US	mUNION	Core destroyed	479	0	620	100
nordkap_s62_B	nordkap	62	B	OPP	_v488beltbreak2	Core destroyed	248	0	90	2730
nordkap_s63_A	nordkap	63	A	US	mUNION	Core destroyed	201	0	480	110
nordkap_s63_B	nordkap	63	B	OPP	_v488beltbreak2	Core destroyed	849	0	130	920
yulerune_s61_A	yulerune	61	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	470	510
yulerune_s61_B	yulerune	61	B	US	mUNION	Core destroyed	161	0	700	640
yulerune_s62_A	yulerune	62	A	OPP	_v488beltbreak2	Core destroyed	137	0	350	510
yulerune_s62_B	yulerune	62	B	OPP	_v488beltbreak2	Core destroyed	545	0	440	370
yulerune_s63_A	yulerune	63	A	US	mUNION	Core destroyed	240	0	1690	280
yulerune_s63_B	yulerune	63	B	US	mUNION	Core destroyed	439	0	3270	460
