tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
yulerune_s201_A	yulerune	201	A	OPP	_v488beltbreak2	Core destroyed	193	0	730	730
yulerune_s201_B	yulerune	201	B	OPP	_v488beltbreak2	Core destroyed	460	0	690	2360
yulerune_s202_A	yulerune	202	A	US	mF	Core destroyed	785	0	340	2190
yulerune_s202_B	yulerune	202	B	US	mF	Core destroyed	165	0	950	350
yulerune_s203_A	yulerune	203	A	US	mF	Core destroyed	546	0	4670	3290
yulerune_s203_B	yulerune	203	B	US	mF	Core destroyed	341	0	2350	3090
yulerune_s204_A	yulerune	204	A	US	mF	Core destroyed	336	0	1420	750
yulerune_s204_B	yulerune	204	B	OPP	_v488beltbreak2	Core destroyed	283	0	300	1980
yulerune_s205_A	yulerune	205	A	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	320	560
yulerune_s205_B	yulerune	205	B	US	mF	Core destroyed	257	0	2860	1290
yulerune_s206_A	yulerune	206	A	US	mF	Core destroyed	253	0	1730	770
yulerune_s206_B	yulerune	206	B	US	mF	Core destroyed	439	0	3270	460
yulerune_s207_A	yulerune	207	A	US	mF	Core destroyed	184	0	1770	400
yulerune_s207_B	yulerune	207	B	OPP	_v488beltbreak2	Core destroyed	309	0	420	630
yulerune_s208_A	yulerune	208	A	US	mF	Core destroyed	197	0	1430	430
yulerune_s208_B	yulerune	208	B	US	mF	Core destroyed	305	0	340	200
yulerune_s209_A	yulerune	209	A	US	mF	Core destroyed	145	0	880	270
yulerune_s209_B	yulerune	209	B	OPP	_v488beltbreak2	Core destroyed	250	0	380	2760
yulerune_s210_A	yulerune	210	A	US	mF	Core destroyed	507	0	1640	330
yulerune_s210_B	yulerune	210	B	US	mF	Core destroyed	193	0	700	590
yulerune_s211_A	yulerune	211	A	US	mF	Core destroyed	515	0	1700	460
yulerune_s211_B	yulerune	211	B	US	mF	Core destroyed	305	0	340	200
yulerune_s212_A	yulerune	212	A	OPP	_v488beltbreak2	Core destroyed	307	0	290	1620
yulerune_s212_B	yulerune	212	B	US	mF	Core destroyed	666	0	6360	2030
