map seat seed naive blind
atoll A 7 same same
atoll B 7 CHANGED same
atoll A 11 same same
atoll B 11 CHANGED same
atoll A 23 same same
atoll B 23 CHANGED same
drakkarfjord A 7 CHANGED CHANGED
drakkarfjord B 7 CHANGED CHANGED
drakkarfjord A 11 CHANGED CHANGED
drakkarfjord B 11 CHANGED CHANGED
drakkarfjord A 23 CHANGED CHANGED
drakkarfjord B 23 CHANGED CHANGED
glacierkeep A 7 CHANGED CHANGED
glacierkeep B 7 CHANGED same
glacierkeep A 11 CHANGED CHANGED
glacierkeep B 11 CHANGED same
glacierkeep A 23 CHANGED CHANGED
glacierkeep B 23 CHANGED same
midgard A 7 same same
midgard B 7 same same
midgard A 11 same same
midgard B 11 same same
midgard A 23 same same
midgard B 23 same same
nordkap A 7 CHANGED same
nordkap B 7 same same
nordkap A 11 CHANGED same
nordkap B 11 same same
nordkap A 23 CHANGED same
nordkap B 23 same same
yulerune A 7 same same
yulerune B 7 same same
yulerune A 11 same same
yulerune B 11 same same
yulerune A 23 same same
yulerune B 23 same same
DOSE DONE 2026-08-18T13:55:04Z
