arm	map	seed	seat	ok	winner	turns	cond	treat_won
v522	ragnarok	524201	B	True	A	161	core_destroyed	False
v524	ragnarok	524202	A	True	A	182	core_destroyed	True
v522	ragnarok	524202	A	True	A	220	core_destroyed	True
v524	ragnarok	524201	B	True	B	1000	titanium_collected	True
v522	ragnarok	524200	A	True	A	1000	titanium_collected	True
v522	ragnarok	524203	B	True	A	176	core_destroyed	False
v524	ragnarok	524203	B	True	B	260	core_destroyed	True
v524	ragnarok	524204	A	True	A	193	core_destroyed	True
v524	ragnarok	524200	A	True	B	1000	titanium_collected	False
v522	ragnarok	524204	A	True	B	338	core_destroyed	False
v524	ragnarok	524205	B	True	B	269	core_destroyed	True
v522	ragnarok	524205	B	True	B	233	core_destroyed	True
v522	ragnarok	524206	A	True	A	210	core_destroyed	True
v524	ragnarok	524206	A	True	B	575	core_destroyed	False
v522	ragnarok	524207	B	True	A	340	core_destroyed	False
v524	ragnarok	524209	B	True	B	109	core_destroyed	True
v524	ragnarok	524207	B	True	A	1000	titanium_collected	False
v524	ragnarok	524208	A	True	B	1000	titanium_collected	False
v522	ragnarok	524208	A	True	A	1000	titanium_collected	True
v524	ragnarok	524210	A	True	B	575	core_destroyed	False
v522	ragnarok	524210	A	True	A	174	core_destroyed	True
v524	ragnarok	524212	A	True	B	258	core_destroyed	False
v522	ragnarok	524209	B	True	A	1000	titanium_collected	False
v522	ragnarok	524212	A	True	B	383	core_destroyed	False
v524	ragnarok	524213	B	True	A	290	core_destroyed	False
v522	ragnarok	524211	B	True	A	1000	titanium_collected	False
v524	ragnarok	524214	A	True	B	221	core_destroyed	False
v524	ragnarok	524211	B	True	A	1000	titanium_collected	False
v522	ragnarok	524213	B	True	A	514	core_destroyed	False
v522	ragnarok	524214	A	True	A	306	core_destroyed	True
v524	ragnarok	524215	B	True	B	106	core_destroyed	True
v522	ragnarok	524216	A	True	A	144	core_destroyed	True
v524	ragnarok	524216	A	True	A	258	core_destroyed	True
v522	ragnarok	524215	B	True	A	320	core_destroyed	False
v522	ragnarok	524218	A	True	A	221	core_destroyed	True
v524	ragnarok	524217	B	True	B	713	core_destroyed	True
v522	ragnarok	524219	B	True	B	292	core_destroyed	True
v524	ragnarok	524218	A	True	A	1000	titanium_collected	True
v524	ragnarok	524219	B	True	B	529	core_destroyed	True
v522	ragnarok	524217	B	True	B	1000	titanium_collected	True
v524	ragnarok	524220	A	True	B	586	core_destroyed	False
v522	ragnarok	524220	A	True	A	387	core_destroyed	True
v524	ragnarok	524221	B	True	B	405	core_destroyed	True
v524	ragnarok	524223	B	True	A	187	core_destroyed	False
v524	ragnarok	524222	A	True	A	571	core_destroyed	True
v522	ragnarok	524221	B	True	A	1000	titanium_collected	False
v522	ragnarok	524222	A	True	A	1000	titanium_collected	True
v522	ragnarok	524224	A	True	A	211	core_destroyed	True
v522	ragnarok	524225	B	True	A	223	core_destroyed	False
v524	ragnarok	524224	A	True	A	1000	titanium_collected	True
v522	ragnarok	524223	B	True	B	1000	titanium_collected	True
v524	ragnarok	524226	A	True	A	182	core_destroyed	True
v524	ragnarok	524227	B	True	B	109	core_destroyed	True
v524	ragnarok	524225	B	True	B	1000	titanium_collected	True
v522	ragnarok	524226	A	True	A	381	core_destroyed	True
v522	ragnarok	524227	B	True	A	396	core_destroyed	False
v522	ragnarok	524228	A	True	B	455	core_destroyed	False
v524	ragnarok	524228	A	True	A	496	core_destroyed	True
v524	ragnarok	524229	B	True	B	442	core_destroyed	True
v524	ragnarok	524230	A	True	A	465	core_destroyed	True
v522	ragnarok	524230	A	True	A	219	core_destroyed	True
v522	ragnarok	524229	B	True	B	1000	titanium_collected	True
v522	ragnarok	524232	A	True	A	207	core_destroyed	True
v524	ragnarok	524233	B	True	B	124	core_destroyed	True
v524	ragnarok	524231	B	True	A	1000	titanium_collected	False
v522	ragnarok	524233	B	True	B	370	core_destroyed	True
v522	ragnarok	524231	B	True	B	1000	titanium_collected	True
v524	ragnarok	524234	A	True	A	283	core_destroyed	True
v524	ragnarok	524235	B	True	A	190	core_destroyed	False
v524	ragnarok	524232	A	True	A	1000	titanium_collected	True
v522	ragnarok	524235	B	True	B	312	core_destroyed	True
v522	ragnarok	524236	A	True	B	453	core_destroyed	False
v524	ragnarok	524236	A	True	A	283	core_destroyed	True
v524	ragnarok	524237	B	True	B	298	core_destroyed	True
v522	ragnarok	524234	A	True	A	1000	titanium_collected	True
v522	ragnarok	524237	B	True	B	392	core_destroyed	True
v524	ragnarok	524238	A	True	A	270	core_destroyed	True
v522	ragnarok	524239	B	True	A	177	core_destroyed	False
v522	ragnarok	524238	A	True	B	450	core_destroyed	False
v524	ragnarok	524239	B	True	A	243	core_destroyed	False
v524	ragnarok	524240	A	True	A	182	core_destroyed	True
v524	ragnarok	524241	B	True	A	225	core_destroyed	False
v522	ragnarok	524241	B	True	B	317	core_destroyed	True
v524	ragnarok	524243	B	True	A	261	core_destroyed	False
v522	ragnarok	524243	B	True	B	125	core_destroyed	True
v524	ragnarok	524242	A	True	A	1000	titanium_collected	True
v522	ragnarok	524242	A	True	A	750	core_destroyed	True
v524	ragnarok	524244	A	True	A	190	core_destroyed	True
v522	ragnarok	524240	A	True	A	1000	titanium_collected	True
v524	ragnarok	524245	B	True	A	307	core_destroyed	False
