arm	map	seed	seat	ok	winner	turns	cond	treat_won	traceback
v524parent	antler	525500	A	True	A	204	core_destroyed	True	False
flagoff	antler	525500	A	True	A	216	core_destroyed	True	False
flagoff	antler	525501	B	True	A	273	core_destroyed	False	False
v524parent	antler	525501	B	True	A	409	core_destroyed	False	False
flagoff	antler	525502	A	True	A	373	core_destroyed	True	False
v524parent	antler	525502	A	True	A	191	core_destroyed	True	False
v524parent	antler	525503	B	True	A	229	core_destroyed	False	False
flagoff	antler	525503	B	True	A	1000	titanium_collected	False	False
flagoff	antler	525504	A	True	B	255	core_destroyed	False	False
v524parent	antler	525504	A	True	A	210	core_destroyed	True	False
flagoff	antler	525505	B	True	A	383	core_destroyed	False	False
v524parent	antler	525505	B	True	B	173	core_destroyed	True	False
flagoff	archipelago	525506	A	True	B	215	core_destroyed	False	False
v524parent	archipelago	525506	A	True	B	191	core_destroyed	False	False
flagoff	archipelago	525507	B	True	A	156	core_destroyed	False	False
v524parent	archipelago	525507	B	True	A	207	core_destroyed	False	False
flagoff	archipelago	525508	A	True	B	172	core_destroyed	False	False
v524parent	archipelago	525508	A	True	B	205	core_destroyed	False	False
flagoff	archipelago	525509	B	True	A	174	core_destroyed	False	False
v524parent	archipelago	525509	B	True	A	362	core_destroyed	False	False
flagoff	archipelago	525510	A	True	B	179	core_destroyed	False	False
flagoff	archipelago	525511	B	True	B	139	core_destroyed	True	False
v524parent	archipelago	525510	A	True	B	265	core_destroyed	False	False
v524parent	archipelago	525511	B	True	A	274	core_destroyed	False	False
flagoff	auroraveil	525512	A	True	A	387	core_destroyed	True	False
v524parent	auroraveil	525512	A	True	A	731	core_destroyed	True	False
flagoff	auroraveil	525513	B	True	A	244	core_destroyed	False	False
v524parent	auroraveil	525513	B	True	B	317	core_destroyed	True	False
flagoff	auroraveil	525514	A	True	A	570	core_destroyed	True	False
v524parent	auroraveil	525514	A	True	A	472	core_destroyed	True	False
flagoff	auroraveil	525515	B	True	B	437	core_destroyed	True	False
v524parent	auroraveil	525515	B	True	B	237	core_destroyed	True	False
flagoff	auroraveil	525516	A	True	A	202	core_destroyed	True	False
v524parent	auroraveil	525516	A	True	A	293	core_destroyed	True	False
flagoff	auroraveil	525517	B	True	B	284	core_destroyed	True	False
v524parent	auroraveil	525517	B	True	A	243	core_destroyed	False	False
flagoff	drakkarfjord	525518	A	True	A	101	core_destroyed	True	False
v524parent	drakkarfjord	525518	A	True	A	101	core_destroyed	True	False
flagoff	drakkarfjord	525519	B	True	B	125	core_destroyed	True	False
v524parent	drakkarfjord	525519	B	True	B	101	core_destroyed	True	False
flagoff	drakkarfjord	525520	A	True	A	101	core_destroyed	True	False
v524parent	drakkarfjord	525520	A	True	A	88	core_destroyed	True	False
flagoff	drakkarfjord	525521	B	True	B	122	core_destroyed	True	False
v524parent	drakkarfjord	525521	B	True	B	114	core_destroyed	True	False
flagoff	drakkarfjord	525522	A	True	A	105	core_destroyed	True	False
flagoff	drakkarfjord	525523	B	True	B	461	core_destroyed	True	False
v524parent	drakkarfjord	525523	B	True	B	96	core_destroyed	True	False
flagoff	drumlin	525524	A	True	A	127	core_destroyed	True	False
v524parent	drumlin	525524	A	True	A	1000	titanium_collected	True	False
v524parent	drakkarfjord	525522	A	True	A	847	core_destroyed	True	False
v524parent	drumlin	525525	B	True	B	141	core_destroyed	True	False
flagoff	drumlin	525525	B	True	B	1000	titanium_collected	True	False
flagoff	drumlin	525526	A	True	B	169	core_destroyed	False	False
v524parent	drumlin	525526	A	True	A	113	core_destroyed	True	False
flagoff	drumlin	525527	B	True	B	180	core_destroyed	True	False
v524parent	drumlin	525527	B	True	B	84	core_destroyed	True	False
v524parent	drumlin	525528	A	True	A	127	core_destroyed	True	False
flagoff	drumlin	525529	B	True	B	125	core_destroyed	True	False
v524parent	drumlin	525529	B	True	A	225	core_destroyed	False	False
flagoff	drumlin	525528	A	True	B	568	core_destroyed	False	False
flagoff	fjordgate	525530	A	True	A	405	core_destroyed	True	False
v524parent	fjordgate	525530	A	True	A	258	core_destroyed	True	False
flagoff	fjordgate	525531	B	True	B	1000	titanium_collected	True	False
v524parent	fjordgate	525531	B	True	B	322	core_destroyed	True	False
flagoff	fjordgate	525532	A	True	A	201	core_destroyed	True	False
flagoff	fjordgate	525533	B	True	B	200	core_destroyed	True	False
v524parent	fjordgate	525533	B	True	B	1000	titanium_collected	True	False
v524parent	fjordgate	525532	A	True	A	877	core_destroyed	True	False
flagoff	fjordgate	525534	A	True	A	136	core_destroyed	True	False
v524parent	fjordgate	525534	A	True	A	155	core_destroyed	True	False
flagoff	fjordgate	525535	B	True	B	208	core_destroyed	True	False
v524parent	fjordgate	525535	B	True	B	241	core_destroyed	True	False
flagoff	frostgate	525536	A	True	A	281	core_destroyed	True	False
v524parent	frostgate	525536	A	True	A	169	core_destroyed	True	False
flagoff	frostgate	525537	B	True	B	118	core_destroyed	True	False
v524parent	frostgate	525537	B	True	A	213	core_destroyed	False	False
flagoff	frostgate	525538	A	True	A	181	core_destroyed	True	False
v524parent	frostgate	525538	A	True	B	162	core_destroyed	False	False
flagoff	frostgate	525539	B	True	B	137	core_destroyed	True	False
v524parent	frostgate	525539	B	True	A	213	core_destroyed	False	False
flagoff	frostgate	525540	A	True	A	489	core_destroyed	True	False
v524parent	frostgate	525540	A	True	B	189	core_destroyed	False	False
flagoff	frostgate	525541	B	True	B	157	core_destroyed	True	False
v524parent	frostgate	525541	B	True	B	265	core_destroyed	True	False
flagoff	glacierkeep	525542	A	True	A	213	core_destroyed	True	False
v524parent	glacierkeep	525542	A	True	A	149	core_destroyed	True	False
v524parent	glacierkeep	525543	B	True	B	225	core_destroyed	True	False
flagoff	glacierkeep	525543	B	True	B	1000	titanium_collected	True	False
flagoff	glacierkeep	525544	A	True	A	119	core_destroyed	True	False
v524parent	glacierkeep	525544	A	True	A	123	core_destroyed	True	False
flagoff	glacierkeep	525545	B	True	B	221	core_destroyed	True	False
flagoff	glacierkeep	525546	A	True	A	153	core_destroyed	True	False
v524parent	glacierkeep	525545	B	True	B	1000	harvesters	True	False
flagoff	glacierkeep	525547	B	True	B	317	core_destroyed	True	False
v524parent	glacierkeep	525546	A	True	A	429	core_destroyed	True	False
v524parent	glacierkeep	525547	B	True	B	197	core_destroyed	True	False
v524parent	icefloe	525548	A	True	A	98	core_destroyed	True	False
flagoff	icefloe	525548	A	True	A	492	core_destroyed	True	False
flagoff	icefloe	525549	B	True	B	116	core_destroyed	True	False
