tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v526_atoll_s1_A	atoll	1	A	v526	US	inst_v526	Core destroyed	522	0	1470	270
parent_atoll_s1_A	atoll	1	A	parent	US	inst_parent	Core destroyed	244	0	1260	1540
v526_atoll_s1_B	atoll	1	B	v526	OPP	_v488beltbreak2	Core destroyed	156	0	280	730
parent_atoll_s1_B	atoll	1	B	parent	OPP	_v488beltbreak2	Core destroyed	285	0	270	1380
v526_atoll_s2_A	atoll	2	A	v526	US	inst_v526	Core destroyed	639	0	1720	280
parent_atoll_s2_A	atoll	2	A	parent	US	inst_parent	Core destroyed	456	0	2250	4880
v526_atoll_s2_B	atoll	2	B	v526	US	inst_v526	Core destroyed	240	0	1170	660
parent_atoll_s2_B	atoll	2	B	parent	OPP	_v488beltbreak2	Core destroyed	437	0	540	1130
v526_atoll_s3_A	atoll	3	A	v526	US	inst_v526	Core destroyed	152	0	540	310
parent_atoll_s3_A	atoll	3	A	parent	US	inst_parent	Core destroyed	655	0	4670	3230
v526_atoll_s3_B	atoll	3	B	v526	OPP	_v488beltbreak2	Core destroyed	249	0	330	680
parent_atoll_s3_B	atoll	3	B	parent	US	inst_parent	Core destroyed	184	0	650	520
v526_atoll_s4_A	atoll	4	A	v526	US	inst_v526	Core destroyed	260	0	1270	200
parent_atoll_s4_A	atoll	4	A	parent	US	inst_parent	Core destroyed	119	0	400	100
v526_atoll_s4_B	atoll	4	B	v526	OPP	_v488beltbreak2	Core destroyed	321	0	290	1580
parent_atoll_s4_B	atoll	4	B	parent	US	inst_parent	Core destroyed	127	0	600	390
v526_atoll_s5_A	atoll	5	A	v526	US	inst_v526	Core destroyed	526	0	1440	1780
parent_atoll_s5_A	atoll	5	A	parent	US	inst_parent	Core destroyed	778	0	3860	2300
v526_atoll_s5_B	atoll	5	B	v526	US	inst_v526	Core destroyed	567	0	3000	680
parent_atoll_s5_B	atoll	5	B	parent	OPP	_v488beltbreak2	Core destroyed	233	0	280	1120
v526_atoll_s6_A	atoll	6	A	v526	US	inst_v526	Core destroyed	445	0	1270	400
parent_atoll_s6_A	atoll	6	A	parent	US	inst_parent	Core destroyed	524	0	2720	1030
v526_atoll_s6_B	atoll	6	B	v526	US	inst_v526	Core destroyed	232	0	1530	1130
parent_atoll_s6_B	atoll	6	B	parent	US	inst_parent	Core destroyed	645	0	310	1650
v526_drakkarfjord_s1_A	drakkarfjord	1	A	v526	US	inst_v526	Core destroyed	179	0	390	100
parent_drakkarfjord_s1_A	drakkarfjord	1	A	parent	US	inst_parent	Core destroyed	101	0	340	0
v526_drakkarfjord_s1_B	drakkarfjord	1	B	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	7650	0
parent_drakkarfjord_s1_B	drakkarfjord	1	B	parent	US	inst_parent	Core destroyed	116	0	340	0
v526_drakkarfjord_s2_A	drakkarfjord	2	A	v526	OPP	_v488beltbreak2	Core destroyed	696	0	420	1160
parent_drakkarfjord_s2_A	drakkarfjord	2	A	parent	US	inst_parent	Core destroyed	117	0	480	0
v526_drakkarfjord_s2_B	drakkarfjord	2	B	v526	US	inst_v526	Core destroyed	184	0	530	0
parent_drakkarfjord_s2_B	drakkarfjord	2	B	parent	US	inst_parent	Core destroyed	117	0	360	0
v526_drakkarfjord_s3_A	drakkarfjord	3	A	v526	US	inst_v526	Core destroyed	136	0	140	0
parent_drakkarfjord_s3_A	drakkarfjord	3	A	parent	US	inst_parent	Core destroyed	116	0	340	240
v526_drakkarfjord_s3_B	drakkarfjord	3	B	v526	US	inst_v526	Core destroyed	270	0	1530	0
parent_drakkarfjord_s3_B	drakkarfjord	3	B	parent	US	inst_parent	Core destroyed	96	0	320	0
v526_drakkarfjord_s4_A	drakkarfjord	4	A	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	340	550
parent_drakkarfjord_s4_A	drakkarfjord	4	A	parent	US	inst_parent	Core destroyed	99	0	290	0
v526_drakkarfjord_s4_B	drakkarfjord	4	B	v526	US	inst_v526	Core destroyed	155	0	570	0
parent_drakkarfjord_s4_B	drakkarfjord	4	B	parent	US	inst_parent	Core destroyed	917	0	300	0
v526_drakkarfjord_s5_A	drakkarfjord	5	A	v526	US	inst_v526	Core destroyed	249	0	240	0
parent_drakkarfjord_s5_A	drakkarfjord	5	A	parent	US	inst_parent	Core destroyed	116	0	360	90
v526_drakkarfjord_s5_B	drakkarfjord	5	B	v526	US	inst_v526	Core destroyed	201	0	240	0
parent_drakkarfjord_s5_B	drakkarfjord	5	B	parent	US	inst_parent	Core destroyed	249	0	2760	0
v526_drakkarfjord_s6_A	drakkarfjord	6	A	v526	US	inst_v526	Core destroyed	136	0	140	0
parent_drakkarfjord_s6_A	drakkarfjord	6	A	parent	US	inst_parent	Core destroyed	88	0	270	0
v526_drakkarfjord_s6_B	drakkarfjord	6	B	v526	US	inst_v526	Core destroyed	218	0	1230	0
parent_drakkarfjord_s6_B	drakkarfjord	6	B	parent	US	inst_parent	Core destroyed	101	0	280	0
v526_glacierkeep_s1_A	glacierkeep	1	A	v526	US	inst_v526	Core destroyed	193	0	20	0
parent_glacierkeep_s1_A	glacierkeep	1	A	parent	US	inst_parent	Core destroyed	123	0	250	0
v526_glacierkeep_s1_B	glacierkeep	1	B	v526	US	inst_v526	Core destroyed	219	0	710	0
parent_glacierkeep_s1_B	glacierkeep	1	B	parent	US	inst_parent	Harvesters (tiebreak)	1000	0	0	0
v526_glacierkeep_s2_A	glacierkeep	2	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	10	0
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	inst_parent	Core destroyed	143	0	410	0
v526_glacierkeep_s2_B	glacierkeep	2	B	v526	US	inst_v526	Core destroyed	329	0	0	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v526_glacierkeep_s3_A	glacierkeep	3	A	v526	US	inst_v526	Core destroyed	716	0	370	0
parent_glacierkeep_s3_A	glacierkeep	3	A	parent	US	inst_parent	Core destroyed	111	0	420	0
v526_glacierkeep_s3_B	glacierkeep	3	B	v526	US	inst_v526	Core destroyed	376	0	410	0
parent_glacierkeep_s3_B	glacierkeep	3	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
v526_glacierkeep_s4_A	glacierkeep	4	A	v526	US	inst_v526	Core destroyed	429	0	10	0
parent_glacierkeep_s4_A	glacierkeep	4	A	parent	US	inst_parent	Core destroyed	111	0	420	0
v526_glacierkeep_s4_B	glacierkeep	4	B	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	50	0
parent_glacierkeep_s4_B	glacierkeep	4	B	parent	US	inst_parent	Core destroyed	293	0	0	110
v526_glacierkeep_s5_A	glacierkeep	5	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	20	0
parent_glacierkeep_s5_A	glacierkeep	5	A	parent	US	inst_parent	Core destroyed	217	0	250	160
v526_glacierkeep_s5_B	glacierkeep	5	B	v526	US	inst_v526	Core destroyed	209	0	0	0
parent_glacierkeep_s5_B	glacierkeep	5	B	parent	US	inst_parent	Core destroyed	445	0	0	0
v526_glacierkeep_s6_A	glacierkeep	6	A	v526	US	inst_v526	Titanium collected (tiebreak)	1000	0	20	0
parent_glacierkeep_s6_A	glacierkeep	6	A	parent	US	inst_parent	Core destroyed	131	0	280	0
v526_glacierkeep_s6_B	glacierkeep	6	B	v526	US	inst_v526	Core destroyed	323	0	730	0
parent_glacierkeep_s6_B	glacierkeep	6	B	parent	US	inst_parent	Core destroyed	457	0	60	240
v526_nordkap_s1_A	nordkap	1	A	v526	OPP	_v488beltbreak2	Core destroyed	357	0	110	410
parent_nordkap_s1_A	nordkap	1	A	parent	US	inst_parent	Core destroyed	225	0	180	0
v526_nordkap_s1_B	nordkap	1	B	v526	OPP	_v488beltbreak2	Core destroyed	274	0	280	3390
parent_nordkap_s1_B	nordkap	1	B	parent	US	inst_parent	Core destroyed	140	0	860	40
v526_nordkap_s2_A	nordkap	2	A	v526	US	inst_v526	Core destroyed	321	0	240	90
parent_nordkap_s2_A	nordkap	2	A	parent	US	inst_parent	Core destroyed	725	0	3770	70
v526_nordkap_s2_B	nordkap	2	B	v526	US	inst_v526	Core destroyed	601	0	4070	1310
parent_nordkap_s2_B	nordkap	2	B	parent	OPP	_v488beltbreak2	Core destroyed	453	0	50	1120
v526_nordkap_s3_A	nordkap	3	A	v526	OPP	_v488beltbreak2	Core destroyed	186	0	90	1570
parent_nordkap_s3_A	nordkap	3	A	parent	US	inst_parent	Core destroyed	104	0	250	50
v526_nordkap_s3_B	nordkap	3	B	v526	US	inst_v526	Core destroyed	377	0	510	70
parent_nordkap_s3_B	nordkap	3	B	parent	US	inst_parent	Core destroyed	516	0	3460	3400
v526_nordkap_s4_A	nordkap	4	A	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	170	220
parent_nordkap_s4_A	nordkap	4	A	parent	US	inst_parent	Core destroyed	493	0	150	180
v526_nordkap_s4_B	nordkap	4	B	v526	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	0	2390
parent_nordkap_s4_B	nordkap	4	B	parent	OPP	_v488beltbreak2	Core destroyed	204	0	150	1260
v526_nordkap_s5_A	nordkap	5	A	v526	OPP	_v488beltbreak2	Core destroyed	726	0	50	1200
parent_nordkap_s5_A	nordkap	5	A	parent	US	inst_parent	Core destroyed	203	0	2090	60
v526_nordkap_s5_B	nordkap	5	B	v526	US	inst_v526	Core destroyed	285	0	680	180
parent_nordkap_s5_B	nordkap	5	B	parent	US	inst_parent	Core destroyed	112	0	260	70
v526_nordkap_s6_A	nordkap	6	A	v526	OPP	_v488beltbreak2	Core destroyed	440	0	50	1840
parent_nordkap_s6_A	nordkap	6	A	parent	US	inst_parent	Core destroyed	213	0	120	60
v526_nordkap_s6_B	nordkap	6	B	v526	US	inst_v526	Core destroyed	536	0	0	160
parent_nordkap_s6_B	nordkap	6	B	parent	OPP	_v488beltbreak2	Core destroyed	250	0	130	2380
v526_yulerune_s1_A	yulerune	1	A	v526	US	inst_v526	Core destroyed	148	0	470	0
parent_yulerune_s1_A	yulerune	1	A	parent	US	inst_parent	Core destroyed	109	0	190	0
v526_yulerune_s1_B	yulerune	1	B	v526	US	inst_v526	Core destroyed	137	0	490	0
parent_yulerune_s1_B	yulerune	1	B	parent	US	inst_parent	Core destroyed	141	0	410	100
v526_yulerune_s2_A	yulerune	2	A	v526	US	inst_v526	Core destroyed	141	0	240	0
parent_yulerune_s2_A	yulerune	2	A	parent	US	inst_parent	Core destroyed	88	0	230	0
v526_yulerune_s2_B	yulerune	2	B	v526	OPP	_v488beltbreak2	Core destroyed	401	0	140	0
parent_yulerune_s2_B	yulerune	2	B	parent	US	inst_parent	Core destroyed	218	0	660	0
v526_yulerune_s3_A	yulerune	3	A	v526	US	inst_v526	Core destroyed	82	0	310	0
parent_yulerune_s3_A	yulerune	3	A	parent	US	inst_parent	Core destroyed	85	0	210	0
v526_yulerune_s3_B	yulerune	3	B	v526	US	inst_v526	Core destroyed	145	0	490	0
parent_yulerune_s3_B	yulerune	3	B	parent	US	inst_parent	Core destroyed	141	0	520	0
v526_yulerune_s4_A	yulerune	4	A	v526	US	inst_v526	Core destroyed	99	0	250	0
