tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v529_atoll_s1_A	atoll	1	A	v529	US	_v529merge	Core destroyed	764	0	3790	2580
v527_atoll_s1_A	atoll	1	A	v527	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	290	2750
v528_atoll_s1_A	atoll	1	A	v528	US	_v528eco	Core destroyed	329	0	2370	320
parent_atoll_s1_A	atoll	1	A	parent	OPP	_v488beltbreak2	Core destroyed	760	0	2980	6020
flagoff_atoll_s1_A	atoll	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	215	0	310	1020
v529_atoll_s1_B	atoll	1	B	v529	US	_v529merge	Core destroyed	765	0	3400	3760
v527_atoll_s1_B	atoll	1	B	v527	US	_v527collar	Core destroyed	158	0	760	440
v528_atoll_s1_B	atoll	1	B	v528	US	_v528eco	Core destroyed	134	0	640	400
parent_atoll_s1_B	atoll	1	B	parent	OPP	_v488beltbreak2	Core destroyed	295	0	1920	1810
flagoff_atoll_s1_B	atoll	1	B	flagoff	US	flagoff_arm	Core destroyed	356	0	1750	1750
v529_atoll_s2_A	atoll	2	A	v529	US	_v529merge	Core destroyed	765	0	260	660
v527_atoll_s2_A	atoll	2	A	v527	OPP	_v488beltbreak2	Core destroyed	268	0	320	1300
v528_atoll_s2_A	atoll	2	A	v528	OPP	_v488beltbreak2	Core destroyed	372	0	1820	4250
parent_atoll_s2_A	atoll	2	A	parent	US	base_arm	Core destroyed	119	0	400	100
flagoff_atoll_s2_A	atoll	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	363	0	1420	3860
v529_atoll_s2_B	atoll	2	B	v529	US	_v529merge	Core destroyed	965	0	5230	2510
v527_atoll_s2_B	atoll	2	B	v527	OPP	_v488beltbreak2	Core destroyed	539	0	1460	3360
v528_atoll_s2_B	atoll	2	B	v528	US	_v528eco	Core destroyed	671	0	3580	3320
parent_atoll_s2_B	atoll	2	B	parent	US	base_arm	Core destroyed	855	0	4240	1170
flagoff_atoll_s2_B	atoll	2	B	flagoff	US	flagoff_arm	Core destroyed	243	0	1180	540
v529_drakkarfjord_s1_A	drakkarfjord	1	A	v529	US	_v529merge	Titanium collected (tiebreak)	1000	0	440	0
v527_drakkarfjord_s1_A	drakkarfjord	1	A	v527	US	_v527collar	Core destroyed	92	0	330	0
v528_drakkarfjord_s1_A	drakkarfjord	1	A	v528	US	_v528eco	Core destroyed	186	0	810	110
parent_drakkarfjord_s1_A	drakkarfjord	1	A	parent	US	base_arm	Core destroyed	92	0	340	0
flagoff_drakkarfjord_s1_A	drakkarfjord	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	377	0	960	3740
v529_drakkarfjord_s1_B	drakkarfjord	1	B	v529	US	_v529merge	Core destroyed	149	0	340	0
v527_drakkarfjord_s1_B	drakkarfjord	1	B	v527	US	_v527collar	Core destroyed	117	0	360	0
v528_drakkarfjord_s1_B	drakkarfjord	1	B	v528	US	_v528eco	Core destroyed	349	0	2160	0
parent_drakkarfjord_s1_B	drakkarfjord	1	B	parent	US	base_arm	Core destroyed	98	0	320	0
flagoff_drakkarfjord_s1_B	drakkarfjord	1	B	flagoff	US	flagoff_arm	Core destroyed	461	0	420	0
v529_drakkarfjord_s2_A	drakkarfjord	2	A	v529	US	_v529merge	Core destroyed	93	0	340	0
v527_drakkarfjord_s2_A	drakkarfjord	2	A	v527	US	_v527collar	Core destroyed	283	0	480	360
v528_drakkarfjord_s2_A	drakkarfjord	2	A	v528	US	_v528eco	Core destroyed	115	0	340	0
parent_drakkarfjord_s2_A	drakkarfjord	2	A	parent	US	base_arm	Core destroyed	106	0	410	0
flagoff_drakkarfjord_s2_A	drakkarfjord	2	A	flagoff	US	flagoff_arm	Core destroyed	93	0	340	0
v529_drakkarfjord_s2_B	drakkarfjord	2	B	v529	US	_v529merge	Core destroyed	456	0	950	0
v527_drakkarfjord_s2_B	drakkarfjord	2	B	v527	US	_v527collar	Core destroyed	309	0	3350	0
v528_drakkarfjord_s2_B	drakkarfjord	2	B	v528	US	_v528eco	Core destroyed	101	0	280	0
