tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
parent_atoll_s1_A	atoll	1	A	parent	US	parent_arm	Core destroyed	205	0	990	290
flagoff_atoll_s1_A	atoll	1	A	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	7030	4940
v531fix_atoll_s1_A	atoll	1	A	v531fix	OPP	_v488beltbreak2	Core destroyed	311	0	60	1520
nomouth_atoll_s1_A	atoll	1	A	nomouth	OPP	_v488beltbreak2	Core destroyed	685	0	110	150
cap6_atoll_s1_A	atoll	1	A	cap6	OPP	_v488beltbreak2	Core destroyed	385	0	830	1870
parent_atoll_s1_B	atoll	1	B	parent	OPP	_v488beltbreak2	Core destroyed	282	0	840	1380
flagoff_atoll_s1_B	atoll	1	B	flagoff	US	flagoff_arm	Core destroyed	223	0	670	770
v531fix_atoll_s1_B	atoll	1	B	v531fix	OPP	_v488beltbreak2	Core destroyed	349	0	0	1720
nomouth_atoll_s1_B	atoll	1	B	nomouth	US	nomouth_arm	Core destroyed	116	0	540	380
cap6_atoll_s1_B	atoll	1	B	cap6	OPP	_v488beltbreak2	Core destroyed	257	0	0	1250
parent_atoll_s2_A	atoll	2	A	parent	US	parent_arm	Core destroyed	359	0	1050	160
flagoff_atoll_s2_A	atoll	2	A	flagoff	US	flagoff_arm	Core destroyed	244	0	1260	1540
v531fix_atoll_s2_A	atoll	2	A	v531fix	US	_v531fix	Core destroyed	189	0	310	140
nomouth_atoll_s2_A	atoll	2	A	nomouth	OPP	_v488beltbreak2	Core destroyed	285	0	250	1580
cap6_atoll_s2_A	atoll	2	A	cap6	US	cap6_arm	Core destroyed	148	0	320	210
parent_atoll_s2_B	atoll	2	B	parent	OPP	_v488beltbreak2	Core destroyed	766	0	260	1980
flagoff_atoll_s2_B	atoll	2	B	flagoff	US	flagoff_arm	Core destroyed	673	0	2000	2370
v531fix_atoll_s2_B	atoll	2	B	v531fix	OPP	_v488beltbreak2	Core destroyed	160	0	0	760
nomouth_atoll_s2_B	atoll	2	B	nomouth	US	nomouth_arm	Core destroyed	158	0	750	500
cap6_atoll_s2_B	atoll	2	B	cap6	OPP	_v488beltbreak2	Core destroyed	190	0	0	910
parent_drakkarfjord_s1_A	drakkarfjord	1	A	parent	US	parent_arm	Titanium collected (tiebreak)	1000	0	340	260
flagoff_drakkarfjord_s1_A	drakkarfjord	1	A	flagoff	US	flagoff_arm	Core destroyed	106	0	410	0
v531fix_drakkarfjord_s1_A	drakkarfjord	1	A	v531fix	US	_v531fix	Core destroyed	143	0	290	0
nomouth_drakkarfjord_s1_A	drakkarfjord	1	A	nomouth	US	nomouth_arm	Core destroyed	104	0	300	0
cap6_drakkarfjord_s1_A	drakkarfjord	1	A	cap6	US	cap6_arm	Core destroyed	127	0	360	0
parent_drakkarfjord_s1_B	drakkarfjord	1	B	parent	US	parent_arm	Core destroyed	98	0	320	0
flagoff_drakkarfjord_s1_B	drakkarfjord	1	B	flagoff	US	flagoff_arm	Core destroyed	149	0	340	0
v531fix_drakkarfjord_s1_B	drakkarfjord	1	B	v531fix	US	_v531fix	Core destroyed	253	0	0	0
nomouth_drakkarfjord_s1_B	drakkarfjord	1	B	nomouth	US	nomouth_arm	Core destroyed	137	0	540	0
cap6_drakkarfjord_s1_B	drakkarfjord	1	B	cap6	US	cap6_arm	Core destroyed	206	0	1420	0
parent_drakkarfjord_s2_A	drakkarfjord	2	A	parent	US	parent_arm	Core destroyed	103	0	400	0
flagoff_drakkarfjord_s2_A	drakkarfjord	2	A	flagoff	US	flagoff_arm	Core destroyed	353	0	310	0
v531fix_drakkarfjord_s2_A	drakkarfjord	2	A	v531fix	US	_v531fix	Core destroyed	321	0	350	0
nomouth_drakkarfjord_s2_A	drakkarfjord	2	A	nomouth	US	nomouth_arm	Core destroyed	104	0	300	0
cap6_drakkarfjord_s2_A	drakkarfjord	2	A	cap6	US	cap6_arm	Core destroyed	104	0	260	0
parent_drakkarfjord_s2_B	drakkarfjord	2	B	parent	US	parent_arm	Core destroyed	98	0	320	0
flagoff_drakkarfjord_s2_B	drakkarfjord	2	B	flagoff	US	flagoff_arm	Core destroyed	122	0	350	0
v531fix_drakkarfjord_s2_B	drakkarfjord	2	B	v531fix	US	_v531fix	Core destroyed	481	0	2710	0
nomouth_drakkarfjord_s2_B	drakkarfjord	2	B	nomouth	US	nomouth_arm	Core destroyed	103	0	300	0
cap6_drakkarfjord_s2_B	drakkarfjord	2	B	cap6	US	cap6_arm	Core destroyed	498	0	1200	0
parent_glacierkeep_s1_A	glacierkeep	1	A	parent	US	parent_arm	Core destroyed	161	0	170	0
flagoff_glacierkeep_s1_A	glacierkeep	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	956	0	310	910
v531fix_glacierkeep_s1_A	glacierkeep	1	A	v531fix	US	_v531fix	Core destroyed	201	0	0	0
nomouth_glacierkeep_s1_A	glacierkeep	1	A	nomouth	US	nomouth_arm	Core destroyed	120	0	240	0
cap6_glacierkeep_s1_A	glacierkeep	1	A	cap6	US	cap6_arm	Core destroyed	156	0	330	0
parent_glacierkeep_s1_B	glacierkeep	1	B	parent	US	parent_arm	Core destroyed	157	0	80	0
flagoff_glacierkeep_s1_B	glacierkeep	1	B	flagoff	US	flagoff_arm	Core destroyed	848	0	0	0
v531fix_glacierkeep_s1_B	glacierkeep	1	B	v531fix	US	_v531fix	Core destroyed	200	0	510	100
nomouth_glacierkeep_s1_B	glacierkeep	1	B	nomouth	US	nomouth_arm	Core destroyed	671	0	1210	0
cap6_glacierkeep_s1_B	glacierkeep	1	B	cap6	US	cap6_arm	Core destroyed	325	0	0	0
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	parent_arm	Core destroyed	161	0	330	140
flagoff_glacierkeep_s2_A	glacierkeep	2	A	flagoff	US	flagoff_arm	Core destroyed	119	0	380	0
v531fix_glacierkeep_s2_A	glacierkeep	2	A	v531fix	US	_v531fix	Core destroyed	874	0	1480	0
nomouth_glacierkeep_s2_A	glacierkeep	2	A	nomouth	US	nomouth_arm	Core destroyed	800	0	2160	0
cap6_glacierkeep_s2_A	glacierkeep	2	A	cap6	US	cap6_arm	Core destroyed	120	0	270	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
flagoff_glacierkeep_s2_B	glacierkeep	2	B	flagoff	US	flagoff_arm	Core destroyed	239	0	0	0
v531fix_glacierkeep_s2_B	glacierkeep	2	B	v531fix	US	_v531fix	Core destroyed	273	0	0	0
nomouth_glacierkeep_s2_B	glacierkeep	2	B	nomouth	US	nomouth_arm	Core destroyed	605	0	680	0
cap6_glacierkeep_s2_B	glacierkeep	2	B	cap6	US	cap6_arm	Core destroyed	965	0	870	0
