tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
parent_atoll_s1_A	atoll	1	A	193	1	5	0	3	0.0	2	5	2	3	27	2	2	2	6	3	4	3	4	4	12	7	3	39	120	80	18	270	160	18	330	160	16	330	160	330	160	2	2	4	3	1	3	2	2	2	4	8	1	3	2	2	0	2	8	1	3	2	2	0	2	8	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	0	6	6	0	0	6	6	0	0	23	23	6	0	4.995	5	6	817	0.7613	0.1028	6	8	8	3	2	0.6	0	22	5	0.227	2	2	4	144	6	4	4	0	28	2	5	5	3	13	10	13	17	0	builder_attack	theirs	23	2	2	2	8	8	184	0.953	0.959	325	2	10	183	0.948	13	3	144	1	0	0	0	153	153	1	0	0	0	1	1	1	1.0	153	1	3	0	30	44	0	30	-1	500	500	58	0	194	1	193	Core destroyed
flagoff_atoll_s1_A	atoll	1	A	232	0	9	0	3	0.0	2	5	2	3	27	3	4	4	6	3	3	3	10	15	12	13	4	22	120	100	42	270	250	61	420	450	139	1050	950	1260	1110	3	2	4	2	1	3	2	4	2	4	6	1	3	2	4	1	3	7	1	3	2	4	3	15	5	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	5	5	0	1	6	6	0	0	5	5	0	0	21	21	6	0	3.655	9	6	500	0.368	0.06	6	8	8	7	6	0.778	0	22	5	0.227	2	2	9	3	6	4	9	0	65	2	5	5	3	9	11	8	12	1	sentinel	theirs	21	1	2	2	8	8	61	0.263	0.297	73	2	11	221	0.953	5	7	13	5	0	0	0	123	22	5	3	0	0	5	3	3	0.6	123	0	95	0	22	8	124	0	101	0	98	-1	500	500	0	232	Core destroyed
v530_atoll_s1_A	atoll	1	A	127	1	5	0	3	0.0	2	5	6	3	27	2	2	2	5	3	3	2	4	4	8	6	2	43	120	120	110	270	190	24	470	190	12	600	190	600	190	2	2	4	2	1	3	2	2	2	4	2	1	3	2	2	2	4	1	1	3	2	0	0	0	0	-1	-1	0	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	2	2	0	2	1	1	0	5	-1	-1	-1	-1	25	25	2	0	0.992	5	5	291	0.5155	0.0172	6	8	8	2	2	0.4	1	22	5	0.227	2	2	5	37	6	5	5	0	31	2	5	5	3	9	10	9	12	0	builder_attack	theirs	23	2	2	2	8	8	58	0.457	0.724	72	2	10	117	0.921	8	2	15	1	0	0	0	23	23	1	2	0	0	1	1	1	1.0	23	0	37	0	0	47	0	28	19	420	494	67	0	0	1	127	Core destroyed
v531fix_atoll_s1_A	atoll	1	A	573	1	5	0	3	0.0	2	5	5	3	27	2	2	4	4	3	3	2	4	4	6	9	4	23	40	120	107	120	260	16	220	360	40	470	610	2010	1940	2	1	4	0	1	3	3	2	1	4	4	1	3	3	3	1	4	4	1	3	3	3	1	4	4	1	3	3	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	5	2	2	0	2	2	2	0	2	2	2	0	2	36	36	3	0	1.89	5	6	1614	0.7373	0.0446	6	8	8	3	2	0.6	1	22	5	0.227	2	2	6	6	6	6	6	0	34	1	5	5	5	118	9	22	11	0	builder_attack	theirs	25	1	2	2	9	8	419	0.731	0.733	727	2	9	564	0.984	6	3	309	1	1	0	0	428	318	2	3	0	0	2	2	1	0.5	428	0	186	89	0	199	0	20	-1	500	500	62	0	436	1	573	Core destroyed
parent_atoll_s1_B	atoll	1	B	190	1	7	0	3	1.061	3	5	2	3	22	2	4	4	3	2	2	3	4	12	4	9	3	87	120	130	116	260	280	64	460	480	29	920	920	920	920	2	2	4	2	1	3	2	4	2	4	2	1	3	2	4	2	4	2	1	3	2	4	2	4	2	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	2	2	0	2	2	2	0	2	2	2	0	2	21	21	2	0	1.774	7	5	191	0.3351	0.0419	6	8	8	5	4	0.714	1	22	5	0.227	2	2	9	0	6	5	9	0	59	2	5	4	4	17	11	10	13	1	sentinel	theirs	22	1	2	2	8	8	61	0.321	0.321	73	2	11	179	0.942	6	5	18	4	0	0	0	86	21	4	1	0	0	4	1	4	1.0	86	0	117	0	0	31	0	0	14	432	482	135	0	356	1	190	Core destroyed
flagoff_atoll_s1_B	atoll	1	B	208	0	5	0	3	1.061	3	5	2	3	22	3	4	4	2	3	3	3	8	21	12	6	6	18	120	120	11	260	270	14	360	470	12	360	970	360	1010	3	2	4	3	1	3	2	4	2	4	7	1	3	2	4	0	1	8	1	3	1	4	0	1	8	1	3	1	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	0	7	7	0	0	7	7	0	0	24	24	7	0	5.683	5	6	622	0.3875	0.0466	6	8	8	3	2	0.6	0	22	5	0.227	2	2	6	78	6	6	6	0	35	3	5	5	2	9	9	8	12	0	builder_attack	theirs	25	1	2	2	9	8	87	0.418	0.476	97	2	9	199	0.957	9	3	14	2	0	0	0	131	22	2	1	0	0	2	2	1	0.5	131	0	38	55	22	4	98	3	153	0	500	-1	500	500	0	208	Core destroyed
v530_atoll_s1_B	atoll	1	B	533	0	11	0	3	1.061	3	5	5	3	22	2	3	3	3	3	3	2	3	15	10	13	7	79	40	130	26	110	270	44	210	470	109	510	940	1340	1770	2	1	3	3	1	3	2	3	1	3	6	1	3	2	3	1	3	5	1	3	2	3	1	9	5	1	3	3	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	6	6	0	0	5	5	0	1	5	5	0	0	25	25	6	0	4.135	11	5	1774	0.8799	0.1088	6	8	8	5	4	0.455	4	22	5	0.227	2	2	7	8	6	4	7	0	49	3	5	4	2	11	9	5	14	1	sentinel	theirs	19	3	2	2	8	8	381	0.715	0.728	522	2	9	524	0.983	8	5	11	2	0	0	0	27	19	2	3	0	0	2	1	2	1.0	27	0	227	48	0	7	22	10	91	0	364	-1	500	500	0	533	Core destroyed
v531fix_atoll_s1_B	atoll	1	B	152	0	5	0	3	1.061	3	5	5	3	22	1	1	1	4	3	4	2	3	3	11	6	7	25	0	120	12	0	360	11	0	810	18	0	1580	0	1580	1	0	3	3	1	3	2	1	0	3	6	1	3	2	1	0	1	7	1	3	1	1	0	1	7	1	3	1	2	2	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	3	5	5	0	1	6	6	0	0	6	6	0	0	22	22	6	0	4.316	5	6	430	0.7395	0.0628	6	8	8	2	2	0.4	2	22	5	0.227	2	2	6	11	6	6	6	0	32	2	5	5	3	15	9	13	13	1	sentinel	theirs	19	3	2	2	9	8	103	0.678	0.684	132	2	9	143	0.941	6	2	31	1	1	0	0	112	39	2	0	0	0	2	2	1	0.5	112	0	51	56	10	0	36	6	77	0	2	-1	500	500	0	152	Core destroyed
parent_atoll_s2_A	atoll	2	A	167	1	5	0	3	0.0	2	5	2	3	27	2	3	3	3	3	3	3	4	13	10	7	2	53	120	40	69	270	40	16	370	40	14	530	40	530	40	2	2	4	2	1	3	2	3	1	3	7	1	3	2	3	1	3	7	1	3	2	3	1	3	7	1	3	2	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	6	6	0	0	6	6	0	0	6	6	0	0	20	20	6	0	4.707	5	6	415	0.3373	0.0675	6	8	8	4	2	0.8	0	22	5	0.227	2	2	5	1	6	5	5	0	29	2	5	5	3	8	9	8	14	0	builder_attack	theirs	24	1	2	3	10	8	127	0.76	0.772	139	2	11	156	0.934	7	4	38	2	0	0	0	137	23	2	2	0	0	2	2	1	0.5	137	0	8	0	15	53	0	10	-1	500	500	74	0	78	1	167	Core destroyed
flagoff_atoll_s2_A	atoll	2	A	220	0	12	0	3	0.0	2	5	2	3	27	3	4	4	6	3	4	3	10	16	10	10	4	23	120	100	47	360	250	40	630	450	156	1210	950	1360	1050	3	2	4	2	1	3	2	4	3	15	5	1	3	3	4	2	14	4	1	3	3	4	2	14	4	1	3	3	3	3	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	4	3	3	0	2	3	3	0	1	3	3	0	2	23	23	5	0	2.841	12	7	688	0.4448	0.0392	6	8	8	5	3	0.417	2	22	5	0.227	2	2	6	3	6	4	6	0	41	2	5	5	3	9	11	8	12	1	sentinel	theirs	21	1	2	2	8	8	87	0.395	0.395	99	2	11	209	0.95	5	5	13	3	0	0	0	87	22	3	2	0	0	3	3	1	0.333	87	0	69	0	60	16	38	10	121	0	346	-1	500	500	0	220	Core destroyed
