tag	map	seed	seat	rounds	won	spawn_n	spawn1_rnd	spawn4_rnd	spawn_fwd4	spawn_fwd_pos4	spawn_n30	harv1_rnd	harv1_dour	harv1_dtheir	harv_n30	harv_n60	harv_n	opp_harv1_rnd	opp_harv_n30	opp_harv_n60	conv1_rnd	conv_n30	conv_n60	opp_conv_n30	turret_n	opp_turret_n	ti_bank30	ti_coll30	opp_coll30	ti_bank60	ti_coll60	opp_coll60	ti_bank100	ti_coll100	opp_coll100	ti_bank200	ti_coll200	opp_coll200	ti_coll_end	opp_coll_end	harv_live30	harv_wired30	conv_good30	enemy_ourring30	conv_dmin30	harv_dmin30	conv_home30	harv_live60	harv_wired60	conv_good60	enemy_ourring60	conv_dmin60	harv_dmin60	conv_home60	harv_live100	harv_wired100	conv_good100	enemy_ourring100	conv_dmin100	harv_dmin100	conv_home100	harv_live150	harv_wired150	conv_good150	enemy_ourring150	conv_dmin150	harv_dmin150	conv_home150	head2_rnd	head1_rnd	head_dmin_ever	headadj_free_rnds	headadj_enemy_rnds	headadj_own_rnds	headadj_free_share	replan_rnds	replan_share	replan_dist	ringfree_rounds_after_head2	rounds_after_head2	ringfree_share_after_head2	homering_n	eseal30	ebar30	oseal30	free30	eseal60	ebar60	oseal60	free60	eseal100	ebar100	oseal100	free100	eseal150	ebar150	oseal150	free150	eseal_first	ebar_first	eseal_max	oseal_max	eseal_mean	bots_ours	bots_theirs	moves	rev_rate	choke_step_rate	dep_rnd	arr36_rnd	arr16_rnd	n_reach36	n_reach16	reach36_share	stall_bots	bfs_cc	route_steps	route_detour	arr16_hops	arr16_walks	throws_ours	throws_opp	throw1_rnd	throws_ours30	throw_fwd	throw_back	throw_gain	turret_dmin	turret1_rnd	turret_n30	turret_n_theirhalf	fwdbuild_n	fwdbuild1_rnd	fwdbuild_n100	fc_rnd	fc_victim_ours	fc_weapon	fc_basin	fc_dour	fc_dtheir	fc_pres0	fc_pres20	atring_first8	atring_first16	atring_rnds8	atring_share8	atring_share16	atring_bodyrnds	atring_peak	establish_first	establish_rnds	establish_share	establish_peak	raider_n	raider_life_med	kill_sentinel	kill_gunner	kill_builder_attack	kill_none	apron_death_med	apron_death_first	ourbot_deaths	oppbot_deaths	death_home	death_mid	death_apron	death_tiles	death_top1	death_conc	death_med_rnd	death_choke	our_recv_sent	our_recv_gun	our_recv_peck	opp_recv_sent	opp_recv_gun	opp_recv_peck	ourcore_firsthit	ourcore_min	ourcore_r150	oppcore_firsthit	oppcore_min	oppcore_r150	tape_ours_won	tape_turn	cond
parent_icefloe_s1_A	icefloe	1	A	479	0	11	0	3	1.388	4	5	6	6	22	2	2	4	15	1	1	7	8	8	11	13	8	10	0	10	52	0	70	37	0	70	64	0	70	0	600	2	0	0	4	2	6	0	2	0	0	4	2	6	0	3	0	0	4	2	6	0	4	0	0	4	2	6	0	16	-1	2	0	463	0	0.0	463	1.0	4.0	463	463	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	9	9	4	0	3.376	11	5	1336	0.0966	0.015	6	10	10	7	7	0.636	0	28	7	0.25	3	3	174	103	6	11	174	0	850	3	5	4	5	22	9	15	12	0	builder_attack	theirs	27	1	2	2	10	10	138	0.288	0.384	177	2	11	468	0.977	9	7	37	1	5	0	0	307	59	6	0	0	0	6	5	2	0.333	307	0	35	44	175	0	0	11	435	0	500	-1	500	500	0	479	Core destroyed
flagoff_icefloe_s1_A	icefloe	1	A	377	0	7	0	3	1.388	4	5	6	6	22	2	2	5	13	1	2	7	8	8	6	5	10	48	0	40	82	0	110	22	0	320	76	0	820	0	2210	2	0	0	4	2	6	0	2	0	0	4	2	6	0	3	0	0	4	2	6	0	3	0	0	4	2	6	0	16	-1	2	0	361	0	0.0	361	1.0	4.0	361	361	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	9	9	4	0	3.103	7	5	1019	0.1148	0.0383	6	10	10	3	3	0.429	0	28	7	0.25	3	3	97	5	6	10	97	0	535	5	5	3	2	58	9	21	12	0	builder_attack	theirs	27	1	2	2	10	10	308	0.817	0.817	453	2	11	260	0.69	4	3	191	1	1	0	0	300	201	2	0	0	0	2	2	1	0.5	300	0	31	227	170	0	0	79	349	0	500	-1	500	500	0	377	Core destroyed
v530_icefloe_s1_A	icefloe	1	A	404	1	10	0	3	1.388	4	5	203	7	22	0	0	6	16	1	2	7	6	14	9	16	6	8	0	0	8	0	80	49	0	170	70	0	310	1550	800	0	0	6	0	1	-1	1	0	0	11	0	1	-1	2	0	0	11	0	1	-1	2	0	0	11	0	1	-1	2	7	7	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	0	0	0	6	0	0	0	6	0	0	0	6	0	0	0	6	9	9	1	0	0.037	10	8	1415	0.4071	0.0106	6	10	10	5	5	0.5	0	28	7	0.25	3	3	101	210	6	12	100	0	556	2	5	5	7	26	9	15	13	0	builder_attack	theirs	27	1	2	2	10	10	199	0.493	0.53	275	2	11	393	0.973	9	5	118	3	1	0	0	342	129	4	1	0	0	4	3	2	0.5	342	0	13	25	196	39	0	40	-1	500	500	337	0	500	1	404	Core destroyed
v531fix_icefloe_s1_A	icefloe	1	A	184	1	5	0	3	1.388	4	5	9	7	22	1	1	2	12	2	2	10	6	6	13	8	5	15	40	40	33	110	100	72	210	100	26	420	100	420	100	1	1	6	1	1	7	1	1	1	6	0	1	7	1	2	1	6	0	1	7	1	2	1	6	0	1	7	1	20	24	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	1	1	0	5	0	0	0	6	0	0	0	6	0	0	0	6	9	9	1	0	0.125	5	5	733	0.5225	0.0191	6	10	10	2	2	0.4	1	28	7	0.25	3	3	31	122	6	12	31	0	170	2	5	5	5	20	9	17	13	0	builder_attack	theirs	27	1	2	2	10	10	157	0.853	0.946	260	2	11	173	0.94	13	2	149	0	1	0	0	159	159	1	1	0	0	1	1	1	1.0	159	0	0	12	81	33	0	42	-1	500	500	112	0	176	1	184	Core destroyed
parent_icefloe_s1_B	icefloe	1	B	239	0	4	0	3	1.458	4	4	8	6	22	3	4	4	10	2	2	9	8	11	13	4	7	57	0	20	44	0	120	48	0	300	68	0	800	0	980	3	0	0	5	2	6	0	4	0	0	5	2	6	0	4	0	0	5	2	6	0	4	0	0	5	2	6	0	14	90	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	3	4	4	0	3	4	4	0	3	4	4	0	2	10	10	5	0	3.971	4	5	449	0.1737	0.0022	6	10	10	2	2	0.5	0	28	7	0.25	3	3	52	52	6	10	52	0	281	2	5	4	2	24	9	7	12	0	builder_attack	theirs	27	1	2	2	10	10	229	0.958	0.958	396	2	11	228	0.954	5	2	186	1	0	0	0	196	196	1	0	0	0	1	1	1	1.0	196	0	93	5	74	0	0	44	115	0	308	-1	500	500	0	239	Core destroyed
flagoff_icefloe_s1_B	icefloe	1	B	120	0	4	0	3	1.458	4	4	8	6	22	3	4	4	10	2	3	9	8	11	14	4	7	57	0	60	45	0	180	55	0	460	86	0	610	0	610	3	0	0	5	2	6	0	4	0	0	5	2	6	0	4	0	4	5	1	6	1	0	0	0	0	-1	-1	0	14	90	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	4	4	0	3	4	4	0	3	4	4	0	2	-1	-1	-1	-1	10	10	4	0	3.483	4	5	229	0.2052	0.0	6	10	10	2	2	0.5	0	28	7	0.25	3	3	29	16	6	10	29	0	165	2	5	4	2	7	9	7	12	0	builder_attack	theirs	27	1	2	2	10	10	110	0.917	0.917	153	2	11	109	0.908	5	2	44	0	1	0	0	54	54	1	0	0	0	1	1	1	1.0	54	0	35	6	59	0	0	10	87	0	0	-1	500	500	0	120	Core destroyed
v530_icefloe_s1_B	icefloe	1	B	551	0	17	0	3	1.458	4	5	107	6	22	0	0	6	10	2	3	5	10	11	12	32	19	5	0	0	37	0	90	103	0	270	88	680	1060	4700	8440	0	0	6	2	1	-1	1	0	0	6	1	1	-1	1	0	0	6	1	1	-1	1	5	3	13	1	1	6	2	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	2	2	0	5	1	1	0	6	1	1	0	6	1	1	0	5	10	10	2	0	1.151	17	18	2043	0.2932	0.022	6	10	10	12	12	0.706	0	28	7	0.25	3	3	118	88	6	8	116	0	449	2	5	5	13	22	9	9	11	1	builder_attack	ours	1	27	2	2	10	10	198	0.359	0.403	277	2	11	363	0.659	5	12	6	12	0	0	0	343	106	12	8	0	0	12	8	3	0.25	343	0	103	1	208	47	244	82	479	0	500	189	374	500	0	551	Core destroyed
v531fix_icefloe_s1_B	icefloe	1	B	311	0	6	0	3	1.458	4	5	9	6	22	1	1	7	10	2	2	5	13	14	11	8	8	5	40	20	20	110	70	46	210	170	52	460	460	1210	1700	1	1	11	3	1	6	2	1	1	11	3	1	6	2	1	1	11	3	1	6	2	1	1	11	3	1	6	2	5	5	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	3	3	0	3	2	2	0	4	2	2	0	4	2	2	0	4	10	10	4	0	1.994	6	6	934	0.6456	0.0096	6	10	10	3	3	0.5	0	28	7	0.25	3	3	24	78	6	7	24	0	155	2	5	5	3	9	9	7	11	1	builder_attack	ours	1	27	2	2	10	10	176	0.566	0.585	337	2	11	177	0.569	2	3	175	2	0	0	0	188	185	2	0	0	0	2	2	1	0.5	188	0	40	0	106	0	280	24	283	0	500	-1	500	500	0	311	Core destroyed
parent_icefloe_s2_A	icefloe	2	A	149	0	5	0	3	1.388	4	5	6	6	22	2	2	2	12	2	2	7	8	8	8	5	6	16	0	40	54	0	180	11	0	360	64	0	620	0	620	2	0	0	4	2	6	0	2	0	0	4	2	6	0	2	0	0	4	2	6	0	0	0	0	0	-1	-1	0	16	-1	2	0	133	0	0.0	133	1.0	3.46	133	133	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	-1	-1	-1	-1	9	9	3	0	2.523	5	6	561	0.3458	0.0232	6	10	10	2	2	0.4	0	28	7	0.25	3	3	37	32	6	11	37	0	226	2	5	4	2	9	9	9	12	0	builder_attack	theirs	27	1	2	2	10	10	139	0.933	0.933	241	2	11	138	0.926	6	2	-1	0	0	0	0	-1	-1	0	1	0	0	0	0	0	-1	-1	0	28	6	73	5	0	62	94	0	0	-1	500	500	0	149	Core destroyed
flagoff_icefloe_s2_A	icefloe	2	A	156	0	5	0	3	1.388	4	5	6	6	22	2	2	2	12	2	2	7	8	8	12	6	6	14	0	60	58	0	210	15	0	410	60	0	680	0	680	2	0	0	4	2	6	0	2	0	0	4	2	6	0	2	0	0	4	2	6	0	2	0	0	4	2	6	0	16	-1	2	0	140	0	0.0	140	1.0	4.0	140	140	1.0	8	3	3	0	4	3	3	0	4	3	3	0	4	3	3	0	4	9	9	3	0	2.782	5	5	580	0.2914	0.0155	6	10	10	2	2	0.4	0	28	7	0.25	3	3	47	47	6	11	47	0	258	2	5	4	4	15	9	13	12	0	builder_attack	theirs	27	1	2	2	10	10	142	0.91	0.936	232	2	11	145	0.929	6	2	-1	0	0	0	0	-1	-1	0	0	0	0	0	0	0	-1	-1	0	28	17	135	0	0	76	101	0	50	-1	500	500	0	156	Core destroyed
