tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v530_atoll_s1_A	atoll	1	A	v530	US	_v530home	Core destroyed	264	0	1080	830
parent_atoll_s1_A	atoll	1	A	parent	US	parent_arm	Core destroyed	501	0	2400	2450
flagoff_atoll_s1_A	atoll	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	880	0	2360	4360
nomouth_atoll_s1_A	atoll	1	A	nomouth	US	nomouth	Core destroyed	224	0	1070	100
nocorner_atoll_s1_A	atoll	1	A	nocorner	OPP	_v488beltbreak2	Core destroyed	181	0	220	1600
nodoor_atoll_s1_A	atoll	1	A	nodoor	OPP	_v488beltbreak2	Core destroyed	509	0	2370	3550
ring_atoll_s1_A	atoll	1	A	ring	US	ring	Core destroyed	764	0	1850	480
v530_atoll_s1_B	atoll	1	B	v530	OPP	_v488beltbreak2	Core destroyed	157	0	0	1120
parent_atoll_s1_B	atoll	1	B	parent	US	parent_arm	Core destroyed	223	0	730	650
flagoff_atoll_s1_B	atoll	1	B	flagoff	OPP	_v488beltbreak2	Core destroyed	395	0	2160	4580
nomouth_atoll_s1_B	atoll	1	B	nomouth	US	nomouth	Core destroyed	179	0	860	370
nocorner_atoll_s1_B	atoll	1	B	nocorner	US	nocorner	Core destroyed	801	0	5620	3580
nodoor_atoll_s1_B	atoll	1	B	nodoor	OPP	_v488beltbreak2	Core destroyed	365	0	0	1800
ring_atoll_s1_B	atoll	1	B	ring	OPP	_v488beltbreak2	Core destroyed	447	0	1100	2200
v530_atoll_s2_A	atoll	2	A	v530	OPP	_v488beltbreak2	Core destroyed	534	0	1880	2970
parent_atoll_s2_A	atoll	2	A	parent	US	parent_arm	Core destroyed	287	0	2340	2050
flagoff_atoll_s2_A	atoll	2	A	flagoff	OPP	_v488beltbreak2	Core destroyed	230	0	1110	2020
nomouth_atoll_s2_A	atoll	2	A	nomouth	OPP	_v488beltbreak2	Core destroyed	157	0	110	1680
nocorner_atoll_s2_A	atoll	2	A	nocorner	US	nocorner	Core destroyed	318	0	970	520
nodoor_atoll_s2_A	atoll	2	A	nodoor	US	nodoor	Core destroyed	670	0	6110	4470
ring_atoll_s2_A	atoll	2	A	ring	OPP	_v488beltbreak2	Core destroyed	602	0	3410	4650
v530_atoll_s2_B	atoll	2	B	v530	US	_v530home	Core destroyed	382	0	1670	730
parent_atoll_s2_B	atoll	2	B	parent	US	parent_arm	Core destroyed	191	0	920	500
flagoff_atoll_s2_B	atoll	2	B	flagoff	US	flagoff_arm	Core destroyed	142	0	680	380
nomouth_atoll_s2_B	atoll	2	B	nomouth	US	nomouth	Core destroyed	119	0	560	380
nocorner_atoll_s2_B	atoll	2	B	nocorner	US	nocorner	Core destroyed	297	0	1450	480
nodoor_atoll_s2_B	atoll	2	B	nodoor	OPP	_v488beltbreak2	Core destroyed	434	0	0	2140
ring_atoll_s2_B	atoll	2	B	ring	OPP	_v488beltbreak2	Core destroyed	284	0	150	1380
v530_drakkarfjord_s1_A	drakkarfjord	1	A	v530	US	_v530home	Core destroyed	600	0	1150	0
parent_drakkarfjord_s1_A	drakkarfjord	1	A	parent	US	parent_arm	Core destroyed	115	0	340	0
flagoff_drakkarfjord_s1_A	drakkarfjord	1	A	flagoff	US	flagoff_arm	Core destroyed	185	0	310	0
nomouth_drakkarfjord_s1_A	drakkarfjord	1	A	nomouth	US	nomouth	Core destroyed	137	0	620	0
nocorner_drakkarfjord_s1_A	drakkarfjord	1	A	nocorner	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	80	360
nodoor_drakkarfjord_s1_A	drakkarfjord	1	A	nodoor	US	nodoor	Core destroyed	301	0	0	0
ring_drakkarfjord_s1_A	drakkarfjord	1	A	ring	OPP	_v488beltbreak2	Core destroyed	721	0	0	0
v530_drakkarfjord_s1_B	drakkarfjord	1	B	v530	US	_v530home	Titanium collected (tiebreak)	1000	0	10	0
parent_drakkarfjord_s1_B	drakkarfjord	1	B	parent	US	parent_arm	Core destroyed	121	0	320	0
flagoff_drakkarfjord_s1_B	drakkarfjord	1	B	flagoff	US	flagoff_arm	Core destroyed	98	0	320	0
nomouth_drakkarfjord_s1_B	drakkarfjord	1	B	nomouth	US	nomouth	Core destroyed	97	0	340	0
nocorner_drakkarfjord_s1_B	drakkarfjord	1	B	nocorner	US	nocorner	Core destroyed	625	0	0	0
nodoor_drakkarfjord_s1_B	drakkarfjord	1	B	nodoor	US	nodoor	Core destroyed	257	0	340	0
ring_drakkarfjord_s1_B	drakkarfjord	1	B	ring	US	ring	Titanium collected (tiebreak)	1000	0	4280	0
v530_drakkarfjord_s2_A	drakkarfjord	2	A	v530	US	_v530home	Core destroyed	691	0	1260	0
parent_drakkarfjord_s2_A	drakkarfjord	2	A	parent	US	parent_arm	Core destroyed	92	0	330	0
flagoff_drakkarfjord_s2_A	drakkarfjord	2	A	flagoff	US	flagoff_arm	Core destroyed	92	0	340	0
nomouth_drakkarfjord_s2_A	drakkarfjord	2	A	nomouth	US	nomouth	Core destroyed	93	0	240	0
nocorner_drakkarfjord_s2_A	drakkarfjord	2	A	nocorner	US	nocorner	Core destroyed	297	0	0	0
nodoor_drakkarfjord_s2_A	drakkarfjord	2	A	nodoor	OPP	_v488beltbreak2	Core destroyed	406	0	0	3270
ring_drakkarfjord_s2_A	drakkarfjord	2	A	ring	OPP	_v488beltbreak2	Core destroyed	900	0	0	990
v530_drakkarfjord_s2_B	drakkarfjord	2	B	v530	US	_v530home	Titanium collected (tiebreak)	1000	0	2820	0
parent_drakkarfjord_s2_B	drakkarfjord	2	B	parent	US	parent_arm	Core destroyed	276	0	2960	0
flagoff_drakkarfjord_s2_B	drakkarfjord	2	B	flagoff	US	flagoff_arm	Core destroyed	127	0	330	0
nomouth_drakkarfjord_s2_B	drakkarfjord	2	B	nomouth	US	nomouth	Core destroyed	149	0	500	0
nocorner_drakkarfjord_s2_B	drakkarfjord	2	B	nocorner	US	nocorner	Core destroyed	373	0	0	240
nodoor_drakkarfjord_s2_B	drakkarfjord	2	B	nodoor	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
ring_drakkarfjord_s2_B	drakkarfjord	2	B	ring	US	ring	Core destroyed	337	0	770	0
v530_glacierkeep_s1_A	glacierkeep	1	A	v530	US	_v530home	Core destroyed	233	0	0	0
parent_glacierkeep_s1_A	glacierkeep	1	A	parent	US	parent_arm	Core destroyed	120	0	470	0
flagoff_glacierkeep_s1_A	glacierkeep	1	A	flagoff	US	flagoff_arm	Core destroyed	196	0	490	140
nomouth_glacierkeep_s1_A	glacierkeep	1	A	nomouth	US	nomouth	Core destroyed	201	0	180	0
nocorner_glacierkeep_s1_A	glacierkeep	1	A	nocorner	US	nocorner	Core destroyed	654	0	3270	0
nodoor_glacierkeep_s1_A	glacierkeep	1	A	nodoor	OPP	_v488beltbreak2	Core destroyed	484	0	0	2770
ring_glacierkeep_s1_A	glacierkeep	1	A	ring	US	ring	Core destroyed	213	0	0	0
v530_glacierkeep_s1_B	glacierkeep	1	B	v530	US	_v530home	Core destroyed	415	0	1870	0
parent_glacierkeep_s1_B	glacierkeep	1	B	parent	US	parent_arm	Core destroyed	271	0	610	0
flagoff_glacierkeep_s1_B	glacierkeep	1	B	flagoff	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	140	970
nomouth_glacierkeep_s1_B	glacierkeep	1	B	nomouth	US	nomouth	Core destroyed	289	0	150	0
nocorner_glacierkeep_s1_B	glacierkeep	1	B	nocorner	US	nocorner	Core destroyed	358	0	910	0
nodoor_glacierkeep_s1_B	glacierkeep	1	B	nodoor	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
ring_glacierkeep_s1_B	glacierkeep	1	B	ring	US	ring	Core destroyed	229	0	380	0
v530_glacierkeep_s2_A	glacierkeep	2	A	v530	OPP	_v488beltbreak2	Core destroyed	538	0	20	3520
parent_glacierkeep_s2_A	glacierkeep	2	A	parent	US	parent_arm	Core destroyed	119	0	380	0
flagoff_glacierkeep_s2_A	glacierkeep	2	A	flagoff	US	flagoff_arm	Core destroyed	165	0	280	0
nomouth_glacierkeep_s2_A	glacierkeep	2	A	nomouth	US	nomouth	Core destroyed	190	0	220	150
nocorner_glacierkeep_s2_A	glacierkeep	2	A	nocorner	US	nocorner	Core destroyed	583	0	2620	0
nodoor_glacierkeep_s2_A	glacierkeep	2	A	nodoor	US	nodoor	Core destroyed	173	0	0	0
ring_glacierkeep_s2_A	glacierkeep	2	A	ring	US	ring	Core destroyed	329	0	0	0
v530_glacierkeep_s2_B	glacierkeep	2	B	v530	US	_v530home	Core destroyed	273	0	60	0
parent_glacierkeep_s2_B	glacierkeep	2	B	parent	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	0	0
flagoff_glacierkeep_s2_B	glacierkeep	2	B	flagoff	US	flagoff_arm	Core destroyed	245	0	0	0
nomouth_glacierkeep_s2_B	glacierkeep	2	B	nomouth	US	nomouth	Core destroyed	181	0	70	0
nocorner_glacierkeep_s2_B	glacierkeep	2	B	nocorner	US	nocorner	Core destroyed	821	0	0	0
nodoor_glacierkeep_s2_B	glacierkeep	2	B	nodoor	US	nodoor	Core destroyed	714	0	1590	0
ring_glacierkeep_s2_B	glacierkeep	2	B	ring	US	ring	Core destroyed	560	0	1340	0
v530_nordkap_s1_A	nordkap	1	A	v530	OPP	_v488beltbreak2	Harvesters (tiebreak)	1000	0	60	60
parent_nordkap_s1_A	nordkap	1	A	parent	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	0	2410
flagoff_nordkap_s1_A	nordkap	1	A	flagoff	OPP	_v488beltbreak2	Core destroyed	611	0	2350	4460
nomouth_nordkap_s1_A	nordkap	1	A	nomouth	US	nomouth	Core destroyed	280	0	2380	70
nocorner_nordkap_s1_A	nordkap	1	A	nocorner	OPP	_v488beltbreak2	Core destroyed	626	0	3380	4950
nodoor_nordkap_s1_A	nordkap	1	A	nodoor	OPP	_v488beltbreak2	Core destroyed	925	0	90	1390
ring_nordkap_s1_A	nordkap	1	A	ring	US	ring	Core destroyed	169	0	400	0
v530_nordkap_s1_B	nordkap	1	B	v530	OPP	_v488beltbreak2	Core destroyed	373	0	100	760
parent_nordkap_s1_B	nordkap	1	B	parent	US	parent_arm	Core destroyed	385	0	940	90
flagoff_nordkap_s1_B	nordkap	1	B	flagoff	US	flagoff_arm	Titanium collected (tiebreak)	1000	0	130	120
nomouth_nordkap_s1_B	nordkap	1	B	nomouth	OPP	_v488beltbreak2	Core destroyed	121	0	80	540
nocorner_nordkap_s1_B	nordkap	1	B	nocorner	OPP	_v488beltbreak2	Core destroyed	321	0	70	1560
nodoor_nordkap_s1_B	nordkap	1	B	nodoor	OPP	_v488beltbreak2	Core destroyed	194	0	460	1570
ring_nordkap_s1_B	nordkap	1	B	ring	US	ring	Core destroyed	545	0	110	170
v530_nordkap_s2_A	nordkap	2	A	v530	OPP	_v488beltbreak2	Core destroyed	358	0	180	2700
parent_nordkap_s2_A	nordkap	2	A	parent	US	parent_arm	Core destroyed	108	0	250	0
flagoff_nordkap_s2_A	nordkap	2	A	flagoff	US	flagoff_arm	Core destroyed	108	0	250	0
nomouth_nordkap_s2_A	nordkap	2	A	nomouth	US	nomouth	Core destroyed	230	0	700	70
nocorner_nordkap_s2_A	nordkap	2	A	nocorner	US	nocorner	Core destroyed	557	0	250	80
nodoor_nordkap_s2_A	nordkap	2	A	nodoor	US	nodoor	Core destroyed	219	0	750	50
ring_nordkap_s2_A	nordkap	2	A	ring	US	ring	Core destroyed	213	0	110	90
v530_nordkap_s2_B	nordkap	2	B	v530	US	_v530home	Core destroyed	128	0	430	140
parent_nordkap_s2_B	nordkap	2	B	parent	US	parent_arm	Core destroyed	472	0	1160	1370
flagoff_nordkap_s2_B	nordkap	2	B	flagoff	US	flagoff_arm	Core destroyed	185	0	130	220
nomouth_nordkap_s2_B	nordkap	2	B	nomouth	US	nomouth	Core destroyed	144	0	490	40
nocorner_nordkap_s2_B	nordkap	2	B	nocorner	US	nocorner	Core destroyed	322	0	2150	140
nodoor_nordkap_s2_B	nordkap	2	B	nodoor	OPP	_v488beltbreak2	Core destroyed	229	0	110	1230
ring_nordkap_s2_B	nordkap	2	B	ring	OPP	_v488beltbreak2	Core destroyed	394	0	50	2760
v530_yulerune_s1_A	yulerune	1	A	v530	OPP	_v488beltbreak2	Titanium collected (tiebreak)	1000	0	150	1050
parent_yulerune_s1_A	yulerune	1	A	parent	US	parent_arm	Core destroyed	100	0	290	0
