tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
midgard_s41_A	midgard	41	A	US	_v522floor	Core destroyed	220	0	2740	720
midgard_s41_B	midgard	41	B	US	_v522floor	Core destroyed	188	0	1720	960
midgard_s42_A	midgard	42	A	OPP	_x3r0v161gungnir	Core destroyed	286	0	460	2910
midgard_s42_B	midgard	42	B	OPP	_x3r0v161gungnir	Core destroyed	196	0	1710	1850
midgard_s43_A	midgard	43	A	US	_v522floor	Core destroyed	490	0	6220	3670
midgard_s43_B	midgard	43	B	US	_v522floor	Core destroyed	463	0	4320	2000
yulerune_s41_A	yulerune	41	A	OPP	_x3r0v161gungnir	Core destroyed	255	0	1570	1700
yulerune_s41_B	yulerune	41	B	OPP	_x3r0v161gungnir	Core destroyed	130	0	0	1170
yulerune_s42_A	yulerune	42	A	US	_v522floor	Core destroyed	410	0	1010	1240
yulerune_s42_B	yulerune	42	B	OPP	_x3r0v161gungnir	Core destroyed	371	0	1540	2320
yulerune_s43_A	yulerune	43	A	OPP	_x3r0v161gungnir	Core destroyed	407	0	0	1710
yulerune_s43_B	yulerune	43	B	OPP	_x3r0v161gungnir	Core destroyed	239	0	70	2370
