tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
archipelago_s1_A	archipelago	1	A	OPP	opp_off	Core destroyed	205	0	1420	1460
archipelago_s1_B	archipelago	1	B	OPP	opp_off	Core destroyed	282	0	1350	2060
archipelago_s2_A	archipelago	2	A	OPP	opp_off	Core destroyed	205	0	1420	1460
archipelago_s2_B	archipelago	2	B	OPP	opp_off	Core destroyed	282	0	1350	2060
midgard_s1_A	midgard	1	A	US	par_off	Core destroyed	333	0	590	870
midgard_s1_B	midgard	1	B	OPP	opp_off	Titanium collected (tiebreak)	1000	0	880	2830
midgard_s2_A	midgard	2	A	US	par_off	Core destroyed	333	0	590	870
midgard_s2_B	midgard	2	B	OPP	opp_off	Titanium collected (tiebreak)	1000	0	880	2830
nordkap_s1_A	nordkap	1	A	US	par_off	Core destroyed	224	0	680	140
nordkap_s1_B	nordkap	1	B	OPP	opp_off	Core destroyed	139	0	240	730
nordkap_s2_A	nordkap	2	A	US	par_off	Core destroyed	224	0	680	140
nordkap_s2_B	nordkap	2	B	OPP	opp_off	Core destroyed	139	0	240	730
drakkarfjord_s1_A	drakkarfjord	1	A	US	par_off	Core destroyed	89	0	340	0
drakkarfjord_s1_B	drakkarfjord	1	B	US	par_off	Core destroyed	599	0	1500	0
drakkarfjord_s2_A	drakkarfjord	2	A	US	par_off	Core destroyed	89	0	340	0
drakkarfjord_s2_B	drakkarfjord	2	B	US	par_off	Core destroyed	599	0	1500	0
glacierkeep_s1_A	glacierkeep	1	A	US	par_off	Core destroyed	99	0	180	0
glacierkeep_s1_B	glacierkeep	1	B	US	par_off	Titanium collected (tiebreak)	1000	0	220	0
glacierkeep_s2_A	glacierkeep	2	A	US	par_off	Core destroyed	99	0	180	0
glacierkeep_s2_B	glacierkeep	2	B	US	par_off	Titanium collected (tiebreak)	1000	0	220	0
ragnarok_s1_A	ragnarok	1	A	OPP	opp_off	Core destroyed	333	0	810	3400
ragnarok_s1_B	ragnarok	1	B	OPP	opp_off	Titanium collected (tiebreak)	1000	0	2590	8450
ragnarok_s2_A	ragnarok	2	A	OPP	opp_off	Core destroyed	333	0	810	3400
