tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
v536trust_midgard_s1_A	midgard	1	A	v536trust	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	11210	11270
v537socket_midgard_s1_A	midgard	1	A	v537socket	US	_v537socket	Core destroyed	307	0	1250	830
v538refine_midgard_s1_A	midgard	1	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	93	0	290	520
v536trust_midgard_s1_B	midgard	1	B	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	427	0	1630	2950
v537socket_midgard_s1_B	midgard	1	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	187	0	780	1310
v538refine_midgard_s1_B	midgard	1	B	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	187	0	690	1150
v536trust_midgard_s2_A	midgard	2	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	294	0	800	3580
v537socket_midgard_s2_A	midgard	2	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	210	0	1110	2130
v538refine_midgard_s2_A	midgard	2	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	126	0	530	870
v536trust_midgard_s2_B	midgard	2	B	v536trust	US	_v536trustport	Core destroyed	314	0	3130	730
v537socket_midgard_s2_B	midgard	2	B	v537socket	US	_v537socket	Core destroyed	160	0	1380	880
v538refine_midgard_s2_B	midgard	2	B	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	179	0	1040	1190
v536trust_midgard_s3_A	midgard	3	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	326	0	1450	2940
v537socket_midgard_s3_A	midgard	3	A	v537socket	US	_v537socket	Core destroyed	350	0	3270	1150
v538refine_midgard_s3_A	midgard	3	A	v538refine	US	_v538refine	Core destroyed	294	0	2830	880
v536trust_midgard_s3_B	midgard	3	B	v536trust	US	_v536trustport	Core destroyed	284	0	2820	1510
v537socket_midgard_s3_B	midgard	3	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	493	0	3510	3330
v538refine_midgard_s3_B	midgard	3	B	v538refine	US	_v538refine	Core destroyed	183	0	2300	1170
v536trust_midgard_s4_A	midgard	4	A	v536trust	US	_v536trustport	Core destroyed	803	0	6330	1310
v537socket_midgard_s4_A	midgard	4	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	120	0	730	1050
v538refine_midgard_s4_A	midgard	4	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	366	0	1790	5100
v536trust_midgard_s4_B	midgard	4	B	v536trust	US	_v536trustport	Core destroyed	358	0	2800	740
v537socket_midgard_s4_B	midgard	4	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	377	0	3370	3480
v538refine_midgard_s4_B	midgard	4	B	v538refine	US	_v538refine	Core destroyed	493	0	2940	810
v536trust_midgard_s5_A	midgard	5	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	354	0	3790	2380
v537socket_midgard_s5_A	midgard	5	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	161	0	810	860
v538refine_midgard_s5_A	midgard	5	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	203	0	930	1470
v536trust_midgard_s5_B	midgard	5	B	v536trust	US	_v536trustport	Core destroyed	598	0	4820	3050
v537socket_midgard_s5_B	midgard	5	B	v537socket	US	_v537socket	Core destroyed	205	0	1480	620
v538refine_midgard_s5_B	midgard	5	B	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	354	0	300	2000
v536trust_midgard_s6_A	midgard	6	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	427	0	1840	2980
v537socket_midgard_s6_A	midgard	6	A	v537socket	US	_v537socket	Core destroyed	288	0	2860	1180
v538refine_midgard_s6_A	midgard	6	A	v538refine	US	_v538refine	Core destroyed	294	0	2830	880
v536trust_midgard_s6_B	midgard	6	B	v536trust	US	_v536trustport	Core destroyed	236	0	2440	1240
v537socket_midgard_s6_B	midgard	6	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	881	0	4740	7030
v538refine_midgard_s6_B	midgard	6	B	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	334	0	2310	2410
v536trust_midgard_s7_A	midgard	7	A	v536trust	US	_v536trustport	Core destroyed	298	0	2080	1600
v537socket_midgard_s7_A	midgard	7	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	291	0	1760	3350
v538refine_midgard_s7_A	midgard	7	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	319	0	610	3530
v536trust_midgard_s7_B	midgard	7	B	v536trust	US	_v536trustport	Core destroyed	166	0	1310	920
v537socket_midgard_s7_B	midgard	7	B	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	189	0	790	1360
v538refine_midgard_s7_B	midgard	7	B	v538refine	US	_v538refine	Core destroyed	314	0	2550	580
v536trust_midgard_s8_A	midgard	8	A	v536trust	US	_v536trustport	Core destroyed	185	0	1900	530
v537socket_midgard_s8_A	midgard	8	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	118	0	690	1090
v538refine_midgard_s8_A	midgard	8	A	v538refine	US	_v538refine	Titanium collected (tiebreak)	1000	0	15980	13100
v536trust_midgard_s8_B	midgard	8	B	v536trust	US	_v536trustport	Core destroyed	215	0	1910	1090
v537socket_midgard_s8_B	midgard	8	B	v537socket	US	_v537socket	Core destroyed	170	0	1720	640
v538refine_midgard_s8_B	midgard	8	B	v538refine	US	_v538refine	Core destroyed	173	0	1960	450
v536trust_midgard_s9_A	midgard	9	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	139	0	650	1400
v537socket_midgard_s9_A	midgard	9	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	316	0	2380	2490
v538refine_midgard_s9_A	midgard	9	A	v538refine	OPP	_x3r0v169mjolnir	Core destroyed	281	0	720	1150
v536trust_midgard_s9_B	midgard	9	B	v536trust	US	_v536trustport	Core destroyed	232	0	1700	390
v537socket_midgard_s9_B	midgard	9	B	v537socket	US	_v537socket	Core destroyed	160	0	1380	880
v538refine_midgard_s9_B	midgard	9	B	v538refine	US	_v538refine	Core destroyed	229	0	2490	1210
v536trust_midgard_s10_A	midgard	10	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	455	0	2110	2970
v537socket_midgard_s10_A	midgard	10	A	v537socket	OPP	_x3r0v169mjolnir	Core destroyed	349	0	2070	2630
v538refine_midgard_s10_A	midgard	10	A	v538refine	US	_v538refine	Core destroyed	137	0	1070	800
v536trust_midgard_s10_B	midgard	10	B	v536trust	US	_v536trustport	Core destroyed	191	0	1910	1010
v537socket_midgard_s10_B	midgard	10	B	v537socket	US	_v537socket	Core destroyed	186	0	1810	1020
v538refine_midgard_s10_B	midgard	10	B	v538refine	US	_v538refine	Core destroyed	244	0	2660	1520
v536trust_midgard_s11_A	midgard	11	A	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	93	0	290	520
v537socket_midgard_s11_A	midgard	11	A	v537socket	US	_v537socket	Core destroyed	139	0	1220	570
v538refine_midgard_s11_A	midgard	11	A	v538refine	US	_v538refine	Core destroyed	180	0	1580	1750
v536trust_midgard_s11_B	midgard	11	B	v536trust	OPP	_x3r0v169mjolnir	Core destroyed	181	0	1710	1580
v537socket_midgard_s11_B	midgard	11	B	v537socket	US	_v537socket	Core destroyed	147	0	1410	530
v538refine_midgard_s11_B	midgard	11	B	v538refine	US	_v538refine	Core destroyed	603	0	7800	6140
v536trust_midgard_s12_A	midgard	12	A	v536trust	US	_v536trustport	Core destroyed	603	0	4330	1440
v537socket_midgard_s12_A	midgard	12	A	v537socket	US	_v537socket	Core destroyed	282	0	3000	1290
