tag	map	seed	seat	arm	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
twinA_archipelago_s1_A	archipelago	1	A	twinA	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	12550	19040
twinB_archipelago_s1_A	archipelago	1	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	370	0	2250	2570
twinA_archipelago_s1_B	archipelago	1	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	234	0	570	3160
twinB_archipelago_s1_B	archipelago	1	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	184	0	810	2240
twinA_archipelago_s2_A	archipelago	2	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	540	0	6970	7100
twinB_archipelago_s2_A	archipelago	2	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	371	0	940	4470
twinA_archipelago_s2_B	archipelago	2	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	341	0	2250	3800
twinB_archipelago_s2_B	archipelago	2	B	twinB	OPP	_x3r0v169mjolnir	Titanium collected (tiebreak)	1000	0	2750	3520
twinA_archipelago_s3_A	archipelago	3	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	161	0	590	1110
twinB_archipelago_s3_A	archipelago	3	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	325	0	2030	3240
twinA_archipelago_s3_B	archipelago	3	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	177	0	700	1020
twinB_archipelago_s3_B	archipelago	3	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	166	0	330	1160
twinA_archipelago_s4_A	archipelago	4	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	192	0	490	1490
twinB_archipelago_s4_A	archipelago	4	A	twinB	US	twinB	Core destroyed	332	0	3030	3170
twinA_archipelago_s4_B	archipelago	4	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	188	0	200	1240
twinB_archipelago_s4_B	archipelago	4	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	193	0	780	1340
twinA_archipelago_s5_A	archipelago	5	A	twinA	US	twinA	Core destroyed	630	0	7300	5180
twinB_archipelago_s5_A	archipelago	5	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	127	0	330	1000
twinA_archipelago_s5_B	archipelago	5	B	twinA	OPP	_x3r0v169mjolnir	Core destroyed	144	0	610	1450
twinB_archipelago_s5_B	archipelago	5	B	twinB	OPP	_x3r0v169mjolnir	Core destroyed	326	0	590	1410
twinA_yulerune_s1_A	yulerune	1	A	twinA	OPP	_x3r0v169mjolnir	Core destroyed	327	0	290	770
twinB_yulerune_s1_A	yulerune	1	A	twinB	OPP	_x3r0v169mjolnir	Core destroyed	239	0	330	1810
