tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s7_A	atoll	7	A	US	v541flagoff	Core destroyed	125	0	710	250
atoll_s7_B	atoll	7	B	US	v541flagoff	Core destroyed	464	0	2200	210
atoll_s8_A	atoll	8	A	US	v541flagoff	Core destroyed	125	0	710	250
atoll_s8_B	atoll	8	B	US	v541flagoff	Core destroyed	464	0	2200	210
atoll_s9_A	atoll	9	A	US	v541flagoff	Core destroyed	125	0	710	250
atoll_s9_B	atoll	9	B	US	v541flagoff	Core destroyed	464	0	2200	210
drakkarfjord_s7_A	drakkarfjord	7	A	US	v541flagoff	Core destroyed	92	0	280	0
drakkarfjord_s7_B	drakkarfjord	7	B	US	v541flagoff	Core destroyed	97	0	280	0
drakkarfjord_s8_A	drakkarfjord	8	A	US	v541flagoff	Core destroyed	92	0	280	0
drakkarfjord_s8_B	drakkarfjord	8	B	US	v541flagoff	Core destroyed	97	0	280	0
drakkarfjord_s9_A	drakkarfjord	9	A	US	v541flagoff	Core destroyed	92	0	280	0
drakkarfjord_s9_B	drakkarfjord	9	B	US	v541flagoff	Core destroyed	97	0	280	0
glacierkeep_s7_A	glacierkeep	7	A	US	v541flagoff	Core destroyed	121	0	200	0
glacierkeep_s7_B	glacierkeep	7	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s8_A	glacierkeep	8	A	US	v541flagoff	Core destroyed	121	0	200	0
glacierkeep_s8_B	glacierkeep	8	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s9_A	glacierkeep	9	A	US	v541flagoff	Core destroyed	121	0	200	0
glacierkeep_s9_B	glacierkeep	9	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
midgard_s7_A	midgard	7	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s7_B	midgard	7	B	US	v541flagoff	Core destroyed	270	0	2050	1600
midgard_s8_A	midgard	8	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s8_B	midgard	8	B	US	v541flagoff	Core destroyed	270	0	2050	1600
midgard_s9_A	midgard	9	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s9_B	midgard	9	B	US	v541flagoff	Core destroyed	270	0	2050	1600
nordkap_s7_A	nordkap	7	A	US	v541flagoff	Core destroyed	191	0	560	100
nordkap_s7_B	nordkap	7	B	US	v541flagoff	Core destroyed	122	0	390	80
nordkap_s8_A	nordkap	8	A	US	v541flagoff	Core destroyed	191	0	560	100
nordkap_s8_B	nordkap	8	B	US	v541flagoff	Core destroyed	122	0	390	80
nordkap_s9_A	nordkap	9	A	US	v541flagoff	Core destroyed	191	0	560	100
nordkap_s9_B	nordkap	9	B	US	v541flagoff	Core destroyed	122	0	390	80
