tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s13_A	atoll	13	A	US	v541	Core destroyed	125	0	710	250
atoll_s13_B	atoll	13	B	US	v541	Core destroyed	464	0	2200	210
atoll_s14_A	atoll	14	A	US	v541	Core destroyed	125	0	710	250
atoll_s14_B	atoll	14	B	US	v541	Core destroyed	464	0	2200	210
atoll_s15_A	atoll	15	A	US	v541	Core destroyed	125	0	710	250
atoll_s15_B	atoll	15	B	US	v541	Core destroyed	464	0	2200	210
drakkarfjord_s13_A	drakkarfjord	13	A	US	v541	Core destroyed	92	0	280	0
drakkarfjord_s13_B	drakkarfjord	13	B	US	v541	Core destroyed	97	0	280	0
drakkarfjord_s14_A	drakkarfjord	14	A	US	v541	Core destroyed	92	0	280	0
drakkarfjord_s14_B	drakkarfjord	14	B	US	v541	Core destroyed	97	0	280	0
drakkarfjord_s15_A	drakkarfjord	15	A	US	v541	Core destroyed	92	0	280	0
drakkarfjord_s15_B	drakkarfjord	15	B	US	v541	Core destroyed	97	0	280	0
glacierkeep_s13_A	glacierkeep	13	A	US	v541	Core destroyed	121	0	200	0
glacierkeep_s13_B	glacierkeep	13	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s14_A	glacierkeep	14	A	US	v541	Core destroyed	121	0	200	0
glacierkeep_s14_B	glacierkeep	14	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
glacierkeep_s15_A	glacierkeep	15	A	US	v541	Core destroyed	121	0	200	0
glacierkeep_s15_B	glacierkeep	15	B	OPP	beltbreak2	Harvesters (tiebreak)	1000	0	0	0
midgard_s13_A	midgard	13	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s13_B	midgard	13	B	US	v541	Core destroyed	268	0	2030	1580
midgard_s14_A	midgard	14	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s14_B	midgard	14	B	US	v541	Core destroyed	268	0	2030	1580
midgard_s15_A	midgard	15	A	OPP	beltbreak2	Core destroyed	365	0	490	610
midgard_s15_B	midgard	15	B	US	v541	Core destroyed	268	0	2030	1580
nordkap_s13_A	nordkap	13	A	US	v541	Core destroyed	191	0	560	100
nordkap_s13_B	nordkap	13	B	US	v541	Core destroyed	122	0	390	80
nordkap_s14_A	nordkap	14	A	US	v541	Core destroyed	191	0	560	100
nordkap_s14_B	nordkap	14	B	US	v541	Core destroyed	122	0	390	80
nordkap_s15_A	nordkap	15	A	US	v541	Core destroyed	191	0	560	100
nordkap_s15_B	nordkap	15	B	US	v541	Core destroyed	122	0	390	80
