tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s10_A	atoll	10	A	OPP	_x3r0v173mjolnir	Core destroyed	256	0	630	1180
atoll_s10_B	atoll	10	B	OPP	_x3r0v173mjolnir	Core destroyed	167	0	430	340
atoll_s11_A	atoll	11	A	OPP	_x3r0v173mjolnir	Core destroyed	450	0	540	1230
atoll_s11_B	atoll	11	B	OPP	_x3r0v173mjolnir	Core destroyed	95	0	250	430
atoll_s12_A	atoll	12	A	OPP	_x3r0v173mjolnir	Core destroyed	499	0	1960	1890
atoll_s12_B	atoll	12	B	OPP	_x3r0v173mjolnir	Core destroyed	122	0	310	560
drakkarfjord_s10_A	drakkarfjord	10	A	US	parent	Core destroyed	149	0	640	0
drakkarfjord_s10_B	drakkarfjord	10	B	US	parent	Core destroyed	171	0	1000	0
drakkarfjord_s11_A	drakkarfjord	11	A	US	parent	Core destroyed	140	0	590	0
drakkarfjord_s11_B	drakkarfjord	11	B	US	parent	Core destroyed	405	0	2990	0
drakkarfjord_s12_A	drakkarfjord	12	A	OPP	_x3r0v173mjolnir	Core destroyed	329	0	1650	1120
drakkarfjord_s12_B	drakkarfjord	12	B	US	parent	Core destroyed	171	0	1000	0
glacierkeep_s10_A	glacierkeep	10	A	US	parent	Core destroyed	313	0	0	0
glacierkeep_s10_B	glacierkeep	10	B	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	510	3600
glacierkeep_s11_A	glacierkeep	11	A	OPP	_x3r0v173mjolnir	Core destroyed	697	0	0	240
glacierkeep_s11_B	glacierkeep	11	B	US	parent	Core destroyed	634	0	6650	2000
glacierkeep_s12_A	glacierkeep	12	A	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	0	160
glacierkeep_s12_B	glacierkeep	12	B	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	5070	9590
midgard_s10_A	midgard	10	A	US	parent	Core destroyed	235	0	1890	750
midgard_s10_B	midgard	10	B	OPP	_x3r0v173mjolnir	Core destroyed	350	0	710	1950
midgard_s11_A	midgard	11	A	OPP	_x3r0v173mjolnir	Core destroyed	246	0	790	2300
midgard_s11_B	midgard	11	B	US	parent	Core destroyed	180	0	1320	600
midgard_s12_A	midgard	12	A	OPP	_x3r0v173mjolnir	Core destroyed	98	0	230	780
midgard_s12_B	midgard	12	B	US	parent	Core destroyed	141	0	1180	790
nordkap_s10_A	nordkap	10	A	US	parent	Core destroyed	281	0	90	20
nordkap_s10_B	nordkap	10	B	OPP	_x3r0v173mjolnir	Core destroyed	214	0	460	550
nordkap_s11_A	nordkap	11	A	US	parent	Core destroyed	326	0	3790	20
nordkap_s11_B	nordkap	11	B	US	parent	Core destroyed	324	0	2240	280
nordkap_s12_A	nordkap	12	A	US	parent	Core destroyed	372	0	3410	450
nordkap_s12_B	nordkap	12	B	US	parent	Core destroyed	503	0	1830	740
