tag	map	seed	seat	ours	winner	cond	turn	tracebacks	ours_mined	opp_mined
atoll_s1_A	atoll	1	A	OPP	_x3r0v173mjolnir	Core destroyed	254	0	540	1020
atoll_s1_B	atoll	1	B	OPP	_x3r0v173mjolnir	Core destroyed	126	0	320	530
atoll_s2_A	atoll	2	A	OPP	_x3r0v173mjolnir	Core destroyed	218	0	380	1290
atoll_s2_B	atoll	2	B	OPP	_x3r0v173mjolnir	Core destroyed	488	0	1230	1710
atoll_s3_A	atoll	3	A	OPP	_x3r0v173mjolnir	Core destroyed	334	0	970	1290
atoll_s3_B	atoll	3	B	US	_v541quiet	Core destroyed	437	0	1310	560
drakkarfjord_s1_A	drakkarfjord	1	A	US	_v541quiet	Core destroyed	137	0	580	70
drakkarfjord_s1_B	drakkarfjord	1	B	US	_v541quiet	Core destroyed	171	0	1000	0
drakkarfjord_s2_A	drakkarfjord	2	A	US	_v541quiet	Core destroyed	186	0	820	0
drakkarfjord_s2_B	drakkarfjord	2	B	US	_v541quiet	Core destroyed	377	0	2720	0
drakkarfjord_s3_A	drakkarfjord	3	A	US	_v541quiet	Core destroyed	152	0	650	70
drakkarfjord_s3_B	drakkarfjord	3	B	US	_v541quiet	Core destroyed	135	0	740	0
glacierkeep_s1_A	glacierkeep	1	A	OPP	_x3r0v173mjolnir	Core destroyed	516	0	1030	4970
glacierkeep_s1_B	glacierkeep	1	B	OPP	_x3r0v173mjolnir	Core destroyed	395	0	0	1420
glacierkeep_s2_A	glacierkeep	2	A	OPP	_x3r0v173mjolnir	Core destroyed	290	0	0	1960
glacierkeep_s2_B	glacierkeep	2	B	OPP	_x3r0v173mjolnir	Core destroyed	570	0	0	1410
glacierkeep_s3_A	glacierkeep	3	A	US	_v541quiet	Core destroyed	445	0	0	0
glacierkeep_s3_B	glacierkeep	3	B	OPP	_x3r0v173mjolnir	Core destroyed	552	0	0	2070
midgard_s1_A	midgard	1	A	US	_v541quiet	Core destroyed	299	0	1130	640
midgard_s1_B	midgard	1	B	OPP	_x3r0v173mjolnir	Core destroyed	592	0	2040	4120
midgard_s2_A	midgard	2	A	US	_v541quiet	Core destroyed	322	0	2970	670
midgard_s2_B	midgard	2	B	US	_v541quiet	Core destroyed	273	0	2790	1440
midgard_s3_A	midgard	3	A	US	_v541quiet	Core destroyed	219	0	1620	850
midgard_s3_B	midgard	3	B	US	_v541quiet	Core destroyed	168	0	1550	740
nordkap_s1_A	nordkap	1	A	OPP	_x3r0v173mjolnir	Core destroyed	656	0	470	3720
nordkap_s1_B	nordkap	1	B	US	_v541quiet	Core destroyed	345	0	2380	1060
nordkap_s2_A	nordkap	2	A	US	_v541quiet	Core destroyed	156	0	370	20
nordkap_s2_B	nordkap	2	B	US	_v541quiet	Core destroyed	234	0	1090	420
nordkap_s3_A	nordkap	3	A	US	_v541quiet	Core destroyed	218	0	770	20
nordkap_s3_B	nordkap	3	B	US	_v541quiet	Core destroyed	342	0	2250	470
atoll_s4_A	atoll	4	A	OPP	_x3r0v173mjolnir	Core destroyed	150	0	140	710
atoll_s4_B	atoll	4	B	OPP	_x3r0v173mjolnir	Core destroyed	122	0	310	560
atoll_s5_A	atoll	5	A	OPP	_x3r0v173mjolnir	Core destroyed	199	0	420	1050
atoll_s5_B	atoll	5	B	OPP	_x3r0v173mjolnir	Core destroyed	126	0	320	530
atoll_s6_A	atoll	6	A	OPP	_x3r0v173mjolnir	Core destroyed	145	0	140	510
atoll_s6_B	atoll	6	B	OPP	_x3r0v173mjolnir	Core destroyed	124	0	320	560
drakkarfjord_s4_A	drakkarfjord	4	A	OPP	_x3r0v173mjolnir	Core destroyed	329	0	1650	1120
drakkarfjord_s4_B	drakkarfjord	4	B	US	_v541quiet	Core destroyed	326	0	1940	0
drakkarfjord_s5_A	drakkarfjord	5	A	US	_v541quiet	Core destroyed	273	0	1260	0
drakkarfjord_s5_B	drakkarfjord	5	B	US	_v541quiet	Titanium collected (tiebreak)	1000	0	530	0
drakkarfjord_s6_A	drakkarfjord	6	A	US	_v541quiet	Core destroyed	132	0	550	0
drakkarfjord_s6_B	drakkarfjord	6	B	US	_v541quiet	Core destroyed	323	0	2390	0
glacierkeep_s4_A	glacierkeep	4	A	OPP	_x3r0v173mjolnir	Core destroyed	525	0	0	430
glacierkeep_s4_B	glacierkeep	4	B	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	4880	7070
glacierkeep_s5_A	glacierkeep	5	A	OPP	_x3r0v173mjolnir	Core destroyed	717	0	0	0
glacierkeep_s5_B	glacierkeep	5	B	OPP	_x3r0v173mjolnir	Titanium collected (tiebreak)	1000	0	8460	11130
glacierkeep_s6_A	glacierkeep	6	A	OPP	_x3r0v173mjolnir	Core destroyed	342	0	0	980
glacierkeep_s6_B	glacierkeep	6	B	OPP	_x3r0v173mjolnir	Core destroyed	507	0	0	1630
midgard_s4_A	midgard	4	A	OPP	_x3r0v173mjolnir	Core destroyed	174	0	1030	1560
midgard_s4_B	midgard	4	B	OPP	_x3r0v173mjolnir	Core destroyed	86	0	710	540
midgard_s5_A	midgard	5	A	OPP	_x3r0v173mjolnir	Core destroyed	275	0	3150	3260
midgard_s5_B	midgard	5	B	US	_v541quiet	Core destroyed	273	0	2790	1440
midgard_s6_A	midgard	6	A	OPP	_x3r0v173mjolnir	Core destroyed	506	0	3490	4200
midgard_s6_B	midgard	6	B	US	_v541quiet	Core destroyed	139	0	1240	720
